SURVEY: SDSS   
SNID:   431   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: ugriz 
RA:      -12.239223  deg 
DECL:    0.071150  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0450    MW E(B-V) 
MWEBV_ERR:   0.0072    error on MWEBV 
REDSHIFT_HELIO:   0.125877 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.124496 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53687.891 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91BG 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91BG  
SIM_LIBID:  185  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.12631  
SIM_REDSHIFT_CMB:    0.12493  
SIM_REDSHIFT_HOST:   0.12631  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      38.8368  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -12.239223 deg  
SIM_DECL:      0.071150 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0402   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   24.19  21.97  20.72  20.39  20.59  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53689.175781  days 
SIM_SALT2x0:   2.9193e-16   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.2354  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -13.31   days 
SIM_TRESTMAX:    14.21   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.931761 
SIMSED_PARAM(color):  0.628161 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 45 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53674.184  u  82S   2.5971e+01   6.201e+01    0  27.370    1.79  99.0000 
OBS:  53674.184  g  82S  -6.2905e+00   1.494e+01    0  28.550    1.50  99.0000 
OBS:  53674.184  r  82S  -3.7447e+01   2.732e+01    0  28.200    1.62  99.0000 
OBS:  53674.184  i  82S   1.3471e+01   4.024e+01    0  27.980    1.49  99.0000 
OBS:  53674.184  z  82S   6.5739e+01   1.682e+02    0  26.070    1.45  99.0000 
OBS:  53676.273  u  82S  -3.7313e+00   5.584e+01    0  27.160    1.31  28.5198 
OBS:  53676.273  g  82S   8.6385e+00   1.379e+01    0  28.470    1.04  26.5928 
OBS:  53676.273  r  82S  -2.3656e+00   2.292e+01    0  28.170    1.09  25.5633 
OBS:  53676.273  i  82S  -2.6383e+01   3.461e+01    0  27.970    1.12  25.2650 
OBS:  53676.273  z  82S  -1.5395e+02   1.126e+02    0  26.060    0.85  25.4649 
OBS:  53679.246  u  82S  -5.3988e+01   6.113e+01    0  27.260    1.66  25.9872 
OBS:  53679.246  g  82S   3.5086e+01   1.657e+01    0  28.500    1.62  24.1725 
OBS:  53679.246  r  82S   5.1893e+01   2.565e+01    0  28.170    1.42  23.1480 
OBS:  53679.246  i  82S   4.6710e+01   4.046e+01    0  27.950    1.48  22.8475 
OBS:  53679.246  z  82S   8.1239e+01   1.719e+02    0  26.080    1.44  23.0474 
OBS:  53681.238  u  82S  -2.8467e+01   4.742e+01    0  27.270    1.12  24.9182 
OBS:  53681.238  g  82S   5.2410e+01   1.329e+01    0  28.510    1.00  23.2059 
OBS:  53681.238  r  82S   1.2406e+02   2.131e+01    0  28.170    0.98  22.1860 
OBS:  53681.238  i  82S   1.8587e+02   2.957e+01    0  27.950    0.85  21.8836 
OBS:  53681.238  z  82S   3.1602e+02   1.138e+02    0  26.080    0.89  22.0835 
OBS:  53685.195  u  82S   8.9548e+01   1.435e+02    0  27.350    1.64  24.2056 
OBS:  53685.195  g  82S   2.8178e+02   9.058e+01    0  28.530    1.81  22.1807 
OBS:  53685.195  r  82S   3.1377e+02   1.026e+02    0  28.180    1.42  21.1068 
OBS:  53685.195  i  82S   5.9306e+02   1.401e+02    0  27.960    1.54  20.8122 
OBS:  53685.195  z  82S   2.6836e+02   3.126e+02    0  26.090    1.60  20.9660 
OBS:  53687.234  u  82S  -2.4175e+02   1.360e+02    0  27.230    1.42  24.1067 
OBS:  53687.234  g  82S   1.8976e+02   4.974e+01    0  28.490    1.17  22.0140 
OBS:  53687.234  r  82S   3.9787e+02   4.601e+01    0  28.160    1.12  20.8640 
OBS:  53687.234  i  82S   5.1129e+02   4.691e+01    0  27.950    0.97  20.5532 
OBS:  53687.234  z  82S   6.1530e+02   1.975e+02    0  26.080    1.07  20.7260 
OBS:  53697.195  u  82S   1.1298e+02   5.758e+01    0  27.270    1.53  25.3559 
OBS:  53697.195  g  82S   2.2500e+01   1.690e+01    0  28.510    1.53  22.9557 
OBS:  53697.195  r  82S   3.5851e+02   2.844e+01    0  28.170    1.42  21.0075 
OBS:  53697.195  i  82S   6.4766e+02   3.772e+01    0  27.950    1.22  20.5123 
OBS:  53697.195  z  82S   5.2987e+02   1.483e+02    0  26.080    1.27  20.6009 
OBS:  53700.191  u  82S  -7.6039e+01   5.500e+01    0  27.240    1.48  25.7619 
OBS:  53700.191  g  82S   4.0960e+01   1.628e+01    0  28.490    1.58  23.4109 
OBS:  53700.191  r  82S   2.9138e+02   2.346e+01    0  28.160    1.15  21.3157 
OBS:  53700.191  i  82S   5.4788e+02   3.757e+01    0  27.950    1.10  20.7128 
OBS:  53700.191  z  82S   5.8664e+02   1.542e+02    0  26.050    1.19  20.7182 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53700.1910 
OBS:  53705.180  u  82S   1.2067e+01   5.504e+01    0  27.290    1.50  25.9635 
OBS:  53705.180  g  82S   3.9604e+01   1.526e+01    0  28.520    1.45  23.7567 
OBS:  53705.180  r  82S   2.3933e+02   2.257e+01    0  28.190    1.22  21.6859 
OBS:  53705.180  i  82S   4.2785e+02   3.377e+01    0  27.990    1.14  21.0878 
OBS:  53705.180  z  82S   2.8430e+02   1.430e+02    0  26.100    1.27  21.0287 
END_PHOTOMETRY: 
