SURVEY: SDSS   
SNID:   243   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: ugriz 
RA:      -46.142826  deg 
DECL:    0.235176  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0810    MW E(B-V) 
MWEBV_ERR:   0.0130    error on MWEBV 
REDSHIFT_HELIO:   0.037593 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.036538 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53673.770 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91BG 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91BG  
SIM_LIBID:  666  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.03745  
SIM_REDSHIFT_CMB:    0.03639  
SIM_REDSHIFT_HOST:   0.03745  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      36.0256  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -46.142826 deg  
SIM_DECL:      0.235176 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0701   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   20.91  18.92  17.96  17.90  18.09  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53672.390625  days 
SIM_SALT2x0:   3.8882e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -7.02   days 
SIM_TRESTMAX:    30.55   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.793410 
SIMSED_PARAM(color):  0.552467 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 70 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53665.109  u  82N   1.1510e+02   1.163e+02    0  26.230    1.16  22.4194 
OBS:  53665.109  g  82N   4.8296e+02   3.486e+01    0  27.410    1.14  20.8622 
OBS:  53665.109  r  82N   8.7797e+02   7.207e+01    0  26.890    1.03  20.0794 
OBS:  53665.109  i  82N   8.7378e+02   9.600e+01    0  26.640    0.96  20.0186 
OBS:  53665.109  z  82N   1.1422e+03   3.552e+02    0  24.820    0.89  20.2179 
OBS:  53668.121  u  82N   4.0369e+02   6.790e+01    0  27.420    1.83  21.1155 
OBS:  53668.121  g  82N   1.7281e+03   2.445e+01    0  28.570    1.50  19.4111 
OBS:  53668.121  r  82N   3.5635e+03   4.964e+01    0  28.220    1.64  18.6288 
OBS:  53668.121  i  82N   3.7412e+03   6.485e+01    0  27.990    1.57  18.5560 
OBS:  53668.121  z  82N   3.0865e+03   1.886e+02    0  26.090    1.29  18.7147 
OBS:  53670.129  u  82N   4.7165e+02   6.872e+01    0  27.330    1.82  20.9174 
OBS:  53670.129  g  82N   2.3972e+03   2.879e+01    0  28.540    1.54  19.0645 
OBS:  53670.129  r  82N   5.1042e+03   5.882e+01    0  28.200    1.44  18.2318 
OBS:  53670.129  i  82N   5.4479e+03   6.833e+01    0  27.980    1.33  18.1608 
OBS:  53670.129  z  82N   4.6345e+03   1.966e+02    0  26.070    1.38  18.3188 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53670.1290 
OBS:  53673.094  u  82N   4.0317e+02   5.772e+01    0  27.370    1.52  20.9732 
OBS:  53673.094  g  82N   2.7053e+03   2.990e+01    0  28.560    1.29  18.9354 
OBS:  53673.094  r  82N   6.8012e+03   7.293e+01    0  28.210    1.32  17.9138 
OBS:  53673.094  i  82N   7.1992e+03   7.878e+01    0  27.980    1.17  17.8530 
OBS:  53673.094  z  82N   5.8093e+03   1.743e+02    0  26.060    1.10  18.0601 
OBS:  53675.094  u  82N   3.0953e+02   5.589e+01    0  27.390    1.55  21.3210 
OBS:  53675.094  g  82N   2.2685e+03   2.713e+01    0  28.570    1.40  19.0852 
OBS:  53675.094  r  82N   6.9246e+03   7.592e+01    0  28.220    1.60  17.8875 
OBS:  53675.094  i  82N   7.3994e+03   8.122e+01    0  28.000    1.29  17.8150 
OBS:  53675.094  z  82N   5.9850e+03   1.798e+02    0  26.120    1.24  18.0537 
OBS:  53677.113  u  82N   2.1016e+02   6.373e+01    0  26.960    1.22  21.7420 
OBS:  53677.113  g  82N   1.6873e+03   2.569e+01    0  28.340    1.32  19.4356 
OBS:  53677.113  r  82N   6.4934e+03   7.050e+01    0  28.160    1.26  17.9646 
OBS:  53677.113  i  82N   6.6182e+03   7.513e+01    0  27.890    1.18  17.9263 
OBS:  53677.113  z  82N   5.7805e+03   1.442e+02    0  26.150    0.91  18.0709 
OBS:  53680.098  u  82N   1.0103e+02   4.594e+01    0  27.370    1.06  22.3317 
OBS:  53680.098  g  82N   9.7174e+02   1.904e+01    0  28.540    1.07  20.0406 
OBS:  53680.098  r  82N   4.9139e+03   5.516e+01    0  28.190    0.94  18.2795 
OBS:  53680.098  i  82N   5.8376e+03   6.509e+01    0  27.970    0.89  18.0980 
OBS:  53680.098  z  82N   5.6190e+03   1.479e+02    0  26.090    0.91  18.1283 
OBS:  53686.156  u  82N   1.1898e+02   1.628e+02    0  27.070    1.75  22.8354 
OBS:  53686.156  g  82N   5.7900e+02   5.909e+01    0  28.400    1.77  20.6450 
OBS:  53686.156  r  82N   2.7739e+03   6.137e+01    0  28.120    1.64  18.8781 
OBS:  53686.156  i  82N   3.4109e+03   7.555e+01    0  27.900    1.60  18.6310 
OBS:  53686.156  z  82N   3.9615e+03   2.285e+02    0  25.960    1.43  18.5267 
OBS:  53693.102  u  82N   2.3735e+02   7.482e+01    0  27.300    1.69  23.2946 
OBS:  53693.102  g  82N   3.6447e+02   3.147e+01    0  28.520    1.70  21.2655 
OBS:  53693.102  r  82N   1.4623e+03   3.949e+01    0  28.170    1.57  19.5327 
