#      NAME  RED LC-DATA ST      ST-err   COL     COL-err BMAG     BMAG-err   CHI2DOF   MJDMAX    MJDMAX-err
    sn2007ny  0.143   1    2.079    0.041    0.041    0.032   21.395    0.031    2.150   54390.055  0.442
    sn2007nv  0.138   1    2.528    0.071    0.110    0.039   21.523    0.038    1.997   54388.937  0.582
   SDSS18984  0.155   1    1.349    0.058    0.266    0.030   21.109    0.042    3.592   54387.008  0.370
    sn2007nl  0.168   1    1.597    0.091   -0.070    0.054   21.849    0.061    2.781   54388.727  0.657
   SDSS19221  0.043   1    2.017    0.040    0.052    0.021   20.813    0.030   12.716   54399.120  0.256
   SDSS19504  0.215   1    2.600   -0.000      NaN      NaN      NaN      NaN    1.600   54387.438  1.353
    sn2007pg  0.119   1    1.049    0.015   -0.326    0.020   19.739    0.025   10.229   54405.168  0.127
   SDSS20530  0.061   1    0.931    0.010   -0.109    0.012   19.562    0.016   33.213   54413.186  0.063
    sn2007qb  0.079   1    0.952    0.010   -0.103    0.018   19.779    0.018   12.523   54418.348  0.089
    sn2007sd  0.083   1    0.561    0.009   -0.247    0.022   19.721    0.047   22.669   54420.729  0.073
    sn2007sk  0.231   0    2.113    0.166    0.165    0.118   21.487    0.180    1.056   54436.711  2.509
    sn2004hz  0.142   1    1.705    0.027   -0.157    0.016   20.084    0.019    9.690   53282.519  0.128
    sn2004hw  0.059   0    1.584    0.034    0.745    0.025   18.803    0.046    1.810   53245.629  0.905
    sn2004hy  0.057   1    2.532    0.058    0.599    0.023   20.229    0.055    5.241   53269.170  0.503
    sn2004hu  0.047   0    1.132    0.010    0.529    0.010   19.075    0.030    5.762   53264.188  0.212
    sn2004hx  0.037   1    2.266    0.011   -0.145    0.004   17.161    0.014  112.068   53279.946  0.052
    sn2004id  0.149   1    1.590    0.017   -0.083    0.014   19.645    0.017   19.024   53295.273  0.128
    sn2004ib  0.055   1    1.620    0.018    0.966    0.012   20.511    0.029    4.413   53291.628  0.124
    sn2004ht  0.064   1    2.600   -0.000      NaN      NaN      NaN      NaN    5.871   53275.931  0.274
    sn2004if  0.321   1    1.231    0.044   -0.060    0.071   21.455    0.058    2.303   53291.791  0.502
    sn2004ia  0.143   1    1.707    0.013   -0.201    0.010   19.464    0.016   11.596   53285.743  0.090
    sn2004ie  0.050   1    1.436    0.004   -0.051    0.006   17.523    0.019   66.323   53291.752  0.071
    sn2004ic  0.092   1    1.803    0.038    0.085    0.022   20.290    0.037    6.017   53291.765  0.278
    sn2004ih  0.152   1    1.440    0.019   -0.092    0.023   19.976    0.020    6.900   53304.304  0.128
    sn2004ig  0.182   1    1.371    0.033   -0.211    0.037   20.384    0.045    4.814   53306.641  0.259
    sn2004io  0.148   0    1.456    0.169   -0.052    0.032   19.788    0.099    0.630   53318.276  1.974
    sn2004ii  0.196   0    2.157    0.759   -0.101    0.070   20.488    0.288    2.056   53322.845  9.234
    sn2004im  0.135   0    1.057    0.076    0.003    0.025   19.862    0.043    2.583   53315.337  0.911
    sn2004il  0.106   0    1.564    0.078    0.129    0.025   19.261    0.104    2.788   53320.634  1.398
    sn2004in  0.159   0    1.185    0.300    0.091    0.046   20.256    0.184    1.779   53317.706  3.393
    sn2004ik  0.168   0    1.967    0.550   -0.004    0.130   20.367    0.819    2.490   53330.868  8.779
    sn2004ij  0.217   0    1.448    0.557    0.132    0.161   20.850    0.923    0.565   53324.565  8.953
    sn2005ed  0.086   1    1.722    0.030    0.258    0.012   19.613    0.026    3.891   53619.160  0.486
    sn2005ef  0.108   0    1.273    0.030    0.222    0.017   19.643    0.026    4.560   53613.614  0.427
    sn2005ei  0.128   0    1.660    0.044    0.016    0.018   19.702    0.033    3.103   53614.055  0.456
    sn2005eg  0.191   1    1.494    0.038   -0.240    0.032   20.420    0.034    4.837   53625.385  0.269
    sn2005ex  0.093   0    1.289    0.033    0.661    0.030   19.262    0.026   56.725   53616.353  0.309
    sn2005ez  0.130   1    0.949    0.024    0.635    0.030   20.733    0.047   10.441   53625.204  0.210
    sn2005fg  0.258   1    0.977    0.070   -0.813    0.099   21.075    0.107    1.759   53628.846  0.397
    sn2005fc  0.298   1    0.948    0.088    0.080    0.081   21.513    0.081    1.840   53626.850  0.689
    SDSS1166  0.382   1    1.434    0.144    0.075    0.064   22.035    0.078    0.782   53631.446  0.977
    sn2005ff  0.090   1    1.441    0.011    0.391    0.011   19.322    0.024   11.811   53634.533  0.067
