#      NAME  RED LC-DATA ST      ST-err   COL     COL-err BMAG     BMAG-err   CHI2DOF   MJDMAX    MJDMAX-err
    sn2007qb  0.079   1    0.964    0.023      NaN      NaN   20.055    0.053    9.397   54422.039  0.260
    sn2007sd  0.083   0    1.600    0.000      NaN      NaN      NaN      NaN  218.711   54467.606  0.000
    sn2007sk  0.231   0    1.600    0.000      NaN      NaN      NaN      NaN    1.640   54434.399  1.979
    sn2004hz  0.142   1    0.979    0.043      NaN      NaN   20.399    0.163    1.323   53280.371  0.305
    sn2004hw  0.059   0    0.878    0.022      NaN      NaN   19.498    0.033   14.323   53269.811  0.575
    sn2004hy  0.057   1    1.600   -0.000      NaN      NaN      NaN      NaN    4.905   53271.143  0.797
    sn2004hu  0.047   0    0.586    0.006      NaN      NaN   18.210    0.031    6.927   53261.164  0.254
    sn2004hx  0.037   1    1.416    0.006      NaN      NaN   17.887    0.015  230.385   53284.233  0.046
    sn2004id  0.149   1    1.135    0.055      NaN      NaN   19.791    0.171    1.593   53295.567  0.336
    sn2004ib  0.055   1    1.398    0.044      NaN      NaN   20.061    0.038   25.030   53294.891  0.222
    sn2004ht  0.064   1    1.600   -0.000      NaN      NaN      NaN      NaN   11.145   53280.017  0.256
    sn2004if  0.321   1    1.062    0.108      NaN      NaN   22.396    0.271    1.444   53288.992  1.795
    sn2004ia  0.143   1    1.078    0.024      NaN      NaN   19.420    0.126    2.234   53285.198  0.267
    sn2004ie  0.050   1    1.117    0.032      NaN      NaN   17.623    0.039    5.815   53293.351  0.137
    sn2004ic  0.092   1    1.455    0.036      NaN      NaN   20.937    0.072    5.996   53294.045  0.408
    sn2004ih  0.152   1    1.050    0.046      NaN      NaN   19.841    0.273    1.295   53303.808  0.557
    sn2004ig  0.182   1    1.027    0.077      NaN      NaN   21.289    0.269    1.085   53305.714  0.900
    sn2004io  0.148   0    1.240    0.445      NaN      NaN   20.082    0.470    0.136   53321.279  7.421
    sn2004ii  0.196   0    1.565    0.435      NaN      NaN   20.397    0.585    1.048   53321.398  7.345
    sn2004im  0.135   1    0.765    0.176      NaN      NaN   20.067    0.297    1.692   53313.700  2.367
    sn2004il  0.106   0    1.038    0.124      NaN      NaN   19.408    0.146    0.941   53318.003  2.001
    sn2004in  0.159   0    1.080    0.504      NaN      NaN   20.745    0.660    0.178   53319.467  8.771
    sn2004ik  0.168   0    1.446  167.170      NaN      NaN      NaN      NaN      NaN   53331.178*******
    sn2004ij  0.217   0    1.600    0.000      NaN      NaN      NaN      NaN    1.226   53331.001  2.640
    sn2005ed  0.086   0    1.012    0.017      NaN      NaN   18.730    0.051    1.458   53608.940  0.628
    sn2005ef  0.108   0    0.899    0.019      NaN      NaN   19.482    0.061    4.346   53609.701  0.879
    sn2005ei  0.128   0    1.037    0.026      NaN      NaN   19.639    0.049    2.360   53612.933  0.692
