cid,class,num_points_sdssu,num_points_sdssg,fit_z,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
679,Unknown,19,19,0,0.123663,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
682,Unknown,32,33,0,0.047317,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
688,Unknown,20,19,0,0.066563,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
691,Unknown,18,19,0,0.129587,53623.66630179168,1.2457204212323566e-05,-0.2952274096261185,3.691392341019767,nan,0.0001278755116800312,1.1368164322270342e-06,0.7939430117491549,0.446789286811813,90.8905225550748,33,Covariance may not be accurate.
694,Unknown,31,34,0,0.126178,53622.89218076036,4.61761990053343e-05,0.054252190203474715,0.1462837039299708,nan,0.0006315149985312019,8.77943620344325e-07,0.2405961120870103,0.0686197046983864,261.4961552523827,61,Covariance may not be accurate.
697,Unknown,41,41,0,0.155294,53619.80595966267,7.433706261079784e-06,4.2279581497077405,0.4118646244293104,nan,2.9038776902998507,6.529269410141044e-07,1.5712801160313516,0.08169969574169804,218.63706181901438,116,Minimization exited successfully.
701,Unknown,21,21,0,0.205128,53607.9236207995,2.6747636060617272e-05,-1.9597688323355968,0.17077935284651347,nan,0.00015506862109759822,6.65440743917831e-08,2.6869018996508917e-06,2.686901312360171e-06,78.71536017269858,58,Covariance may not be accurate.
703,zSNIa,19,20,0,0.296481,53626.15668680659,1.3629206108324506e-05,0.14006946932460348,0.048447946834715455,nan,0.6276749597527669,7.408423216675094e-07,0.6746596081016816,0.05644958661331756,41.89421323748183,55,Minimization exited successfully.
704,Unknown,20,20,0,0.204966,53607.942762580715,1.4939762122655636e-05,-0.19119361045765507,0.3411873088857985,nan,0.003249007677368354,2.066503273913882e-06,0.9671670261474647,0.12575126615754953,79.79422294933639,55,Minimization exited successfully.
711,Unknown,0,0,0,1.111396,53691.14418385715,3.1734337441222514e-06,5.707259878611787,-0.26074855860206153,nan,2.7949900614221406,6.888950219949923e-07,2.7996304246545956,0.05261594002391355,236.77865205063594,51,Minimization exited successfully.
716,zSNII,33,36,0,0.322376,53640.91186095807,2.7319991883800918e-05,12.211410353638795,0.011540146700734282,nan,0.1307691961155797,5.59027277811645e-07,0.42462474628530167,0.007946329422858072,2003.9297311416094,103,Minimization exited successfully.
717,Unknown,19,20,0,0.12901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
722,SNIa,20,19,0,0.085038,53620.97510747361,8.989728046876385e-05,-0.6810881113192564,0.17722805935106412,nan,0.00039665081203565933,1.921113397671809e-06,0.20279728747737977,0.05535328573280014,423.27617673308396,35,Minimization exited successfully.
735,zSNIa,20,20,0,0.189482,53608.8002702398,2.6346000576632568e-05,-2.240377403576931,-0.08896970645340894,nan,0.00011434538828325458,7.337091380299834e-08,4.697507027439759e-06,4.6975045148976165e-06,57.890396078838904,56,Covariance may not be accurate.
739,SNIa,20,20,0,0.106421,53611.0571866923,0.00010383665748618491,-1.7583065998391088,0.20389311042050856,nan,0.0004906314970867243,2.9366761221087626e-06,0.1825756168961088,0.11203849822685427,234.88622149767258,36,Covariance may not be accurate.
744,SNIa,19,19,0,0.12694,53616.79436507881,5.603240614296581e-05,0.4552100536536465,0.1929508134567274,nan,0.0005032776643929537,1.978120021248569e-06,0.3119672871595155,0.15513713808889368,174.0943819759499,34,Covariance may not be accurate.
762,SNIa,20,20,0,0.190088,53616.92423451421,2.5695191118865224e-05,10.12408786677682,0.03909160582318945,nan,0.42252292438570294,9.312884184715537e-07,0.8576191579159241,0.025629065852591795,195.3303349122666,56,Minimization exited successfully.
764,zSNII,18,20,0,0.185808,53615.997002006414,7.91026720012466e-06,7.102072197778232,0.23898021241485926,nan,63.54710090170556,0.43959442596075726,1.1233902719219317,1.002203445597563,90.45909439733359,55,Covariance may not be accurate.
765,zSNII,22,23,0,0.259902,53581.36212009506,0.00011805330756280601,0.05333245450258797,-0.4835383877662415,nan,0.0022650463979516644,4.2546125157458986e-06,0.04131975523056537,0.012650036103457237,629.8570281972504,65,Covariance may not be accurate.
770,Unknown,0,22,0,0.041464,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
772,zSNII,21,23,0,0.20925,53616.88157331197,6.8042772298565075e-06,5.26492117446373,0.5757723986114319,nan,0.018342297113122186,9.960572744933388e-07,2.0313978786703233,0.14848480328940303,116.27457583335033,62,Minimization exited successfully.
774,SNIa,22,22,0,0.092269,53615.719813715754,0.00011483486881003247,-0.42933915426622493,0.079828661656452,nan,0.0003464501569396816,3.6559234579183145e-06,0.22389749030720318,0.04509686488777354,412.46037896264755,40,Covariance may not be accurate.
779,zSNIa,21,23,0,0.236938,53626.99854552311,2.017059284155687e-05,0.16135416854854612,0.07811765399636086,nan,0.4264195735086105,8.042503199316822e-07,0.4283003893713627,0.04786949489347971,49.017365542016194,63,Minimization exited successfully.
782,Unknown,18,22,0,0.131251,53620.79119435927,1.943475964491474e-05,2.1425246138761187,3.7338541348002616,nan,0.0009463339374633506,1.475833575517503e-06,0.7432172149005404,0.3139152116257537,168.99356396328653,36,Covariance may not be accurate.
