cid,class,num_points_sdssu,num_points_sdssg,fit_z,z,t0,amplitude,z_err,t0_err,amplitude_err,chi,dof,message
9296,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9304,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9317,zSNIbc,22,22,0,0.256085,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
9324,zSNIa,20,20,0,0.378093,53667.59664631604,1.1343947551337088e-09,nan,0.4267242773457838,8.530986636440363e-11,92.91094323603562,58,Minimization exited successfully.
9326,zSNIa,40,41,0,0.35,53668.28156782371,8.3682782608818e-10,nan,0.5020123838876316,5.7144031556705435e-11,175.3605984442105,120,Minimization exited successfully.
9334,zSNIa,41,42,0,0.382575,53666.154501987614,7.448668074210844e-10,nan,0.4567087052455463,3.947288807293708e-11,350.13819901075925,164,Minimization exited successfully.
9353,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9370,zSNII,25,25,0,0.378322,53687.651373388275,8.159963446965716e-10,nan,3.8669256118373596,2.2349238740902156e-10,316.73791195420034,73,Minimization exited successfully.
9372,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9395,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9414,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9417,Unknown,0,19,0,0.8354,53653.49164013184,5.368563187384828e-10,nan,1.0536159504226816,4.704789372980126e-11,340.40632897030315,74,Minimization exited successfully.
9421,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9424,zSNIa,19,20,0,0.217237,53663.17697480544,4.71239525688214e-10,nan,0.8163863283334649,3.3475519335313024e-11,59.9263783338972,57,Minimization exited successfully.
9428,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9433,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9434,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9443,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9453,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9457,SNIa,21,22,0,0.258229,53669.581742777955,1.412142366646585e-09,nan,0.368505342885328,7.183339227114226e-11,123.91338437475524,63,Minimization exited successfully.
9458,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9467,SNIa,21,21,0,0.220272,53670.72954891473,1.8985150567954693e-09,nan,0.25418112805346027,7.609568538013664e-11,217.39069549125617,61,Minimization exited successfully.
9504,Unknown,20,20,0,0.223431,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
9506,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9545,Unknown,0,21,0,0.503564,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
9551,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9557,zSNIa,18,19,0,0.375758,53665.53990395283,7.075637738287565e-10,nan,0.8326863335023518,5.625164072909104e-11,69.70749095096369,54,Minimization exited successfully.
9558,zSNIa,20,20,0,0.390578,53658.93983418738,3.740585550360475e-10,nan,0.9768285492355062,2.8718941701180527e-11,67.62413372219575,78,Minimization exited successfully.
9560,Unknown,20,21,0,0.09162,53664.968955443896,4.370499027784486e-10,nan,0.9493703604712209,5.013573956267004e-11,50.4996071659196,39,Minimization exited successfully.
9562,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9563,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9566,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9567,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9594,zSNIa,17,17,0,0.298235,53670.30171363427,1.2160202369730882e-09,nan,0.6815944204645348,9.151970477076237e-11,78.55853670253069,49,Minimization exited successfully.
9595,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9626,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9632,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9633,zSNIa,25,25,0,0.195643,53665.75834068659,8.615406647356871e-10,nan,0.6260165993917326,4.9784591569450575e-11,116.91742307648019,73,Minimization exited successfully.
9634,zSNII,25,25,0,0.219259,53657.37887954857,3.7503924764806723e-10,nan,0.7680877988532302,3.0538855011128924e-11,141.23338265839777,73,Minimization exited successfully.
9640,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9641,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9643,Unknown,0,0,0,1.61709,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
9652,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9672,Unknown,22,23,0,0.189282,53621.115147664415,1.496220642615035e-10,nan,2.0832644388974586,4.127347612420831e-11,175.05403426989656,66,Minimization exited successfully.
9676,Unknown,0,0,0,0.875993,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
9677,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9678,Unknown,0,45,0,0.426022,53662.88399065095,4.178970323473654e-10,nan,0.758346852264367,2.5066891913808045e-11,215.25790254649934,135,Minimization exited successfully.
9698,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9704,zSNIa,20,20,0,0.294362,53655.87060233274,4.35176477584468e-10,nan,0.9845378519239603,3.32714129397581e-11,65.7523898111712,58,Minimization exited successfully.
9707,Unknown,0,0,0,1.478,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
9719,Unknown,35,37,0,0.227464,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
9734,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
9739,zSNII,20,21,0,0.119451,53664.84253798954,8.259336342300686e-10,nan,0.6029629870536155,6.425437081035139e-11,119.32714651138375,39,Minimization exited successfully.
9740,zSNIa,21,21,0,0.238,53672.53407844029,1.5759522598332038e-09,nan,0.36825308375409804,8.282676872786914e-11,117.28495009248003,61,Minimization exited successfully.
9804,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
