cid,class,num_points_sdssu,num_points_sdssg,num_points_sdssr,num_points_sdssi,num_points_sdssz,fit_z,z,t0,amplitude,z_err,t0_err,amplitude_err,chi,dof,message
679,Unknown,20,21,21,21,21,0,0.124957,53577.86302786514,2.2917041000344594e-09,nan,2.3874313606429496,2.765411599704421e-10,125.83739182326651,102,Minimization exited successfully.
682,Unknown,35,37,39,37,39,0,0.048551,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
685,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
688,Unknown,20,20,21,21,20,0,0.067866,53604.070804090654,1.058829166108385e-09,nan,0.5689152601080423,5.207409455922295e-11,159.4776104089181,100,Minimization exited successfully.
691,Unknown,21,21,21,21,21,0,0.130903,53601.1602829374,2.549959396573743e-09,nan,0.489857576409122,8.805840900416744e-11,304.9503053347226,103,Minimization exited successfully.
694,Unknown,35,37,38,38,38,0,0.127493,53611.16973499376,4.11982554954458e-09,nan,0.13280929759639548,2.964615667700386e-11,2001.6195579130283,184,Minimization exited successfully.
696,pSNIa,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
697,Unknown,41,42,42,42,41,0,0.156675,53574.348224889494,5.141857872282104e-09,nan,1.6017382101272233,3.338858008838827e-10,347.9941886908846,206,Minimization exited successfully.
701,Unknown,21,22,22,22,22,0,0.20657,53600.79744336612,1.337518376455045e-09,nan,0.7325379163521575,6.820362314138228e-11,131.00766508563316,107,Minimization exited successfully.
703,zSNIa,20,22,22,22,22,0,0.298042,53608.27693250995,1.1379617423831321e-09,nan,0.5410402469206019,3.759125808288379e-11,256.65253638860406,106,Minimization exited successfully.
704,Unknown,22,22,21,22,22,0,0.206416,53601.343116019714,1.0259384149203836e-09,nan,0.7004982492908312,4.453881290353854e-11,133.18909753559913,107,Minimization exited successfully.
706,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
711,Unknown,0,0,20,20,20,0,1.11398,53613.33401424143,1.1507715501147684e-09,nan,1.2985507085904828,1.1143599919906077e-10,381.1039628277939,58,Minimization exited successfully.
714,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
716,zSNII,40,42,41,42,39,0,0.324,53495.93902103007,7.72641654410317e-08,nan,0.6179586021280556,6.414061381355845e-10,6586.571491220677,202,Minimization exited successfully.
717,Unknown,20,20,20,20,20,0,0.130392,53598.04560340862,1.201944317377607e-09,nan,1.5143067075005092,1.1073342142943131e-10,159.90712881516555,98,Minimization exited successfully.
722,SNIa,21,21,21,21,21,0,0.086341,53612.32894229758,6.248540481210711e-09,nan,0.12897378399065929,4.462343174694174e-11,2016.821418231468,103,Minimization exited successfully.
735,zSNIa,20,21,20,20,21,0,0.190858,53601.42184174731,1.2735091824611462e-09,nan,0.6213127103474108,5.565148812656345e-11,109.35598181585883,100,Minimization exited successfully.
739,SNIa,20,20,20,20,20,0,0.107638,53602.27643849028,5.393987274764924e-09,nan,0.15491126741835615,5.920687614214906e-11,1010.7041012828802,98,Minimization exited successfully.
744,SNIa,21,20,21,21,21,0,0.128251,53604.17094177132,4.238604396838438e-09,nan,0.20383761335688177,5.071634046957128e-11,1453.620214762752,102,Minimization exited successfully.
746,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
747,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
750,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
762,SNIa,20,20,20,20,20,0,0.191381,53553.19852472975,2.000399189863513e-08,nan,0.5005700035035261,3.6740523185206036e-10,1558.4430346278232,98,Minimization exited successfully.
763,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
764,zSNII,19,21,21,21,21,0,0.187068,53605.206719573885,8.61317554306117e-10,nan,0.7353352230093151,4.263818084910343e-11,286.7766291001269,101,Minimization exited successfully.
765,zSNII,23,24,24,24,24,0,0.261047,53519.22191768207,1.5846978232166995e-08,nan,4.418975376072922,1.0271887942605282e-09,853.2269920278255,117,Minimization exited successfully.
766,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
770,Unknown,0,23,24,24,24,0,0.042391,53607.355915846594,1.2169550401109433e-09,nan,0.45813079651998123,4.8121444699085534e-11,723.8264083152071,93,Minimization exited successfully.
772,zSNII,23,24,23,24,24,0,0.210315,53604.03951133145,9.666573220574543e-10,nan,0.7682255611362052,4.450476409678324e-11,237.01671012450737,116,Minimization exited successfully.
773,pSNIa,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
774,SNIa,22,22,23,23,23,0,0.093331,53604.41497237612,8.373692286112932e-09,nan,0.14834034335945034,8.613819336759085e-11,2496.7960568741137,111,Minimization exited successfully.
779,zSNIa,22,23,23,23,22,0,0.238121,53608.916530306786,1.6614361898152486e-09,nan,0.5818423822784098,4.4461842042945e-11,518.6817452670718,111,Minimization exited successfully.
782,Unknown,21,23,24,23,24,0,0.13216,53607.701589618206,2.649078459922968e-09,nan,0.1756514637527289,4.529395420858128e-11,1946.1172407736783,113,Minimization exited successfully.
789,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
792,Unknown,22,22,22,22,22,0,0.043516,53539.75224103006,1.402269089550453e-08,nan,2.445175595192268,7.800160667337424e-10,198.90579533038374,108,Minimization exited successfully.
798,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
799,zSNII,21,22,22,22,22,0,0.147804,53556.03721617244,6.153326662062955e-09,nan,1.3346877128715278,3.5199451747940057e-10,579.3640514334443,107,Minimization exited successfully.
801,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
805,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
816,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
818,Unknown,23,23,24,23,23,0,0.2381,53601.56676164167,9.575221894503398e-10,nan,0.6512171970753116,4.542495528887485e-11,108.50728644161237,114,Minimization exited successfully.
821,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
822,zSNIa,21,23,23,23,23,0,0.237556,53604.7027039783,1.3804777806288368e-09,nan,0.40912551337169134,4.196868815574948e-11,306.95811171568215,111,Minimization exited successfully.
830,Unknown,22,23,23,23,23,0,0.387223,53658.87846579195,1.3925437871321654e-09,nan,0.25589342183229746,2.733667768981691e-11,4106.751202092491,112,Minimization exited successfully.
831,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
834,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
840,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
841,zSNIa,22,22,22,22,22,0,0.2991,53606.85774059524,1.0490984663299028e-09,nan,0.38156927359159454,3.750631566622008e-11,291.06708598202164,108,Minimization exited successfully.
843,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
850,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
859,zSNIa,21,21,22,22,22,0,0.278296,53607.7629380272,1.389751909997545e-09,nan,0.4531644708731619,3.552839862751491e-11,364.0578501181418,106,Minimization exited successfully.
863,zSNII,20,20,20,20,20,0,0.094283,53606.60350319782,1.143244201555817e-09,nan,0.73509699214992,4.57395961554943e-11,528.550661237769,98,Minimization exited successfully.
875,Unknown,22,22,22,22,22,0,0.105389,53564.212673662434,8.457705728988382e-09,nan,1.2658452684154327,3.8263501126762605e-10,863.8693723338922,108,Minimization exited successfully.
876,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
879,Unknown,0,21,20,21,20,0,0.453133,53633.59556878213,2.5915529875116783e-09,nan,0.17918044869657024,4.807870817595329e-11,9310.294124603848,80,Minimization exited successfully.
