cid,class,num_points_sdssu,num_points_sdssg,num_points_sdssr,num_points_sdssi,num_points_sdssz,fit_z,z,t0,amplitude,z_err,t0_err,amplitude_err,chi,dof,message
881,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
893,zSNIa,21,21,21,21,21,0,0.110133,53570.37613415663,7.853769851142789e-09,nan,1.40696454756835,3.9548098898686487e-10,480.56059075480755,103,Minimization exited successfully.
895,Unknown,20,20,20,20,20,0,0.268221,53601.87116332365,8.123848047971059e-10,nan,1.0499361118163506,5.324500011567994e-11,148.73704302052505,98,Minimization exited successfully.
896,Unknown,0,20,20,20,20,0,0.425016,53628.13006201378,1.0080085364565134e-09,nan,0.4311354071214737,4.290458165810078e-11,1824.229340209669,78,Minimization exited successfully.
897,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
901,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
904,zSNIa,21,21,21,21,21,0,0.385316,53588.918117804926,1.5099367326886887e-09,nan,1.1916025284735952,1.3966897020102702e-10,366.73413962602024,103,Minimization exited successfully.
907,Unknown,0,23,24,24,24,0,0.106444,53605.603704613124,3.556718824419789e-09,nan,0.23846633976063458,5.716933555956529e-11,3886.209048316203,93,Minimization exited successfully.
910,Unknown,20,21,21,21,20,0,0.149071,53602.969434162675,2.271739621102386e-09,nan,0.3315683130749676,5.108113105448302e-11,407.5394907715563,101,Minimization exited successfully.
911,zSNIa,23,23,23,24,23,0,0.207264,53605.897502336455,1.3149254305900633e-09,nan,0.4651952337844705,4.6559632332962394e-11,155.45932635365477,114,Minimization exited successfully.
914,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
917,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
918,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
919,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
920,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
921,zSNII,44,48,48,48,47,0,0.126349,53615.77518012158,5.780727906460532e-10,nan,0.5486482076230459,2.3255510335053716e-11,610.3036115161932,233,Minimization exited successfully.
927,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
928,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
929,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
930,zSNII,36,36,36,36,36,0,0.290116,53656.535516368844,1.102505712766524e-09,nan,0.3152286489676044,2.0131010492157243e-11,4819.058791634904,178,Minimization exited successfully.
932,zSNIa,22,23,23,23,23,0,0.391335,53565.84082918,3.832791584794681e-09,nan,2.19913103642466,3.0796898770872193e-10,204.59749441937234,112,Minimization exited successfully.
938,Unknown,0,24,24,24,23,0,0.761991,53655.07371333266,4.4272951665986755e-10,nan,1.3476731072769326,3.662114046469584e-11,935.639716796544,93,Minimization exited successfully.
940,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
945,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
949,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
950,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
979,Unknown,21,22,22,22,22,0,0.292702,53531.10644486869,9.145151549978988e-09,nan,0.7576927433619858,5.066371352612357e-10,162.5303490548214,107,Minimization exited successfully.
983,zSNII,20,21,21,19,21,0,0.06855,53564.96602128629,1.474524877482903e-08,nan,0.8591809768768144,4.861570324817256e-10,536.8124760679927,100,Minimization exited successfully.
985,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
986,zSNIa,20,21,21,20,21,0,0.280578,53604.09888557041,8.467303759535963e-10,nan,0.8079077646834776,3.877423543568943e-11,135.77142877874581,101,Minimization exited successfully.
988,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
996,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
999,pSNIa,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1000,Unknown,22,22,22,22,22,0,0.12943,53602.00290135041,2.8172643020128567e-09,nan,0.2672750686942891,5.34250539554211e-11,360.6333328559675,108,Minimization exited successfully.
1008,zSNIa,22,23,23,23,23,0,0.226191,53606.27954048703,2.165485619676564e-09,nan,0.297745927451615,4.79152446559141e-11,641.8052851037874,112,Minimization exited successfully.
1017,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1024,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1027,zSNII,22,23,23,23,23,0,0.186294,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
1031,Unknown,45,47,46,47,47,0,0.115536,53602.257920547054,1.6725278276879903e-09,nan,0.5413694728267728,4.893402336414056e-11,702.2427666905882,230,Minimization exited successfully.
1032,SNIa,22,22,22,22,22,0,0.129755,53610.53559306935,2.948979113029112e-09,nan,0.16185864149520057,4.492284239782091e-11,357.12341868982827,108,Minimization exited successfully.
1039,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1041,Unknown,22,23,23,23,23,0,0.065807,53604.61297605674,3.540107034841731e-09,nan,0.16538425780890975,5.296491708146699e-11,660.0973159128686,112,Minimization exited successfully.
1048,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1109,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1112,SNIa,20,20,20,20,20,0,0.257608,53612.86851967809,1.1342578384925056e-09,nan,0.35755573003552854,4.044257630603625e-11,174.55458384535098,98,Minimization exited successfully.
1113,zSNII,20,20,20,20,20,0,0.056915,53540.60673659398,9.94855062447932e-08,nan,0.35525173836867907,7.68969868037999e-10,5297.850117541049,98,Minimization exited successfully.
1114,SNII,18,19,19,19,19,0,0.026478,53614.84818234175,7.392188143902365e-08,nan,0.035762665949732764,1.6980969298196956e-10,157034.8670086674,92,Minimization exited successfully.
1115,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1119,SNIa,18,18,18,18,18,0,0.297805,53610.79902474018,9.728847702703605e-10,nan,0.7263468436904077,3.799252742585803e-11,184.32824250829634,88,Minimization exited successfully.
1126,Unknown,18,18,18,18,18,0,0.115166,53603.40199859865,2.136689100255095e-09,nan,0.5580185628059553,9.31073981118617e-11,121.97345813275354,88,Minimization exited successfully.
1127,Unknown,17,18,18,18,18,0,0.077374,53614.97786762524,2.9791614289023423e-09,nan,0.1777188075466256,5.5244945002476714e-11,4607.249703547316,87,Minimization exited successfully.
1131,zSNII,19,19,19,19,19,0,0.17379,53613.33123457872,6.241770852430765e-10,nan,0.6801793179110973,4.067154460991974e-11,205.56798975260884,93,Minimization exited successfully.
1147,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1150,zSNII,0,19,19,19,19,0,0.458071,53658.96830997424,4.128380835173347e-10,nan,1.0642840766631707,3.722277723227792e-11,271.3916963657124,74,Minimization exited successfully.
1151,Unknown,16,16,16,16,16,0,0.36284,53607.86195459956,9.703900109159134e-10,nan,0.8162549321168626,4.447508771742273e-11,121.52897483030611,78,Minimization exited successfully.
1153,Unknown,16,16,16,16,16,0,0.339869,53612.478859745235,1.0638274619416831e-09,nan,0.3950589276209939,4.589306222440523e-11,172.31911683601587,78,Minimization exited successfully.
1158,zSNIa,0,16,16,16,16,0,0.411625,53608.74382698436,6.413272102439668e-10,nan,1.216230431014992,4.4351727250633744e-11,59.36809167593665,62,Minimization exited successfully.
1164,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1165,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1166,SNIa,17,17,17,17,17,0,0.382077,53588.242810320415,2.2160472840455173e-09,nan,1.8700119104250916,2.2808657977017562e-10,235.09101063382062,83,Minimization exited successfully.
1168,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1170,Unknown,17,17,17,17,17,0,0.329974,53610.652226803264,6.218103242340943e-10,nan,2.016235778512055,4.503184467586188e-11,115.29915820987333,83,Minimization exited successfully.
1172,Unknown,15,16,16,16,16,0,-5.7e-05,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
1173,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1174,Unknown,0,0,0,0,17,0,2.38668,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
1176,zSNII,0,17,17,17,17,0,0.707338,53658.20297916205,8.96785253866387e-10,nan,1.243208918847813,6.859758733076733e-11,1044.5392333291877,66,Minimization exited successfully.
1181,Unknown,0,18,18,18,18,0,0.60403,53635.60320982135,9.376367183313475e-10,nan,0.786110110610025,5.2394957169042945e-11,1172.6728375959765,70,Minimization exited successfully.
1184,zSNII,0,17,17,17,17,0,0.55031,53610.99211856642,6.400399023232397e-10,nan,1.0430110584748036,5.0056510458629555e-11,1058.7706346980428,66,Minimization exited successfully.
1190,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1191,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1194,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1196,zSNII,19,19,19,19,19,0,0.370508,53626.92617320142,2.3761530271141074e-09,nan,0.19681747741924482,6.752040816504152e-11,2321.982627983155,93,Minimization exited successfully.
1198,zSNII,18,18,18,18,18,0,0.119688,53614.88694883191,1.0598340940567e-09,nan,0.3341770527367771,3.8888433357443426e-11,838.2539287006528,88,Minimization exited successfully.
1199,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1200,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1209,Unknown,24,24,24,24,24,0,0.242036,53608.0416951835,1.4562786935126378e-09,nan,0.4016049072924943,3.4230027393540486e-11,318.2723055622555,118,Minimization exited successfully.
1210,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1214,zSNIa,24,24,24,24,24,0,0.264749,53535.39156812247,7.949579420747574e-09,nan,5.126667529129918,8.428744398738703e-10,430.9358095168246,118,Minimization exited successfully.
1223,Unknown,0,0,22,21,2,0,1.2785,53639.34841167348,3.0156982746797807e-09,nan,1.1024552864109864,2.2334300172403098e-10,580.5215232015644,43,Minimization exited successfully.
1225,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1229,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1237,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1241,SNIa,20,20,20,20,20,0,0.08979,53617.97395850806,8.835900890513982e-09,nan,0.05100640009550261,5.528841588362278e-11,3697.014946329554,98,Minimization exited successfully.
1243,Unknown,19,19,19,19,19,0,0.198426,53607.43768055592,9.148897934721361e-10,nan,1.1410350012556592,4.880508563384729e-11,140.3560726125541,93,Minimization exited successfully.
1248,Unknown,0,18,18,18,18,0,0.783445,53527.04577580546,1.4580822144191447e-08,nan,2.0697214125902974,7.342188610553941e-10,1166.7109003243875,70,Minimization exited successfully.
1251,zSNII,22,23,23,23,23,0,0.179133,53618.59176741144,9.093224725973699e-10,nan,0.5014788462685829,4.085319499100513e-11,572.1035117983674,112,Minimization exited successfully.
1253,SNIa,18,18,18,18,18,0,0.263071,53615.79779627392,1.3344113720661183e-09,nan,0.25470051660522586,4.0565456205750504e-11,256.52483332546456,88,Minimization exited successfully.
1257,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1261,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1277,Unknown,18,19,19,19,19,0,0.144733,53577.40053057766,4.552637914649339e-09,nan,2.2538250161451288,4.576928844176879e-10,91.99843867101293,92,Minimization exited successfully.
1281,Unknown,19,18,19,19,19,0,0.290829,53615.74628848255,2.4887772968591606e-09,nan,0.16493560322123813,4.527070670191855e-11,3910.590863223775,92,Minimization exited successfully.
1282,pSNIa,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1285,pSNIa,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1286,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1291,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1293,Unknown,0,0,20,20,20,0,0.98224,53612.34344037267,1.4666201564372288e-09,nan,0.7722360672014474,1.0373319441029807e-10,600.4567752710745,58,Minimization exited successfully.
1296,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1298,Unknown,39,39,39,38,39,0,0.22649,53607.4183803297,9.606063119318408e-10,nan,0.6779416240824503,3.28694593788447e-11,694.2641515641611,192,Minimization exited successfully.
1302,pSNIa,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1311,Unknown,20,20,20,20,20,0,0.261826,53604.92533553165,4.4340027486125345e-10,nan,1.8841218505585857,4.958447000594214e-11,261.0410832624009,98,Minimization exited successfully.
1315,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1316,SNIa,20,20,20,20,20,0,0.217109,53609.833006607216,1.5378882253577287e-09,nan,0.34261940810392844,3.5316145646549006e-11,351.1690023164611,98,Minimization exited successfully.
1324,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1327,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1329,Unknown,20,20,20,20,20,0,0.089122,53584.929964052986,5.337684032227517e-09,nan,1.2937458156557113,4.0731950837803286e-10,251.42761594353863,98,Minimization exited successfully.
1330,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1337,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1342,pSNIa,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1349,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1351,Unknown,18,18,18,18,18,0,0.175943,53605.98649010655,1.4064459938962177e-09,nan,0.8501509223424364,5.6121863167590914e-11,118.52948824522095,88,Minimization exited successfully.
1354,zSNIa,19,19,19,19,19,0,0.249436,53607.79986808055,7.517370072475294e-10,nan,1.3471857190015726,4.1229109041548674e-11,95.82182968650636,93,Minimization exited successfully.
1355,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1363,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1364,zSNII,17,17,17,17,17,0,0.218694,53612.523188428255,1.3807116580391827e-09,nan,0.3440104454384709,4.0978608437778775e-11,422.8388763953134,83,Minimization exited successfully.
1367,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1371,SNIa,20,21,21,21,21,0,0.119343,53616.255910594,9.717792533250111e-09,nan,0.06814505974762142,6.072205136622914e-11,8010.818432591571,102,Minimization exited successfully.
1372,zSNII,17,17,17,17,17,0,0.068916,53510.26831696631,5.9384809428053567e-08,nan,1.547248797793145,8.786247482781219e-10,675.0570741285555,83,Minimization exited successfully.
1378,zSNIa,19,19,19,19,19,0,0.125837,53613.3406138444,1.1146655324463447e-09,nan,0.3573563910504163,3.59408038654503e-11,159.391906788524,93,Minimization exited successfully.
1381,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1384,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
1385,zSNIa,17,17,17,17,17,0,0.336879,53610.14341848251,8.408212565953985e-10,nan,1.2696446026602644,4.1747054230034214e-11,145.4379965246024,83,Minimization exited successfully.
1387,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
