cid,class,num_points_sdssr,num_points_sdssi,num_points_sdssz,fit_z,z,t0,amplitude,z_err,t0_err,amplitude_err,chi,dof,message
679,Unknown,21,20,20,0,0.123663,53578.01166562203,2.2998564674631274e-09,nan,2.582871225891722,3.0757467024846145e-10,71.30662019628323,59,Minimization exited successfully.
682,Unknown,37,35,36,0,0.047317,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
688,Unknown,20,20,19,0,0.066563,53604.443693118024,1.1978594276901184e-09,nan,0.6125324411805195,6.062720579096786e-11,85.18725117555226,57,Minimization exited successfully.
691,Unknown,20,21,19,0,0.129587,53600.522821237355,2.5538764053238767e-09,nan,0.4831866233034816,8.138428495872466e-11,206.99958503882777,58,Minimization exited successfully.
694,Unknown,34,36,35,0,0.126178,53610.99023906649,3.93427551494637e-09,nan,0.15367920289645554,3.329036721466266e-11,1494.8387546499907,103,Minimization exited successfully.
697,Unknown,0,40,40,0,0.155294,53599.615183178175,1.4058701730404152e-09,nan,1.1396954471347271,8.786872568673067e-11,175.24999401695362,78,Minimization exited successfully.
701,Unknown,0,20,21,0,0.205128,53609.0920197982,9.470805642950065e-10,nan,1.110091637368896,5.875358780983155e-11,29.68374796020055,39,Minimization exited successfully.
703,zSNIa,0,21,20,0,0.296481,53609.56963745328,8.73076247125184e-10,nan,1.1148357975835097,5.371216527764262e-11,58.06762994919607,39,Minimization exited successfully.
704,Unknown,0,20,20,0,0.204966,53604.30609931266,9.523417384007114e-10,nan,1.0778515924539533,5.4979236373667254e-11,53.04233670692824,38,Minimization exited successfully.
716,zSNII,0,39,37,0,0.322376,53614.53946622026,2.548470641727349e-09,nan,0.37361945811426267,3.850634811199456e-11,2674.9420599209734,74,Minimization exited successfully.
717,Unknown,20,20,20,0,0.12901,53602.01553599221,1.1068585011226863e-09,nan,0.92084544257159,5.958747572857062e-11,90.57810700107245,58,Minimization exited successfully.
722,SNIa,20,20,20,0,0.085038,53612.56817294918,6.0476619419606395e-09,nan,0.13518304840908968,4.9688340239268645e-11,1232.2466239195214,58,Minimization exited successfully.
735,zSNIa,0,20,20,0,0.189482,53600.87357375023,1.1272367555636322e-09,nan,1.5525979824378737,1.0217735464592823e-10,27.998978188611062,38,Minimization exited successfully.
739,SNIa,20,20,20,0,0.106421,53601.94239554947,5.090710283183034e-09,nan,0.21153591034089914,6.643179172401888e-11,631.4534887549286,58,Minimization exited successfully.
744,SNIa,20,20,19,0,0.12694,53602.29692121058,4.153241037237969e-09,nan,0.23470090804403299,5.675146542003228e-11,808.4263693266836,57,Minimization exited successfully.
762,SNIa,0,20,20,0,0.190088,53606.458226585106,2.018923037464377e-09,nan,0.8061329559823207,7.217680548288762e-11,120.43216644471241,38,Minimization exited successfully.
764,zSNII,0,21,20,0,0.185808,53631.48232372427,7.657167145804188e-10,nan,1.0393291469445103,6.067185941235e-11,123.2575969009385,39,Minimization exited successfully.
765,zSNII,0,23,24,0,0.259902,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
770,Unknown,23,22,23,0,0.041464,53607.10614777885,1.6615047404660728e-09,nan,0.39565295978536597,6.322467108171861e-11,465.6558395033235,66,Minimization exited successfully.
772,zSNII,0,24,23,0,0.20925,53601.91075560213,1.0219325402383897e-09,nan,1.0321547414969245,7.105160615825606e-11,94.05859944339235,45,Minimization exited successfully.
774,SNIa,22,23,23,0,0.092269,53603.98188838307,8.083680633694659e-09,nan,0.17605720863502938,9.046650227059335e-11,1893.701405660435,66,Minimization exited successfully.
779,zSNIa,0,23,21,0,0.236938,53607.30359753467,1.3317319399286142e-09,nan,1.0328413384049782,6.683478076187241e-11,89.8595994200485,42,Minimization exited successfully.
782,Unknown,22,22,23,0,0.131251,53616.84304906694,1.901236548221638e-09,nan,0.3549809428041044,4.4127755562478846e-11,1793.2033121338193,65,Minimization exited successfully.
792,Unknown,21,21,21,0,0.04282,53604.61655551378,1.2969569087416692e-09,nan,0.5540981793055835,5.88987282881323e-11,249.26719539759108,61,Minimization exited successfully.
799,zSNII,0,21,20,0,0.146407,53589.77241426758,1.2190695093292904e-09,nan,3.0504913314325677,2.5387352851191007e-10,47.992643991417324,39,Minimization exited successfully.
818,Unknown,0,23,22,0,0.237174,53603.37684029857,8.648479251010872e-10,nan,1.6730695116966672,6.932955071432789e-11,37.90029587973743,43,Minimization exited successfully.
822,zSNIa,0,23,20,0,0.236635,53602.78579501928,1.1071864685677884e-09,nan,0.864454979509901,6.801605165623056e-11,38.26650917357098,41,Minimization exited successfully.
830,Unknown,0,0,23,0,0.38623,53655.56563350103,1.1835162861911851e-09,nan,1.3940669755065755,1.1350691447361927e-10,63.27930322787866,21,Minimization exited successfully.
841,zSNIa,0,22,22,0,0.298318,53606.886055029994,7.54180922066254e-10,nan,1.2594386144301097,5.195960445493376e-11,35.75386885507041,42,Minimization exited successfully.
859,zSNIa,0,19,19,0,0.276728,53610.81154163586,1.1004565511379702e-09,nan,0.7304435249243397,5.11531644328031e-11,64.25040564315357,36,Minimization exited successfully.
863,zSNII,20,20,20,0,0.092949,53605.68910600454,1.1602557750629282e-09,nan,1.0532782273876364,5.341022888305535e-11,475.9562281171782,58,Minimization exited successfully.
875,Unknown,21,20,20,0,0.104044,53531.5266804204,1.724900040245009e-08,nan,2.0042035863552883,7.931689914875869e-10,747.8236311604928,59,Minimization exited successfully.
879,Unknown,0,0,18,0,0.451353,53630.62800301841,1.7118098297414893e-09,nan,2.0073799628626148,1.6749848612106125e-10,65.31979421436091,16,Minimization exited successfully.
893,zSNIa,20,21,20,0,0.108834,53604.1363546079,1.4970882504308562e-09,nan,0.4329688036486914,4.74060889143523e-11,70.79124504493483,59,Minimization exited successfully.
895,Unknown,0,20,20,0,0.266814,53599.775226083766,8.164475383333418e-10,nan,2.0674720631577657,9.065326460333291e-11,72.05621026346503,38,Minimization exited successfully.
896,Unknown,0,0,20,0,0.423446,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
904,zSNIa,0,0,21,0,0.383892,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
907,Unknown,22,23,24,0,0.105466,53606.65302491081,3.7596064190337134e-09,nan,0.24041652420419268,6.973103513766454e-11,2843.879146378552,67,Minimization exited successfully.
910,Unknown,0,20,20,0,0.147747,53602.65081537143,2.112255480423201e-09,nan,0.6735128806103603,8.323304995151659e-11,93.21357823445494,38,Minimization exited successfully.
911,zSNIa,0,21,23,0,0.206325,53603.94345218775,1.2388841856309309e-09,nan,0.8615662853881076,7.618718544696147e-11,45.20251198195714,42,Minimization exited successfully.
921,zSNII,46,45,45,0,0.125781,53614.26912586033,6.617389863144788e-10,nan,0.5691794128179026,2.6908850389822085e-11,433.66462549281545,134,Minimization exited successfully.
930,zSNII,0,36,36,0,0.288698,53645.044772407935,9.520624531672256e-10,nan,0.5834872291416104,3.5312940553468896e-11,519.4903364973609,70,Minimization exited successfully.
932,zSNIa,0,0,22,0,0.390036,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
979,Unknown,0,20,19,0,0.291144,53604.24717629399,7.549301069493707e-10,nan,1.6451661842402245,6.34840228607764e-11,70.10129948816,37,Minimization exited successfully.
983,zSNII,20,18,21,0,0.067238,53532.26462599439,3.44355613648587e-08,nan,2.0647254346586124,1.3696084111708118e-09,319.58819716222206,57,Minimization exited successfully.
986,zSNIa,0,19,20,0,0.279009,53602.32929446136,6.801458648136099e-10,nan,2.2162875805261137,6.17202853507064e-11,33.73004058263788,37,Minimization exited successfully.
1000,Unknown,21,22,22,0,0.128293,53601.39766308336,2.5196707488587907e-09,nan,0.4998209388832038,6.517754439522284e-11,154.70919134013468,63,Minimization exited successfully.
1008,zSNIa,0,22,22,0,0.225039,53606.55241804359,1.7196992930499712e-09,nan,0.7797925775594194,8.31456480885245e-11,80.96248536982925,42,Minimization exited successfully.
1027,zSNII,0,22,23,0,0.185416,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
1031,Unknown,45,47,46,0,0.114804,53604.345172578076,1.740758342751508e-09,nan,0.4636857857913128,4.1775379026181525e-11,451.2897489484558,136,Minimization exited successfully.
1032,SNIa,22,20,20,0,0.129033,53610.31481503248,2.7020705257759795e-09,nan,0.22521341785250115,5.1489692904266464e-11,138.29154049642142,60,Minimization exited successfully.
1041,Unknown,23,23,22,0,0.065187,53603.01944283003,4.159454978307924e-09,nan,0.24015280846288078,6.800849138832384e-11,283.9049344145953,66,Minimization exited successfully.
1112,SNIa,0,20,20,0,0.256085,53612.04097155229,9.176762201318548e-10,nan,0.8651659818424378,6.09491570875402e-11,35.03954416543816,38,Minimization exited successfully.
1113,zSNII,20,19,20,0,0.055632,53529.74339334829,1.2017050840513158e-07,nan,0.5199855636601569,1.1392752838201571e-09,2716.921813901122,57,Minimization exited successfully.
1114,SNII,19,19,17,0,0.025223,53640.20395832887,5.677736086698393e-08,nan,0.032342452941520605,1.3930057543332102e-10,85497.90929929973,53,Minimization exited successfully.
1119,SNIa,0,17,17,0,0.296391,53608.51546431847,6.827477884690028e-10,nan,1.8627692950176424,5.665010458842486e-11,34.92685709269985,32,Minimization exited successfully.
1126,Unknown,16,17,17,0,0.113914,53603.29146679564,2.1265473509906586e-09,nan,0.9566439300833736,1.2880874349760293e-10,80.18367627159094,48,Minimization exited successfully.
1127,Unknown,18,17,17,0,0.076085,53614.69760317804,3.2197963224699974e-09,nan,0.2189034408547741,6.243705917714043e-11,4296.829116306133,50,Minimization exited successfully.
1131,zSNII,0,17,18,0,0.172432,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
1150,zSNII,0,0,19,0,0.456315,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
1151,Unknown,0,16,16,0,0.361362,53608.00922279755,8.390952401143205e-10,nan,1.3921355696911633,6.047828127857907e-11,29.59483089605706,30,Minimization exited successfully.
1153,Unknown,0,16,16,0,0.338423,53612.55483394068,1.1280230911625322e-09,nan,0.6699263366499508,6.113667963577652e-11,77.692364382062,30,Minimization exited successfully.
1158,zSNIa,0,0,16,0,0.410115,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
1166,SNIa,0,0,17,0,0.380494,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
1170,Unknown,0,16,17,0,0.32846,53562.67589394556,3.5393090364852435e-09,nan,8.27136956664981,7.831397254035193e-10,19.810664208003978,31,Minimization exited successfully.
1172,Unknown,16,16,15,0,-5.7e-05,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
1181,Unknown,0,0,18,0,0.602537,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
1184,zSNII,0,0,17,0,0.548751,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
1196,zSNII,0,17,18,0,0.368957,53648.50664657615,8.676088382689552e-10,nan,1.5055994070899033,4.004308001443912e-11,269.8978736070062,33,Minimization exited successfully.
1198,zSNII,16,17,16,0,0.118439,53614.150296000844,1.1728849167032257e-09,nan,0.40113798938546097,4.395593445692056e-11,705.9356653342791,47,Minimization exited successfully.
1209,Unknown,0,21,21,0,0.241036,53575.09955603713,4.9194164722791756e-09,nan,3.2676581736450316,6.675889293140452e-10,31.164142302150786,40,Minimization exited successfully.
1214,zSNIa,0,23,24,0,0.263798,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
1241,SNIa,20,20,20,0,0.088477,53617.73135175282,8.163772811569302e-09,nan,0.06971640897972975,6.012035585352995e-11,2402.951635533972,58,Minimization exited successfully.
1243,Unknown,0,18,19,0,0.196967,53576.89063722065,3.834617706794797e-09,nan,5.106465554948954,8.688782963399335e-10,36.92741544036316,35,Minimization exited successfully.
1251,zSNII,0,21,23,0,0.178299,53618.54008948929,1.0573632751105785e-09,nan,1.235203314015962,6.636181810706146e-11,236.0821865379856,42,Minimization exited successfully.
1253,SNIa,0,17,17,0,0.261657,53616.20300847792,1.1119532689184634e-09,nan,0.6822015326288238,6.776348630499504e-11,41.70996431834753,32,Minimization exited successfully.
1277,Unknown,0,18,18,0,0.143396,53607.44294292564,1.0066323230277212e-09,nan,2.2983862763394427,6.715750789198307e-11,49.01860308575987,34,Minimization exited successfully.
1281,Unknown,0,17,18,0,0.289319,53652.0791874245,1.4896538149565193e-09,nan,1.5963068761193426,3.889809399922991e-11,773.3488488698126,33,Minimization exited successfully.
