#      NAME  RED LC-DATA ST      ST-err   COL     COL-err BMAG     BMAG-err   CHI2DOF   MJDMAX    MJDMAX-err
    sn2005lb  0.026   1    2.600    0.000      NaN      NaN      NaN      NaN  157.420   53634.839  0.100
    sn2005lc  0.014   1    2.600    0.000      NaN      NaN      NaN      NaN  485.987   53640.235  0.046
    sn2005fq  0.147   1    2.600    0.000      NaN      NaN      NaN      NaN    1.837   53634.436  1.581
    SDSS2661  0.193   1    2.600    0.000      NaN      NaN      NaN      NaN    1.673   53638.583  2.440
    sn2005gi  0.051   1    2.600   -0.000      NaN      NaN      NaN      NaN   69.006   53654.463  0.161
    sn2005jr  0.294   1    1.387    0.157      NaN      NaN   20.849    0.397    1.753   53681.640  1.045
    sn2005mk  0.148   1    1.086    0.074      NaN      NaN   21.471    0.280    2.365   53690.984  0.676
    sn2005kb  0.015   1    1.019    0.002      NaN      NaN   17.820    0.018  515.420   53687.632  0.024
    sn2005lm  0.085   1    1.159    0.031      NaN      NaN   20.872    0.072    2.742   53695.295  0.323
    sn2006fq  0.068   1    2.600    0.000      NaN      NaN      NaN      NaN   85.128   54002.262  0.181
    sn2006fg  0.045   1    2.600    0.000      NaN      NaN      NaN      NaN  131.966   53988.765  0.172
    sn2006ez  0.089   1    2.600    0.000      NaN      NaN      NaN      NaN   22.894   53996.189  0.173
    sn2006gd  0.155   1    2.600    0.000      NaN      NaN      NaN      NaN    5.317   54012.984  0.798
    sn2006kh  0.060   1    2.600    0.000      NaN      NaN      NaN      NaN  151.951   54020.931  0.135
    sn2006gq  0.070   1    2.600    0.000      NaN      NaN      NaN      NaN   20.539   54012.103  0.227
    sn2006ix  0.076   1    2.600   -0.000      NaN      NaN      NaN      NaN   10.377   54019.222  0.181
    sn2006kn  0.120   1    2.127    0.053      NaN      NaN   21.493    0.065    6.397   54023.811  0.420
    sn2006jl  0.051   1    2.323    0.018      NaN      NaN   19.840    0.074   61.055   54023.327  0.137
    sn2006iw  0.031   1    2.166    0.010      NaN      NaN   19.229    0.023  103.986   54034.134  0.087
    sn2006kv  0.062   1    1.587    0.016      NaN      NaN   20.434    0.035   19.158   54031.531  0.162
    sn2006ns  0.120   1    2.065    0.049      NaN      NaN   20.713    0.052    3.787   54039.994  0.289
    sn2006pc  0.055   1    1.638    0.060      NaN      NaN   22.118    0.090    2.900   54049.159  0.456
    sn2006ny  0.079   1    1.064    0.017      NaN      NaN   19.913    0.048    7.489   54054.648  0.161
   SDSS16391  0.057   1    0.725    0.016      NaN      NaN   20.579    0.064    9.102   54056.710  0.127
