cid,num_points_desg,num_points_desr,num_points_desi,num_points_desz,num_points_desy,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
1248677,13,13,17,16,0,0.3502,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1250017,14,16,15,15,0,0.1817,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1253039,17,19,18,20,0,0.4535,nan,nan,nan,nan,0.006,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1253101,17,16,18,17,0,0.4596,nan,nan,nan,nan,0.0005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1253920,14,15,14,15,0,0.1956,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1255502,6,4,4,15,0,0.1482,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1257366,7,8,10,15,0,0.2114,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1257695,12,11,13,12,0,0.1838,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1258906,13,15,13,15,0,0.3492,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1258940,17,18,17,18,0,0.4259,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1259412,12,11,12,12,0,0.3047,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1261579,10,10,10,10,0,0.3222,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1262214,23,22,23,0,0,0.6894,nan,nan,nan,nan,0.01,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1262715,11,10,12,13,0,0.6894,nan,nan,nan,nan,0.01,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1263369,9,9,9,9,0,0.3125,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1263715,8,9,9,9,0,0.2919,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1275946,16,18,19,19,0,0.2321,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1279500,10,12,12,11,0,0.235,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1280217,14,16,16,17,0,0.359,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1281668,20,20,21,22,0,0.3071,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1281886,15,18,18,19,0,0.384,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1282736,17,19,16,20,0,0.3689,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1283373,15,13,15,18,0,0.2075,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1283878,13,15,14,14,0,0.3135,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1283936,20,21,21,23,0,0.369,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1285160,16,20,19,17,0,0.7493,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1285317,22,23,23,24,0,0.5649,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1286398,12,14,13,13,0,0.1503,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1287626,5,5,7,6,0,0.304,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1289288,18,19,21,23,0,0.2897,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1289555,18,20,20,21,0,0.5588,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1289600,14,17,17,16,0,0.4196,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1289656,18,17,19,21,0,0.5394,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1289664,12,17,17,18,0,0.2491,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1290779,10,11,11,12,0,0.3895,nan,nan,nan,nan,0.01,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1290816,10,10,10,10,0,0.2185,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1291080,13,12,13,14,0,0.4438,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1291090,13,13,11,14,0,0.292,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1291794,17,18,19,18,0,0.3951,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1291957,16,15,14,15,0,0.36,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1292145,17,18,19,19,0,0.4925,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1292195,19,23,20,19,0,0.8293,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1292332,12,12,13,12,0,0.2735,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1292336,12,12,13,12,0,0.2336,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1292560,10,11,14,13,0,0.2248,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1293319,14,14,14,15,0,0.2969,nan,nan,nan,nan,0.0005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1293758,10,7,1,17,0,0.1472,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1294014,11,13,9,6,0,0.3627,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1294743,11,11,11,14,0,0.3126,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1295027,17,18,17,19,0,0.4254,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1295256,15,12,16,17,0,0.4425,nan,nan,nan,nan,0.007,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1295305,15,15,15,18,0,0.6117,nan,nan,nan,nan,0.006,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1295921,13,14,14,13,0,0.5239,nan,nan,nan,nan,0.007,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1296273,16,16,15,16,0,0.397,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1296321,13,13,12,13,0,0.1844,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1296657,4,4,10,14,0,0.1462,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1297026,14,13,13,16,0,0.2585,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1297465,16,14,16,16,0,0.2778,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1298281,14,15,14,15,0,0.2351,nan,nan,nan,nan,0.003,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1298893,3,4,5,10,0,0.1962,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1299643,16,17,16,17,0,0.38,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1299775,8,6,9,14,0,0.1598,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1299785,16,16,17,15,0,0.3813,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1300516,16,17,18,18,0,0.3104,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1300912,16,15,17,17,0,0.3376,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1301933,14,16,15,16,0,0.3299,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1302058,11,14,16,15,0,0.1984,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1302141,21,24,22,24,0,0.6088,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1302187,10,9,15,16,0,0.2195,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1302523,13,15,13,15,0,0.4239,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1302648,14,13,15,15,0,0.2319,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1303004,17,18,18,19,0,0.2949,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1303279,9,8,9,17,0,0.1724,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1303496,9,10,9,13,0,0.1798,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1303883,18,17,18,20,0,0.2591,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1303952,20,22,21,21,0,0.5626,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1304127,19,22,21,21,0,0.7286,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1304442,5,2,2,7,0,0.2171,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1304678,10,10,13,16,0,0.2188,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1305504,14,16,14,16,0,0.4956,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1305626,14,15,13,13,0,0.3257,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1306029,16,19,19,20,0,0.4289,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1306073,14,15,13,14,0,0.3286,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1306141,17,15,17,16,0,0.3324,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1306360,19,17,19,21,0,0.4494,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1306390,17,17,17,17,0,0.407,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1306537,18,19,19,20,0,0.4795,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1306626,17,18,18,20,0,0.4095,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1306785,10,9,11,12,0,0.5787,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1306980,18,22,22,24,0,0.5489,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1306991,17,18,17,20,0,0.4217,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1307277,15,18,18,19,0,0.4107,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1307830,13,15,16,15,0,0.3493,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1308314,18,18,19,19,0,0.4065,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1308326,16,16,16,15,0,0.3262,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1308568,15,17,19,21,0,0.6431,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1308582,13,14,15,15,0,0.3669,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1308884,10,13,13,12,0,0.0772,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1308957,15,20,19,18,0,0.6187,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1309288,8,6,13,17,0,0.2684,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1309492,14,15,15,17,0,0.3335,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1309749,16,17,18,19,0,0.7893,nan,nan,nan,nan,0.01,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1310338,18,17,9,19,0,0.4388,nan,nan,nan,nan,0.01,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1310395,17,18,17,18,0,0.289,nan,nan,nan,nan,0.01,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1312274,16,16,16,14,0,0.438,nan,nan,nan,nan,0.006,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1313594,14,12,14,14,0,0.2883,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1314897,14,11,14,15,0,0.3369,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1315192,9,7,12,10,0,0.2254,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1315259,10,10,11,13,0,0.228,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1315296,12,14,13,14,0,0.4126,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1316385,8,3,8,13,0,0.1478,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1316431,10,10,10,9,0,0.1981,nan,nan,nan,nan,0.005,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1316437,12,13,13,11,0,0.482,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1316465,9,11,10,11,0,0.3291,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
1317164,9,5,6,15,0,0.1547,nan,nan,nan,nan,0.001,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
