    INFO (2020-06-17 15:18:09,560): root - Found t0 for <12860>. t0 = 2453994.3
    INFO (2020-06-17 15:18:09,612): root - Formatted table for <12860> has 2 spectra
    INFO (2020-06-17 15:18:09,619): root - snid forcez=0.120422 emclip=0.120422 age=-2.7999999998137355 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmp3ggy25nw/12860_-2.80.dat
    INFO (2020-06-17 15:18:11,111): root - snid forcez=0.120422 emclip=0.120422 age=-0.7999999998137355 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmphft4ycl0/12860_-0.80.dat
   DEBUG (2020-06-17 15:18:12,283): root - Finished with target


    INFO (2020-06-17 15:18:12,283): root - Fetching data for <16619> (11 / 938)
   DEBUG (2020-06-17 15:18:12,672): root - Formatting table for <16619>
   DEBUG (2020-06-17 15:18:12,672): root - Fetching t0 for <16619>
    INFO (2020-06-17 15:18:12,673): root - t0 not available for <16619>
   DEBUG (2020-06-17 15:18:12,673): root - Finished with target


    INFO (2020-06-17 15:18:12,673): root - Fetching data for <2871> (12 / 938)
   DEBUG (2020-06-17 15:18:12,800): root - Formatting table for <2871>
   DEBUG (2020-06-17 15:18:12,800): root - Fetching t0 for <2871>
    INFO (2020-06-17 15:18:12,801): root - Found t0 for <2871>. t0 = 2453634.1
    INFO (2020-06-17 15:18:12,839): root - Formatted table for <2871> has 0 spectra
   DEBUG (2020-06-17 15:18:12,839): root - Finished with target


    INFO (2020-06-17 15:18:12,839): root - Fetching data for <17564> (13 / 938)
   DEBUG (2020-06-17 15:18:12,916): root - Formatting table for <17564>
   DEBUG (2020-06-17 15:18:12,916): root - Fetching t0 for <17564>
    INFO (2020-06-17 15:18:12,916): root - t0 not available for <17564>
   DEBUG (2020-06-17 15:18:12,917): root - Finished with target


    INFO (2020-06-17 15:18:12,917): root - Fetching data for <3241> (14 / 938)
   DEBUG (2020-06-17 15:18:13,074): root - Formatting table for <3241>
   DEBUG (2020-06-17 15:18:13,075): root - Fetching t0 for <3241>
    INFO (2020-06-17 15:18:13,075): root - Found t0 for <3241>. t0 = 2453647.4
    INFO (2020-06-17 15:18:13,146): root - Formatted table for <3241> has 1 spectra
    INFO (2020-06-17 15:18:13,166): root - snid forcez=0.257823 emclip=0.257823 age=-8.899999999906868 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmphmhinfo3/3241_-8.90.dat
   DEBUG (2020-06-17 15:18:14,265): root - Finished with target


    INFO (2020-06-17 15:18:14,265): root - Fetching data for <15421> (15 / 938)
   DEBUG (2020-06-17 15:18:14,336): root - Formatting table for <15421>
   DEBUG (2020-06-17 15:18:14,336): root - Fetching t0 for <15421>
    INFO (2020-06-17 15:18:14,337): root - Found t0 for <15421>. t0 = 2454035.7
    INFO (2020-06-17 15:18:14,353): root - Formatted table for <15421> has 1 spectra
    INFO (2020-06-17 15:18:14,358): root - snid forcez=0.184428 emclip=0.184428 age=-5.2000000001862645 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmpefeoy93i/15421_-5.20.dat
   DEBUG (2020-06-17 15:18:15,435): root - Finished with target


    INFO (2020-06-17 15:18:15,435): root - Fetching data for <16192> (16 / 938)
   DEBUG (2020-06-17 15:18:15,563): root - Formatting table for <16192>
   DEBUG (2020-06-17 15:18:15,564): root - Fetching t0 for <16192>
    INFO (2020-06-17 15:18:15,565): root - Found t0 for <16192>. t0 = 2454056.5
    INFO (2020-06-17 15:18:15,606): root - Formatted table for <16192> has 1 spectra
    INFO (2020-06-17 15:18:15,613): root - snid forcez=0.077291 emclip=0.077291 age=0.0 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmpmi4eju_0/16192_0.00.dat
   DEBUG (2020-06-17 15:18:16,660): root - Finished with target


    INFO (2020-06-17 15:18:16,660): root - Fetching data for <15580> (17 / 938)
   DEBUG (2020-06-17 15:18:16,748): root - Formatting table for <15580>
   DEBUG (2020-06-17 15:18:16,748): root - Fetching t0 for <15580>
    INFO (2020-06-17 15:18:16,750): root - Found t0 for <15580>. t0 = 2454028.7
    INFO (2020-06-17 15:18:16,764): root - Formatted table for <15580> has 0 spectra
   DEBUG (2020-06-17 15:18:16,764): root - Finished with target


    INFO (2020-06-17 15:18:16,764): root - Fetching data for <15648> (18 / 938)
   DEBUG (2020-06-17 15:18:16,841): root - Formatting table for <15648>
   DEBUG (2020-06-17 15:18:16,841): root - Fetching t0 for <15648>
    INFO (2020-06-17 15:18:16,842): root - Found t0 for <15648>. t0 = 2454043.1
    INFO (2020-06-17 15:18:16,859): root - Formatted table for <15648> has 1 spectra
