objId,Phase,Redshift,subType,nSubType,percSubType,nType,percType,SDSSClass
12972,13.9,0.2622,Ia-norm,154.0,88.50574712643679,174.0,100.0,SNIa
12977,0.9,0.2514,Ia-norm,85.0,98.83720930232558,86.0,100.0,SNIa
13025,4.4,0.2279,Ia-norm,130.0,94.8905109489051,137.0,100.0,SNIa
13038,6.5,0.1103,Ia-norm,17.0,100.0,17.0,100.0,SNIa
13044,-9.2,0.1264,Ia-norm,30.0,100.0,30.0,100.0,SNIa
13045,0.9,0.1886,Ia-norm,69.0,78.4090909090909,88.0,100.0,SNIa
13070,8.5,0.1972,Ia-norm,1.0,100.0,1.0,100.0,SNIa
13072,5.1,0.2342,Ia-norm,5.0,50.0,10.0,90.9090909090909,SNIa
13099,-0.7,0.2693,Ia-norm,239.0,98.35390946502058,243.0,100.0,SNIa
13135,1.3,0.1075,Ia-norm,100.0,90.09009009009009,111.0,100.0,SNIa
13152,-5.2,0.2061,Ia-norm,2.0,66.66666666666666,3.0,100.0,SNIa
13174,-4.9,0.2394,Ia-norm,23.0,71.875,32.0,96.96969696969697,SNIa?
13195,-0.2,0.0177,Ib-norm,2.0,66.66666666666666,3.0,100.0,SNIb
13254,4.8,0.1821,Ia-norm,411.0,89.34782608695652,460.0,100.0,SNIa
13305,-1.9,0.2041,Ia-norm,16.0,100.0,16.0,100.0,SNIa
13354,-1.5,0.1576,Ia-91T,27.0,72.97297297297297,37.0,80.43478260869566,SNIa
13370,12.0,0.2042,Ia-norm,12.0,52.17391304347826,23.0,100.0,SNIa
13376,14.2,0.0719,IIP,12.0,100.0,12.0,100.0,SNII
13411,12.7,0.1603,Ia-norm,72.0,72.0,100.0,94.33962264150944,SNIa
13425,5.0,0.2162,Ia-norm,129.0,88.35616438356165,146.0,93.58974358974359,SNIa
13506,2.4,0.254,Ia-norm,219.0,98.64864864864865,222.0,100.0,SNIa
13511,0.6,0.2379,Ia-norm,19.0,100.0,19.0,100.0,SNIa
13578,6.1,0.2383,Ia-norm,61.0,100.0,61.0,100.0,SNIa
13610,4.1,0.2985,Ia-norm,208.0,83.87096774193549,248.0,100.0,SNIa
13641,0.2,0.2207,Ia-norm,31.0,96.875,32.0,100.0,SNIa
13655,5.0,0.2647,Ia-norm,30.0,63.829787234042556,47.0,100.0,SNIa
13689,4.9,0.2501,Ia-norm,12.0,100.0,12.0,100.0,SNIa
13727,-2.0,0.2261,Ia-norm,118.0,97.52066115702479,121.0,100.0,SNIa
13736,-8.8,0.1492,Ia-91T,10.0,100.0,10.0,90.9090909090909,SNIa
13757,11.1,0.2909,Ia-norm,2.0,100.0,2.0,100.0,SNIa
13796,14.6,0.152,Ia-norm,138.0,87.34177215189874,158.0,100.0,SNIa
13830,11.2,0.3443,Ia-norm,14.0,70.0,20.0,100.0,SNIa
13835,-4.3,0.2498,Ia-norm,3.0,100.0,3.0,100.0,SNIa
13894,10.4,0.127,Ia-norm,27.0,64.28571428571429,42.0,100.0,SNIa
14019,13.8,0.2216,Ia-norm,42.0,93.33333333333333,45.0,78.94736842105263,SNIa
14024,-5.3,0.146,Ia-norm,162.0,90.0,180.0,100.0,SNIa
14108,-1.2,0.1376,Ia-norm,32.0,91.42857142857143,35.0,100.0,SNIa
14157,11.2,0.2167,Ia-norm,1.0,100.0,1.0,100.0,SNIa
14186,-7.3,0.3045,Ia-csm,1.0,100.0,1.0,100.0,Unknown
14212,4.0,0.2098,Ia-norm,319.0,93.82352941176471,340.0,100.0,SNIa
14261,4.2,0.2923,Ia-norm,60.0,74.07407407407408,81.0,100.0,SNIa
14279,6.0,0.0466,Ia-norm,108.0,87.8048780487805,123.0,100.0,SNIa
14284,-4.6,0.1798,Ia-norm,57.0,75.0,76.0,100.0,SNIa
14298,10.8,0.2731,Ia-norm,8.0,66.66666666666666,12.0,100.0,SNIa
14331,14.5,0.2161,Ia-norm,4.0,100.0,4.0,100.0,SNIa
14377,-5.7,0.1351,Ia-norm,4.0,80.0,5.0,100.0,SNIa?
14397,10.8,0.3843,Ia-norm,2.0,100.0,2.0,100.0,SNIa
14421,-1.0,0.1773,Ia-norm,21.0,65.625,32.0,100.0,SNIa
14437,0.2,0.1504,Ia-norm,6.0,100.0,6.0,100.0,SNIa
14450,5.1,0.1129,IIP,6.0,75.0,8.0,100.0,SNII
14451,11.2,0.1818,Ia-norm,6.0,100.0,6.0,100.0,SNIa
14456,4.4,0.3335,Ia-norm,125.0,84.45945945945947,148.0,100.0,SNIa
14475,4.4,0.1475,Ic-broad,3.0,100.0,3.0,100.0,SNIc
14492,8.5,0.0631,Ib-norm,7.0,77.77777777777779,9.0,81.81818181818183,SNIb
14599,3.3,0.0487,IIP,45.0,100.0,45.0,97.82608695652173,SNII
14782,1.9,0.1689,Ia-norm,58.0,74.35897435897436,78.0,100.0,SNIa
14815,0.5,0.1355,Ia-norm,94.0,69.11764705882352,136.0,98.55072463768117,SNIa
14816,3.6,0.1061,Ia-pec,2.0,50.0,4.0,100.0,SNIa
14846,-2.0,0.2227,Ia-norm,37.0,90.2439024390244,41.0,100.0,SNIa
14871,-4.2,0.1242,Ia-norm,30.0,100.0,30.0,100.0,SNIa
14979,-2.6,0.1786,Ia-norm,162.0,76.05633802816901,213.0,100.0,SNIa
