    INFO (2020-05-19 16:31:54,907): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/6315_2.40.dat
   DEBUG (2020-05-19 16:31:59,045): root - Finished with target


    INFO (2020-05-19 16:31:59,045): root - Fetching data for <17497> (8 / 938)
   DEBUG (2020-05-19 16:31:59,349): root - Formatting table for <17497>
   DEBUG (2020-05-19 16:31:59,349): root - Fetching t0 for <17497>
    INFO (2020-05-19 16:31:59,350): root - Found t0 for <17497>. t0 = 2454365.2
    INFO (2020-05-19 16:31:59,376): root - Formatted table for <17497> has 1 spectra
    INFO (2020-05-19 16:31:59,377): root - No recorded type for <17497>
   DEBUG (2020-05-19 16:31:59,377): root - Finished with target


    INFO (2020-05-19 16:31:59,377): root - Fetching data for <16482> (9 / 938)
   DEBUG (2020-05-19 16:31:59,472): root - Formatting table for <16482>
   DEBUG (2020-05-19 16:31:59,472): root - Fetching t0 for <16482>
    INFO (2020-05-19 16:31:59,473): root - Found t0 for <16482>. t0 = 2454059.6
    INFO (2020-05-19 16:31:59,491): root - Formatted table for <16482> has 1 spectra
    INFO (2020-05-19 16:31:59,491): root - Using template Ia
    INFO (2020-05-19 16:31:59,498): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/16482_1.90.dat
   DEBUG (2020-05-19 16:32:03,675): root - Finished with target


    INFO (2020-05-19 16:32:03,676): root - Fetching data for <8750> (10 / 938)
   DEBUG (2020-05-19 16:32:03,813): root - Formatting table for <8750>
   DEBUG (2020-05-19 16:32:03,813): root - Fetching t0 for <8750>
    INFO (2020-05-19 16:32:03,815): root - Found t0 for <8750>. t0 = 2453686.5
    INFO (2020-05-19 16:32:03,847): root - Formatted table for <8750> has 0 spectra
   DEBUG (2020-05-19 16:32:03,847): root - Finished with target


    INFO (2020-05-19 16:32:03,847): root - Fetching data for <14735> (11 / 938)
   DEBUG (2020-05-19 16:32:04,012): root - Formatting table for <14735>
   DEBUG (2020-05-19 16:32:04,012): root - Fetching t0 for <14735>
    INFO (2020-05-19 16:32:04,013): root - Found t0 for <14735>. t0 = 2454014.2
    INFO (2020-05-19 16:32:04,055): root - Formatted table for <14735> has 1 spectra
    INFO (2020-05-19 16:32:04,055): root - No recorded type for <14735>
   DEBUG (2020-05-19 16:32:04,055): root - Finished with target


    INFO (2020-05-19 16:32:04,055): root - Fetching data for <18323> (12 / 938)
   DEBUG (2020-05-19 16:32:04,191): root - Formatting table for <18323>
   DEBUG (2020-05-19 16:32:04,192): root - Fetching t0 for <18323>
    INFO (2020-05-19 16:32:04,193): root - Found t0 for <18323>. t0 = 2454375.9
    INFO (2020-05-19 16:32:04,230): root - Formatted table for <18323> has 1 spectra
    INFO (2020-05-19 16:32:04,231): root - Using template Ia
    INFO (2020-05-19 16:32:04,244): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/18323_3.60.dat
   DEBUG (2020-05-19 16:32:08,343): root - Finished with target


    INFO (2020-05-19 16:32:08,343): root - Fetching data for <18782> (13 / 938)
   DEBUG (2020-05-19 16:32:08,442): root - Formatting table for <18782>
   DEBUG (2020-05-19 16:32:08,442): root - Fetching t0 for <18782>
    INFO (2020-05-19 16:32:08,444): root - Found t0 for <18782>. t0 = 2454377.2
    INFO (2020-05-19 16:32:08,460): root - Formatted table for <18782> has 0 spectra
   DEBUG (2020-05-19 16:32:08,460): root - Finished with target


    INFO (2020-05-19 16:32:08,460): root - Fetching data for <15002> (14 / 938)
   DEBUG (2020-05-19 16:32:08,565): root - Formatting table for <15002>
   DEBUG (2020-05-19 16:32:08,565): root - Fetching t0 for <15002>
    INFO (2020-05-19 16:32:08,566): root - Found t0 for <15002>. t0 = 2454024.0
    INFO (2020-05-19 16:32:08,588): root - Formatted table for <15002> has 1 spectra
    INFO (2020-05-19 16:32:08,588): root - No recorded type for <15002>
   DEBUG (2020-05-19 16:32:08,589): root - Finished with target


    INFO (2020-05-19 16:32:08,589): root - Fetching data for <13577> (15 / 938)
   DEBUG (2020-05-19 16:32:08,698): root - Formatting table for <13577>
   DEBUG (2020-05-19 16:32:08,699): root - Fetching t0 for <13577>
    INFO (2020-05-19 16:32:08,699): root - t0 not available for <13577>
   DEBUG (2020-05-19 16:32:08,699): root - Finished with target


    INFO (2020-05-19 16:32:08,700): root - Fetching data for <15892> (16 / 938)
   DEBUG (2020-05-19 16:32:08,799): root - Formatting table for <15892>
   DEBUG (2020-05-19 16:32:08,799): root - Fetching t0 for <15892>
    INFO (2020-05-19 16:32:08,801): root - Found t0 for <15892>. t0 = 2454042.3
    INFO (2020-05-19 16:32:08,820): root - Formatted table for <15892> has 0 spectra
   DEBUG (2020-05-19 16:32:08,820): root - Finished with target


    INFO (2020-05-19 16:32:08,820): root - Fetching data for <18297> (17 / 938)
   DEBUG (2020-05-19 16:32:08,920): root - Formatting table for <18297>
   DEBUG (2020-05-19 16:32:08,921): root - Fetching t0 for <18297>
    INFO (2020-05-19 16:32:08,922): root - Found t0 for <18297>. t0 = 2454378.8
    INFO (2020-05-19 16:32:08,942): root - Formatted table for <18297> has 1 spectra
    INFO (2020-05-19 16:32:08,942): root - Using template II
    INFO (2020-05-19 16:32:08,949): root - snid usetype=II rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/18297_0.70.dat
   DEBUG (2020-05-19 16:32:09,682): root - Finished with target


    INFO (2020-05-19 16:32:09,683): root - Fetching data for <1008> (18 / 938)
   DEBUG (2020-05-19 16:32:10,018): root - Formatting table for <1008>
   DEBUG (2020-05-19 16:32:10,018): root - Fetching t0 for <1008>
    INFO (2020-05-19 16:32:10,019): root - Found t0 for <1008>. t0 = 2453623.7
    INFO (2020-05-19 16:32:10,120): root - Formatted table for <1008> has 0 spectra
   DEBUG (2020-05-19 16:32:10,120): root - Finished with target


    INFO (2020-05-19 16:32:10,120): root - Fetching data for <5963> (19 / 938)
   DEBUG (2020-05-19 16:32:10,217): root - Formatting table for <5963>
   DEBUG (2020-05-19 16:32:10,217): root - Fetching t0 for <5963>
    INFO (2020-05-19 16:32:10,218): root - Found t0 for <5963>. t0 = 2453667.6
