   DEBUG (2020-05-19 15:28:52,778): root - Formatting table for <14735>
   DEBUG (2020-05-19 15:28:52,778): root - Fetching t0 for <14735>
    INFO (2020-05-19 15:28:52,780): root - Found t0 for <14735>. t0 = 2454014.2
    INFO (2020-05-19 15:28:52,824): root - Formatted table for <14735> has 1 spectra
    INFO (2020-05-19 15:28:52,832): root - snid forcez=0.299356 emclip=0.299356 age=14.299999999813735 wmin=4000 wmax=9000 dage=10 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/14735_14.30.dat
   DEBUG (2020-05-19 15:28:54,843): root - Finished with target


    INFO (2020-05-19 15:28:54,843): root - Fetching data for <17875> (10 / 938)
   DEBUG (2020-05-19 15:28:54,958): root - Formatting table for <17875>
   DEBUG (2020-05-19 15:28:54,958): root - Fetching t0 for <17875>
    INFO (2020-05-19 15:28:54,960): root - Found t0 for <17875>. t0 = 2454362.8
    INFO (2020-05-19 15:28:54,984): root - Formatted table for <17875> has 1 spectra
    INFO (2020-05-19 15:28:54,993): root - snid forcez=0.210749 emclip=0.210749 age=0.7000000001862645 wmin=4000 wmax=9000 dage=10 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/17875_0.70.dat
   DEBUG (2020-05-19 15:28:57,041): root - Finished with target


    INFO (2020-05-19 15:28:57,041): root - Fetching data for <5524> (11 / 938)
   DEBUG (2020-05-19 15:28:57,160): root - Formatting table for <5524>
   DEBUG (2020-05-19 15:28:57,160): root - Fetching t0 for <5524>
    INFO (2020-05-19 15:28:57,161): root - t0 not available for <5524>
   DEBUG (2020-05-19 15:28:57,161): root - Finished with target


    INFO (2020-05-19 15:28:57,161): root - Fetching data for <16000> (12 / 938)
   DEBUG (2020-05-19 15:28:57,290): root - Formatting table for <16000>
   DEBUG (2020-05-19 15:28:57,290): root - Fetching t0 for <16000>
    INFO (2020-05-19 15:28:57,291): root - Found t0 for <16000>. t0 = 2454044.1
    INFO (2020-05-19 15:28:57,309): root - Formatted table for <16000> has 1 spectra
    INFO (2020-05-19 15:28:57,315): root - snid forcez=0.388571 emclip=0.388571 age=7.399999999906868 wmin=4000 wmax=9000 dage=10 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/16000_7.40.dat
   DEBUG (2020-05-19 15:28:59,364): root - Finished with target


    INFO (2020-05-19 15:28:59,364): root - Fetching data for <7363> (13 / 938)
   DEBUG (2020-05-19 15:28:59,519): root - Formatting table for <7363>
   DEBUG (2020-05-19 15:28:59,520): root - Fetching t0 for <7363>
    INFO (2020-05-19 15:28:59,521): root - Found t0 for <7363>. t0 = 2453680.1
    INFO (2020-05-19 15:28:59,563): root - Formatted table for <7363> has 0 spectra
   DEBUG (2020-05-19 15:28:59,563): root - Finished with target


    INFO (2020-05-19 15:28:59,563): root - Fetching data for <18612> (14 / 938)
   DEBUG (2020-05-19 15:28:59,822): root - Formatting table for <18612>
   DEBUG (2020-05-19 15:28:59,822): root - Fetching t0 for <18612>
