SURVEY: SDSS   
SNID:   144   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  100 
FILTERS: ugriz 
RA:      30.865074  deg 
DECL:    -1.053000  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0280    MW E(B-V) 
MWEBV_ERR:   0.0045    error on MWEBV 
REDSHIFT_HELIO:   0.078245 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.077278 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  from Host Galaxy (Unconfirmed SN)

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53657.895 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91BG 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91BG  
SIM_LIBID:  386  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.07792  
SIM_REDSHIFT_CMB:    0.07695  
SIM_REDSHIFT_HOST:   0.07792  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      37.7141  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        30.865074 deg  
SIM_DECL:      -1.053000 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0240   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   22.53  20.50  19.47  19.27  19.46  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53658.320312  days 
SIM_SALT2x0:   8.2100e-16   
SIM_SEARCHEFF_MASK:  5  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  0.5550  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -12.96   days 
SIM_TRESTMAX:    43.58   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  0.968786 
SIMSED_PARAM(color):  0.600912 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 155 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53644.352  u  82N   3.0338e+01   4.368e+01    0  27.600    1.44  28.7673 
OBS:  53644.352  g  82N   3.8327e+00   1.697e+01    0  28.690    1.28  27.1167 
OBS:  53644.352  r  82N  -9.6900e+00   2.073e+01    0  28.260    1.13  26.2743 
OBS:  53644.352  i  82N  -2.8527e+01   3.283e+01    0  27.910    1.12  26.0882 
OBS:  53644.352  z  82N  -6.0454e+01   9.023e+01    0  26.260    1.25  26.2732 
OBS:  53646.426  u  82S  -1.9178e+01   6.254e+01    0  26.930    1.23  25.9257 
OBS:  53646.426  g  82S   4.2497e+01   2.093e+01    0  28.220    1.03  24.1075 
OBS:  53646.426  r  82S   3.6837e+01   2.673e+01    0  27.960    0.91  23.2628 
OBS:  53646.426  i  82S   1.9311e+01   4.193e+01    0  27.350    0.87  23.0784 
OBS:  53646.426  z  82S   1.7956e+02   1.365e+02    0  25.690    0.98  23.2630 
OBS:  53655.336  u  82S   1.8622e+02   4.851e+01    0  27.640    1.54  22.5372 
OBS:  53655.336  g  82S   5.4492e+02   2.098e+01    0  28.700    1.46  20.6512 
OBS:  53655.336  r  82S   1.2543e+03   2.947e+01    0  28.270    1.32  19.7502 
OBS:  53655.336  i  82S   1.4243e+03   4.483e+01    0  27.930    1.35  19.5662 
OBS:  53655.336  z  82S   1.5215e+03   1.300e+02    0  26.270    1.38  19.7090 
OBS:  53657.363  u  82N   2.8396e+00   1.097e+02    0  27.580    2.15  22.4905 
OBS:  53657.363  g  82N   6.1536e+02   4.947e+01    0  28.660    1.73  20.5114 
OBS:  53657.363  r  82N   1.5728e+03   5.169e+01    0  28.250    1.76  19.5317 
OBS:  53657.363  i  82N   1.8455e+03   6.340e+01    0  27.890    1.64  19.3450 
OBS:  53657.363  z  82N   1.5196e+03   1.676e+02    0  26.220    1.70  19.5144 
OBS:  53663.348  u  82N   1.3446e+02   8.567e+01    0  27.650    1.33  23.2321 
OBS:  53663.348  g  82N   3.9600e+02   4.352e+01    0  28.700    1.40  20.8977 
OBS:  53663.348  r  82N   1.6038e+03   3.626e+01    0  28.270    0.93  19.4689 
OBS:  53663.348  i  82N   1.9768e+03   4.445e+01    0  27.920    0.85  19.2365 
OBS:  53663.348  z  82N   1.6676e+03   1.193e+02    0  26.260    1.07  19.3927 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53663.3480 
OBS:  53664.359  u  82S   2.9149e+02   9.177e+01    0  27.590    1.51  23.3989 
OBS:  53664.359  g  82S   4.0237e+02   4.443e+01    0  28.680    1.33  21.0580 
OBS:  53664.359  r  82S   1.4922e+03   5.255e+01    0  28.250    1.09  19.5273 
OBS:  53664.359  i  82S   2.0859e+03   6.798e+01    0  27.910    1.01  19.2834 
OBS:  53664.359  z  82S   1.7860e+03   1.505e+02    0  26.260    1.03  19.4090 
OBS:  53665.426  u  82S   1.8410e+01   8.602e+01    0  27.380    1.41  23.5480 
OBS:  53665.426  g  82S   3.0963e+02   3.096e+01    0  28.630    1.14  21.2399 
