SURVEY: SDSS   
SNID:   570   
IAUC:    NULL 
PHOTOMETRY_VERSION: 91bg 
SNTYPE:  0 
FILTERS: ugriz 
RA:      -25.161116  deg 
DECL:    0.297016  deg 
PIXSIZE:  0.4000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0700    MW E(B-V) 
MWEBV_ERR:   0.0112    error on MWEBV 
REDSHIFT_HELIO:   0.031360 +- 0.000500  (Helio, z_best) 
REDSHIFT_FINAL:   0.030127 +- 0.000500  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   53667.906 

HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_SNSEP:    -9.000    # arcsec 
 

SIM_MODEL_NAME:  SIMSED.91BG 
SIM_MODEL_INDEX:  7 
SIM_TYPE_INDEX:   0 
SIM_TYPE_NAME:    UNKNOWN 
SIM_NON1a:      0   (NONIA index) 
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SIMSED.91BG  
SIM_LIBID:  606  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.03224  
SIM_REDSHIFT_CMB:    0.03101  
SIM_REDSHIFT_HOST:   0.03224  
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      35.6694  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        -25.161116 deg  
SIM_DECL:      0.297016 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0687   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       1   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000  (ugriz F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   19.64  17.94  17.18  17.19  17.50  (ugriz obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0    1.0  (ugriz obs)
SIM_PEAKMJD:   53668.898438  days 
SIM_SALT2x0:   5.3980e-15   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:   -14.21   days 
SIM_TRESTMAX:    32.22   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 

SIMSED_NPAR: 2 
SIMSED_PARAM(stretch):  1.095487 
SIMSED_PARAM(color):  0.347166 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 65 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  53654.230  u  82N  -5.2395e+01   4.886e+01    0  27.340    0.99  25.2135 
OBS:  53654.230  g  82N   8.0357e+00   1.743e+01    0  28.540    0.99  23.8917 
OBS:  53654.230  r  82N   7.5075e+01   2.359e+01    0  28.210    0.89  23.3198 
OBS:  53654.230  i  82N   3.3173e+01   3.349e+01    0  27.980    0.83  23.3287 
OBS:  53654.230  z  82N   1.0444e+02   1.246e+02    0  26.050    0.81  23.6422 
OBS:  53656.176  u  82N   2.0411e+02   1.229e+02    0  27.450    1.92  22.8505 
OBS:  53656.176  g  82N   2.8087e+02   4.587e+01    0  28.570    1.69  21.4219 
OBS:  53656.176  r  82N   4.7782e+02   5.022e+01    0  28.210    1.58  20.8352 
OBS:  53656.176  i  82N   4.7067e+02   5.709e+01    0  27.980    1.44  20.8465 
OBS:  53656.176  z  82N   3.0315e+02   2.125e+02    0  26.080    1.55  21.1611 
OBS:  53663.191  u  82N   1.1461e+03   6.548e+01    0  27.460    0.90  19.8143 
OBS:  53663.191  g  82N   4.3566e+03   4.397e+01    0  28.590    0.89  18.4029 
OBS:  53663.191  r  82N   7.3768e+03   7.724e+01    0  28.240    0.79  17.8205 
OBS:  53663.191  i  82N   7.4882e+03   7.685e+01    0  28.000    0.70  17.8178 
OBS:  53663.191  z  82N   5.8938e+03   1.407e+02    0  26.090    0.76  18.0911 
OBS:  53668.180  u  82N   1.4398e+03   6.942e+01    0  27.400    1.61  19.6209 
OBS:  53668.180  g  82N   6.7247e+03   5.831e+01    0  28.580    1.59  17.9443 
OBS:  53668.180  r  82N   1.3038e+04   1.287e+02    0  28.230    1.34  17.2221 
OBS:  53668.180  i  82N   1.2863e+04   1.233e+02    0  28.000    1.34  17.2321 
OBS:  53668.180  z  82N   1.0077e+04   2.275e+02    0  26.120    1.33  17.5342 
DETECTION:  3 obs satisfy gr+ri+gi  at MJD_TRIGGER=53668.1800 
OBS:  53670.184  u  82N   1.3004e+03   6.074e+01    0  27.350    1.21  19.7284 
OBS:  53670.184  g  82N   6.5151e+03   5.635e+01    0  28.540    1.10  17.9572 
OBS:  53670.184  r  82N   1.4071e+04   1.379e+02    0  28.200    1.15  17.1248 
OBS:  53670.184  i  82N   1.3802e+04   1.283e+02    0  27.980    1.04  17.1353 
OBS:  53670.184  z  82N   1.0492e+04   1.946e+02    0  26.070    0.98  17.4621 
OBS:  53673.152  u  82N   1.0330e+03   6.002e+01    0  27.400    1.45  20.1271 
OBS:  53673.152  g  82N   5.5601e+03   4.979e+01    0  28.560    1.44  18.1479 
OBS:  53673.152  r  82N   1.4514e+04   1.420e+02    0  28.210    1.22  17.1141 
OBS:  53673.152  i  82N   1.4532e+04   1.343e+02    0  27.990    1.17  17.1187 
OBS:  53673.152  z  82N   1.0133e+04   2.003e+02    0  26.090    1.24  17.4737 
OBS:  53675.148  u  82N   6.1620e+02   5.650e+01    0  27.380    1.50  20.4353 
OBS:  53675.148  g  82N   4.3130e+03   4.065e+01    0  28.570    1.34  18.4051 
