obj_id,z,z_err,num_points_desu,num_points_desg,t0,amplitude,t0_err,amplitude_err,chi,dof,message
des_01248677.dat,0.3502,0.001,0,0,56542.68139012427,3.8133029411857956e-11,0.10191016441967804,2.107891436595263e-13,2168.787651806974,24,Minimization exited successfully.
des_01250017.dat,0.1817,0.001,0,0,56536.61415580686,4.772554792521622e-10,0.06594696767206187,3.8030499859058404e-12,533.052709405281,11,Minimization exited successfully.
des_01253039.dat,0.4535,0.006,0,0,56552.55148293794,4.046362263547116e-11,0.4173190599976806,1.1283616089334631e-12,68.76997281743195,14,Minimization exited successfully.
des_01253101.dat,0.4596,0.0005,0,0,56552.41130710713,4.2191824627109486e-11,0.7099997262484976,1.4398550659598379e-12,87.7913359798651,14,Minimization exited successfully.
des_01253920.dat,0.1956,0.001,0,0,56566.76317564916,3.558826602329908e-10,0.09466216272267047,4.4082421108393204e-12,270.77380750452676,11,Minimization exited successfully.
des_01255502.dat,0.1482,0.001,0,5,56601.502037577884,4.4076955226420926e-10,0.8511825971472717,1.565043531237538e-11,48.355414021641536,6,Minimization exited successfully.
des_01257366.dat,0.2114,0.001,0,0,56601.65282859995,1.9478401458236847e-10,0.940280308277579,1.387979894556243e-11,8.043321115990128,5,Minimization exited successfully.
des_01257695.dat,0.1838,0.001,0,0,56595.565954599595,4.3540336322697373e-10,0.09001049198559485,4.8849111769491815e-12,659.3389560995258,7,Minimization exited successfully.
des_01258906.dat,0.3492,0.001,0,0,56601.14230125302,7.40552680237069e-11,0.27863048702784,1.7592336904822713e-12,303.6627178610728,22,Minimization exited successfully.
des_01258940.dat,0.4259,0.001,0,0,56598.25967947942,5.984418638872227e-11,0.34608603962988127,1.8423077977290705e-12,255.3570324227272,29,Minimization exited successfully.
des_01259412.dat,0.3047,0.001,0,0,56612.932349250834,4.8934306102470375e-11,0.14605344392475672,4.823231353382673e-13,212.66444903756127,8,Minimization exited successfully.
des_01261579.dat,0.3222,0.001,0,0,56619.44484338177,4.849937837220104e-11,0.08444257182054571,4.1155020321923156e-13,1561.7529217167726,7,Minimization exited successfully.
des_01262214.dat,0.6894,0.01,0,0,56633.144810213256,1.0334997107601367e-11,0.39535186723878724,2.305602457666535e-13,169.41333250161114,19,Minimization exited successfully.
des_01262715.dat,0.6894,0.01,0,0,56636.742810648786,1.3167390528666901e-11,0.3685636920235993,2.74369566442665e-13,242.83827451778637,19,Minimization exited successfully.
