cid,z,z_err,num_points_desg,num_points_desr,num_points_desi,num_points_desz,num_points_desy,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,chi,dof,message
1248677,0.3502,0.001,0,13,17,16,0,56554.48242133787,3.379023686801132e-05,0.9943344228664268,-0.10739731504556804,0.08823688015399966,4.2874517027693496e-07,0.09032796589672684,0.010162380067121262,374.19824512705236,42,Minimization exited successfully.
1250017,0.1817,0.001,0,16,15,15,0,56553.67886945718,0.00012201351532998539,0.9042685769667763,-0.09335383600012068,0.0993951106829627,3.2228390365893113e-06,0.1414472127275523,0.018313601543571957,96.75112091677877,42,Minimization exited successfully.
1253039,0.4535,0.006,0,0,18,20,0,56575.4599083332,1.76165760765559e-05,-0.0683638164368707,-0.12286647540731724,0.5174005146764102,1.536981247641493e-06,0.45925377611169116,0.07609951303528496,28.47698707122345,34,Minimization exited successfully.
1253101,0.4596,0.0005,0,0,18,17,0,56577.02108544615,1.5209666974842767e-05,1.4429366949647526,-0.008754233792067589,0.7217779673446785,1.6754108215028793e-06,0.591370617672464,0.09624240781663915,54.63204272702551,31,Minimization exited successfully.
1253920,0.1956,0.001,0,15,14,15,0,56583.43005241795,8.920088157728468e-05,-0.6463356196478316,0.024030092271395995,0.1209575925822719,2.8393568085747643e-06,0.14526297339160527,0.02370232734217584,137.30554270310478,40,Minimization exited successfully.
1255502,0.1482,0.001,6,4,4,15,0,56592.52139829434,0.0002248412794408882,1.0656524069536826,-0.03615561311241108,0.1166160956308886,6.354053612863624e-06,0.11582699145098588,0.01667854798643883,153.01338613086693,25,Minimization exited successfully.
1257366,0.2114,0.001,0,8,10,15,0,56611.927705678245,4.3281285569000936e-05,-0.13896114583367722,0.17462625627612013,0.3807580555585446,4.2861909471882455e-06,0.3316769605077935,0.06660177310536494,44.72390963558064,29,Minimization exited successfully.
1257695,0.1838,0.001,0,11,13,12,0,56613.334911124926,0.00011653877663293503,0.3917781708180366,-0.025031332446900374,0.09320470212333021,3.061024470214718e-06,0.09505044431635833,0.017599074517335833,163.0944373492784,32,Minimization exited successfully.
1258906,0.3492,0.001,0,15,13,15,0,56621.1738210444,2.2659098548827777e-05,-0.2848176749372127,-0.05545267391946095,0.35184896237115026,1.1987697728319965e-06,0.3249247023473391,0.04334093947924056,28.010096041284815,39,Minimization exited successfully.
1258940,0.4259,0.001,0,18,17,18,0,56619.56855263835,1.5947809342156575e-05,-0.10196567557456089,-0.0632100798261623,0.4716893106706266,7.976260050438631e-07,0.4148958071335611,0.04424449199119456,50.563532574326814,49,Minimization exited successfully.
1259412,0.3047,0.001,0,11,12,12,0,56624.34946489424,3.640476544941048e-05,1.0149313369347785,-0.017430866690208872,0.18373456138942856,6.53223879172561e-07,0.12190344898563261,0.015385483321220972,90.57015013382748,31,Minimization exited successfully.
1261579,0.3222,0.001,0,10,10,10,0,56638.57491854385,3.0099168745698256e-05,-0.18351012847055018,0.017085089003647403,0.09968680937163299,4.892626497954804e-07,0.1154511435395255,0.013710203999838006,37.24263111588879,26,Minimization exited successfully.
1262214,0.6894,0.01,0,0,23,0,0,56657.7950404838,1.216189426340464e-05,0.3145807880913566,-5.073077343375017,0.6526413134597533,4.71528251393293e-06,0.571530565005915,5.571688203286167,28.967382233435746,19,Minimization exited successfully.
1262715,0.6894,0.01,0,0,12,13,0,56661.562105529476,6.8804835192199555e-06,1.1649942970624352,-0.08877224483449796,0.610667626864597,2.7239150088328755e-07,0.5142606200779177,0.06078073548249987,10.295800550971363,21,Minimization exited successfully.
1263369,0.3125,0.001,0,9,9,9,0,56665.81097962044,3.3921817482590074e-05,-0.1339443141790981,-0.07751210908108593,0.36367241017433116,1.6708423719873726e-06,0.3817318561845514,0.043779280638695434,14.363394947968413,23,Minimization exited successfully.
1263715,0.2919,0.001,0,9,9,9,0,56667.252950325324,3.872709361179391e-05,0.6937155487953814,-0.030399864091272703,0.2796683593260241,1.7157287787516991e-06,0.3618277936102952,0.035105459414471914,16.55169778076776,23,Minimization exited successfully.
1275946,0.2321,0.005,0,18,19,19,0,57261.68114130851,8.471659168671107e-05,1.4868207862619938,-0.09313839873163365,0.1076750432184781,1.74431444428405e-06,0.13841479009648544,0.015109789758471187,476.21115845605266,52,Minimization exited successfully.
1279500,0.235,0.005,0,12,12,11,0,57251.63903557455,5.877885427688636e-05,0.7703404923583289,0.0009620301602915856,0.2923446178174345,8.631209114166282e-07,0.1202023520701426,0.01250889407006295,124.22427857368585,31,Minimization exited successfully.
1280217,0.359,0.005,0,16,16,17,0,57251.46830191853,1.929596734566161e-05,1.6706871351990993,0.15906749458589145,1.4754552083504677,8.250363568074818e-07,0.5557600200125321,0.03872238401192337,110.91890676028451,45,Minimization exited successfully.
1281668,0.3071,0.005,0,20,21,22,0,57270.99590383229,3.919036132125714e-05,0.05779091487914523,-0.09637002652751202,0.33854203231749125,1.3305788627964649e-06,0.2877637085035538,0.029309950254395315,88.12630987255716,59,Minimization exited successfully.
1281886,0.384,0.005,0,18,18,19,0,57268.38926112772,1.9812621606181255e-05,1.228163305035309,0.015322822590725267,0.4826610901654931,1.2276531698876556e-06,0.4269146716744436,0.04962549892791109,52.766865094884665,51,Minimization exited successfully.
1282736,0.3689,0.005,0,19,16,20,0,57266.599325185685,1.4422202005319193e-05,-0.4360425332191622,0.12526315185909528,0.494475507948664,9.505933195044022e-07,0.44041893738996096,0.0547448829724411,39.790529837131224,51,Minimization exited successfully.
