cid,class,fit_z,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
679,Unknown,0,0.0,53604.223230108524,4.935114546036886e-06,-0.41283922904094683,1.1144601764136732,nan,5.824214987678715,3.1809344015921926e-06,1.0960880664660122,0.3589592496457009,140.74165705281305,79,Minimization exited successfully.
682,Unknown,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
688,Unknown,0,0.0,53602.42865652942,1.3761802479883465e-05,1.681622266884275,0.6268063933222796,nan,1.866835819590051,3.6318670675316038e-06,0.9134752270792786,0.15953076229911034,175.8638799959033,78,Minimization exited successfully.
691,Unknown,0,0.0,53606.167403500265,6.100458355419149e-05,0.38138474628227564,0.10027063237758725,nan,0.009247076319297776,3.2840398194831094e-06,0.30625504480821636,0.03359981064976771,344.91587160599363,80,Minimization exited successfully.
692,Variable,0,0.0,53651.0534736359,8.563914330056913e-06,6.5948445772866044,0.9858894040959515,nan,0.4371325840547797,6.380877936804153e-07,0.8190938631008722,0.05139167031948547,694.1927026519345,80,Minimization exited successfully.
694,Unknown,0,0.0,53626.22589903166,4.9256354537159556e-05,0.9639401114892617,0.36045465696042867,nan,0.00039321963777183555,6.667717412085299e-07,0.15274214085449375,0.011977646180601804,1450.9389654738252,144,Minimization exited successfully.
695,Variable,0,0.0,53722.33899291745,0.00134084115395826,-1.2956890543562791,0.7298159278680595,nan,4.3515178220950474,0.006274282688925904,0.12874198080986396,0.1878136887885964,724.8187942495879,78,Minimization exited successfully.
697,Unknown,0,0.0,53608.47264950464,1.4867967816845945e-05,1.6377237554927628,0.6033955539087851,nan,1.6190436798024166,2.214815885034435e-06,0.5982686222345148,0.08474414992091367,509.79855423557643,163,Minimization exited successfully.
700,AGN,0,0.0,53620.19051039696,1.6349320810340728e-05,0.12564461307735056,-0.45305464426701514,nan,3.809513509622775e-05,8.808270687686937e-07,0.2288636305341012,0.018888533286755275,1521.198028941797,83,Minimization exited successfully.
701,Unknown,0,0.0,53604.23520193,4.06238867963691e-05,0.4170171315974408,0.02496441458287797,nan,0.010712191728089238,5.173765055445526e-06,0.7859281278709402,0.06815044306299833,142.94880583313375,83,Covariance may not be accurate.
702,AGN,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.000000
    t0 = +53642.062140
    x0 = +0.012092
    x1 = -14.217673
     c = +528.989416
"
703,zSNIa,0,0.0,53626.52900240448,1.6319402485305786e-05,3.271661064938974,0.06538858407668079,nan,0.584174087678548,8.603426163066391e-07,0.7293254547234729,0.03791075132044173,121.10066527150572,104,Minimization exited successfully.
704,Unknown,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.000000
    t0 = +53660.982252
    x0 = -3362706.536502
    x1 = -18.994209
     c = -195.981629
"
708,AGN,0,0.0,53630.17563353757,6.320104487246454e-05,21.970810070999462,-0.013730642746918627,nan,6.167356332298368e-07,1.1782714894883264e-06,0.6037511995511237,0.006344742747704114,19672.670974833414,104,Minimization exited successfully.
710,Variable,0,0.0,53635.82056142145,1.4951191010792732e-05,-1.5542848594952148,-0.3765912141465122,nan,0.3363331902437494,1.0465582052677805e-06,0.3144327220689681,0.017980143869611165,799.1088614544622,84,Minimization exited successfully.
711,Unknown,0,0.0,53688.107035680674,3.691818244872867e-06,16.984833462650037,-0.2962731063283615,nan,0.39529341934030526,3.0466713432649255e-06,18.31551379053766,0.0742424103765178,326.5259855558105,56,Minimization exited successfully.
716,zSNII,0,0.0,53637.916823217216,3.955113189002256e-05,12.293640797013111,0.02667983425900407,nan,0.19081182408626773,6.378153287057184e-07,0.3853249986791868,0.005886431977516665,6711.132087181202,200,Minimization exited successfully.
717,Unknown,0,0.0,53604.67764846465,1.042714312527217e-05,1.6012464303842802,0.9243778237480874,nan,1.4847402958912426,2.01222719978866e-06,0.793189857432416,0.12136654541746264,111.9093255574209,76,Minimization exited successfully.
718,Variable,0,0.0,53667.06887871011,6.81481495801208e-06,12.269901695351265,0.631243034696256,nan,0.5572894859105872,5.247761045038768e-07,1.7974348598649488,0.06061149027656638,1092.636914313524,76,Minimization exited successfully.
719,AGN,0,0.0,53702.85198252071,1.179609966719884e-05,0.44038833620734924,-0.35509205161471014,nan,0.8291053041248233,1.0675266440238878e-06,0.15393187489918048,0.03302605800184298,899.6806133942623,96,Minimization exited successfully.
722,SNIa,0,0.0,53613.269530445315,0.00017828502529442078,0.012706026766203918,0.023504717602807815,nan,3.278579606558196e-05,5.4071776199610714e-06,0.16519119414504235,0.016844953317799012,2090.4013701618564,80,Covariance may not be accurate.
728,Variable,0,0.0,53605.99244732652,3.0968305637702964e-05,-5.033760437223777,-0.60678393621932,nan,0.9585101828452025,5.852172038525134e-06,0.5373646587603096,0.07973362183418041,390.15195894463255,80,Minimization exited successfully.
730,AGN,0,0.0,53681.83365764488,6.751234449029606e-05,11.176449155363642,-0.11645083583107124,nan,0.09403762310830643,1.1762674593321736e-06,0.3436069695648377,0.006195158503092518,12851.3206527003,101,Minimization exited successfully.
734,AGN,0,0.0,53658.254272607446,1.3345664127258032e-05,36.50908016300497,0.0019069066968838448,nan,0.13783778054494178,1.2097952636048905e-06,4.236752688597323,0.010328897930097239,4281.000323599591,99,Minimization exited successfully.
