time,band,flux,fluxerr,zp,zpsys
53613.296948393116,sdssu,3.9909398015299278,1.0796706064736075,27.5,ab
53619.24431681417,sdssu,33.691590893322555,5.982872314780329,27.5,ab
53625.19168523522,sdssu,62.1794346942279,7.386360163621383,27.5,ab
53631.139053656276,sdssu,34.44424274156934,5.956630996261546,27.5,ab
53637.08642207733,sdssu,27.195657390059544,4.667066070941953,27.5,ab
53643.033790498375,sdssu,22.235801170837647,4.1754628682575605,27.5,ab
53648.98115891943,sdssu,17.665550029570657,3.681419455676239,27.5,ab
53654.92852734048,sdssu,12.229135764622582,3.2031705170155376,27.5,ab
53660.875895761536,sdssu,8.797273915652333,2.8795895819227786,27.5,ab
53666.82326418259,sdssu,7.8273567428700455,2.624393792235488,27.5,ab
53672.77063260364,sdssu,3.4763144602509657,2.377227304949266,27.5,ab
53678.718001024696,sdssu,6.976135125381923,2.1661294529713078,27.5,ab
53684.66536944575,sdssu,1.587994273918635,1.9658192893764743,27.5,ab
53690.6127378668,sdssu,4.059044947733566,1.784802228414327,27.5,ab
53696.560106287856,sdssu,4.063778312069447,1.620781462997162,27.5,ab
53702.5074747089,sdssu,2.868254423981153,1.4722255472058858,27.5,ab
53708.454843129955,sdssu,-0.39874744324069966,1.337979764939912,27.5,ab
53714.40221155101,sdssu,2.1193324484919334,1.2161306043915792,27.5,ab
53720.34957997206,sdssu,1.2668820513645533,1.1056968861671426,27.5,ab
53726.296948393116,sdssu,0.7232895909599615,1.0060754473220705,27.5,ab
53613.296948393116,sdssg,24.979826788281066,4.952320676547002,27.5,ab
53619.24431681417,sdssg,480.28280363002256,21.38266755009778,27.5,ab
53625.19168523522,sdssg,644.8895159958332,25.870329508071666,27.5,ab
53631.139053656276,sdssg,375.9506538676217,19.34513247310104,27.5,ab
53637.08642207733,sdssg,175.35610534151132,13.013733369288056,27.5,ab
53643.033790498375,sdssg,112.03854057970129,11.102423111862977,27.5,ab
53648.98115891943,sdssg,96.48197028880719,9.8907726525987,27.5,ab
53654.92852734048,sdssg,85.63058627490823,8.870647824297325,27.5,ab
53660.875895761536,sdssg,63.87709694949021,8.209598972238984,27.5,ab
53666.82326418259,sdssg,50.733294669197846,7.722689341972048,27.5,ab
53672.77063260364,sdssg,43.19488558369559,7.432503636852843,27.5,ab
53678.718001024696,sdssg,45.05121746354631,6.920949621831887,27.5,ab
53684.66536944575,sdssg,27.290424145932892,6.447835327697013,27.5,ab
53690.6127378668,sdssg,35.46955271971531,5.998957178836237,27.5,ab
53696.560106287856,sdssg,34.1474020097841,5.5806715802971105,27.5,ab
53702.5074747089,sdssg,31.099150511597998,5.185719999531987,27.5,ab
53708.454843129955,sdssg,18.289762821917147,4.821159691502704,27.5,ab
53714.40221155101,sdssg,18.957034139923444,4.481353374068376,27.5,ab
53720.34957997206,sdssg,16.65894384929916,4.164854492470156,27.5,ab
53726.296948393116,sdssg,16.87333397430264,3.8732958082494715,27.5,ab
53613.296948393116,sdssr,133.4052604172308,12.553803136845772,27.5,ab
53619.24431681417,sdssr,2521.2732667193404,49.41596749186581,27.5,ab
53625.19168523522,sdssr,4793.164668144447,69.14625027708298,27.5,ab
53631.139053656276,sdssr,3492.2569866996464,58.54069062634898,27.5,ab
53637.08642207733,sdssr,1400.687327862249,37.36283010641721,27.5,ab
53643.033790498375,sdssr,917.1353665400749,30.71333234837417,27.5,ab
53648.98115891943,sdssr,684.9813188630774,25.74900871100567,27.5,ab
53654.92852734048,sdssr,499.05707930268886,21.73402391820701,27.5,ab
53660.875895761536,sdssr,376.7943365577505,19.41223661283873,27.5,ab
53666.82326418259,sdssr,360.207094288429,18.183735581127063,27.5,ab
53672.77063260364,sdssr,265.4382337102634,17.0819319694288,27.5,ab
53678.718001024696,sdssr,257.2668813874665,16.19231335463045,27.5,ab
53684.66536944575,sdssr,247.98744493208125,15.359971127911965,27.5,ab
53690.6127378668,sdssr,186.65766568036003,14.59773031610058,27.5,ab
53696.560106287856,sdssr,187.82012031214242,13.87639036876398,27.5,ab
53702.5074747089,sdssr,184.45979534128588,13.185112440410823,27.5,ab
53708.454843129955,sdssr,176.23016034241397,12.526998409902175,27.5,ab
53714.40221155101,sdssr,149.84953831280245,11.905907644433142,27.5,ab
53720.34957997206,sdssr,128.89276528206847,11.310131389803066,27.5,ab
53726.296948393116,sdssr,110.33707710945902,10.730980743407006,27.5,ab
53613.296948393116,sdssi,387.8037002299012,19.374794691389443,27.5,ab
53619.24431681417,sdssi,5763.0765448635675,76.19332057591667,27.5,ab
53625.19168523522,sdssi,12735.341079092068,112.89325523850053,27.5,ab
53631.139053656276,sdssi,13076.009693533555,113.96328030277425,27.5,ab
53637.08642207733,sdssi,7647.665960072385,87.01559435039007,27.5,ab
53643.033790498375,sdssi,5079.564009181914,71.5038691104498,27.5,ab
53648.98115891943,sdssi,3532.769187936568,59.505073105113176,27.5,ab
53654.92852734048,sdssi,2344.344409429632,49.19694268451961,27.5,ab
53660.875895761536,sdssi,1930.546282000016,43.53756338863994,27.5,ab
53666.82326418259,sdssi,1680.2215517990091,39.98561859979172,27.5,ab
53672.77063260364,sdssi,1290.0432990859354,36.92467364308037,27.5,ab
53678.718001024696,sdssi,1173.642373654671,34.331594801565934,27.5,ab
53684.66536944575,sdssi,1035.6950222044036,32.10723224835451,27.5,ab
53690.6127378668,sdssi,887.7126232307778,30.049142055582845,27.5,ab
53696.560106287856,sdssi,766.7754273800214,28.11061085905197,27.5,ab
53702.5074747089,sdssi,677.4373238501521,26.29398217122306,27.5,ab
53708.454843129955,sdssi,593.3880829828096,24.610165457016496,27.5,ab
53714.40221155101,sdssi,524.542389702197,23.02485277015985,27.5,ab
53720.34957997206,sdssi,445.88221172531786,21.54218537149261,27.5,ab
53726.296948393116,sdssi,371.8152648828776,20.16925178656063,27.5,ab
53613.296948393116,sdssz,531.9622672129356,23.366719588165605,27.5,ab
53619.24431681417,sdssz,8382.778362478697,92.07362800408221,27.5,ab
53625.19168523522,sdssz,19496.694170027575,139.02809760776506,27.5,ab
53631.139053656276,sdssz,21055.0609376398,145.4993279627137,27.5,ab
53637.08642207733,sdssz,14797.996718230132,121.6797221072022,27.5,ab
