time,band,flux,fluxerr,zp,zpsys
53684.7610802985,sdssu,7.880255410189057,2.879428408686488,27.5,ab
53690.70844871955,sdssu,122.81612269600554,11.74200085865572,27.5,ab
53696.65581714061,sdssu,175.5032417102886,13.493195662891502,27.5,ab
53702.60318556166,sdssu,101.7447716011766,10.132390243138657,27.5,ab
53708.55055398271,sdssu,50.12099109089646,7.577705481632048,27.5,ab
53714.49792240376,sdssu,49.08209589440431,6.740822589773301,27.5,ab
53720.44529082481,sdssu,40.073965992944345,6.332981055998518,27.5,ab
53726.39265924587,sdssu,25.629800790417608,5.930149303531722,27.5,ab
53732.34002766692,sdssu,23.970653666803738,5.521195544434186,27.5,ab
53738.28739608797,sdssu,25.62297058876969,5.1163458754101985,27.5,ab
53744.23476450903,sdssu,18.641083207927036,4.667892339666605,27.5,ab
53750.18213293008,sdssu,11.86353174167315,4.265123243538874,27.5,ab
53756.12950135113,sdssu,14.761137691330712,3.941828804036796,27.5,ab
53762.07686977219,sdssu,12.190411856169677,3.6399641051571154,27.5,ab
53768.02423819324,sdssu,6.857433952801934,3.3604863104204545,27.5,ab
53773.97160661429,sdssu,6.20142165679184,3.1013442645147666,27.5,ab
53779.91897503534,sdssu,3.2812906416754206,2.8620697608070986,27.5,ab
53785.86634345639,sdssu,4.712817249507602,2.640209965175927,27.5,ab
53791.81371187745,sdssu,10.291697627767924,2.4349542613334734,27.5,ab
53797.7610802985,sdssu,5.35859927653107,2.2450289326458925,27.5,ab
53684.7610802985,sdssg,99.741482254953,10.149492178601951,27.5,ab
53690.70844871955,sdssg,1097.06008032197,33.0010007628506,27.5,ab
53696.65581714061,sdssg,1519.5988824810474,38.711544169100826,27.5,ab
53702.60318556166,sdssg,928.8967309770513,30.57009306489598,27.5,ab
53708.55055398271,sdssg,399.3246732659914,19.93928054982996,27.5,ab
53714.49792240376,sdssg,306.23067205929124,16.566643422029514,27.5,ab
53720.44529082481,sdssg,188.55587905834017,14.428313729697118,27.5,ab
53726.39265924587,sdssg,137.9092141233154,12.572231696014011,27.5,ab
53732.34002766692,sdssg,124.3742318901329,11.264056161429597,27.5,ab
53738.28739608797,sdssg,111.057859191169,10.484451752925725,27.5,ab
53744.23476450903,sdssg,114.72543901903977,10.467872692606878,27.5,ab
53750.18213293008,sdssg,73.23083109543015,9.777477412346181,27.5,ab
53756.12950135113,sdssg,95.74502828143017,9.161205800289205,27.5,ab
53762.07686977219,sdssg,76.32353426905547,8.581881483477263,27.5,ab
53768.02423819324,sdssg,67.14801298187047,8.04020221213658,27.5,ab
53773.97160661429,sdssg,52.365714253368736,7.5318722941601965,27.5,ab
53779.91897503534,sdssg,57.00945183585934,7.054594764198344,27.5,ab
53785.86634345639,sdssg,48.52889406341081,6.608837761629277,27.5,ab
53791.81371187745,sdssg,30.67819115022373,6.189926638606445,27.5,ab
53797.7610802985,sdssg,20.0018364892587,5.796673047679001,27.5,ab
53684.7610802985,sdssr,460.955743716332,21.078158263387245,27.5,ab
53690.70844871955,sdssr,4246.785079236677,65.97083325236613,27.5,ab
53696.65581714061,sdssr,8103.938286224566,90.64311659141343,27.5,ab
53702.60318556166,sdssr,6768.931138355727,81.80854097996259,27.5,ab
53708.55055398271,sdssr,3150.161196504664,56.20874870960614,27.5,ab
53714.49792240376,sdssr,2135.089350480636,45.66643977130814,27.5,ab
53720.44529082481,sdssr,1497.8346719135047,38.64577077153476,27.5,ab
53726.39265924587,sdssr,1117.1695346914528,32.733848073433876,27.5,ab
53732.34002766692,sdssr,785.6303155308888,28.452152813088517,27.5,ab
53738.28739608797,sdssr,740.5042201498253,26.334485457569432,27.5,ab
53744.23476450903,sdssr,620.9669544089998,24.625823028570753,27.5,ab
53750.18213293008,sdssr,476.58408991098366,22.75646363584478,27.5,ab
53756.12950135113,sdssr,452.83242556927576,21.6698623994949,27.5,ab
53762.07686977219,sdssr,435.328644253671,20.64095668789936,27.5,ab
53768.02423819324,sdssr,366.65696185005254,19.657274700174813,27.5,ab
53773.97160661429,sdssr,352.1996981412533,18.71912242617881,27.5,ab
53779.91897503534,sdssr,306.727465780316,17.81094533439984,27.5,ab
53785.86634345639,sdssr,268.45628159878106,16.960989302789475,27.5,ab
53791.81371187745,sdssr,254.70987707573022,16.152185071053434,27.5,ab
53797.7610802985,sdssr,236.31557102312263,15.377366555446228,27.5,ab
53684.7610802985,sdssi,822.3201494161242,29.499258615539674,27.5,ab
53690.70844871955,sdssi,8685.769102686727,92.63521173257124,27.5,ab
53696.65581714061,sdssi,17667.86157875248,132.44274289941643,27.5,ab
53702.60318556166,sdssi,19124.433661108298,138.17615190839726,27.5,ab
53708.55055398271,sdssi,12777.361149117138,112.27944489267769,27.5,ab
53714.49792240376,sdssi,8750.757064399,92.48509426990255,27.5,ab
53720.44529082481,sdssi,6202.5683054994615,77.4914034826611,27.5,ab
53726.39265924587,sdssi,4311.041998198047,65.01470290737288,27.5,ab
53732.34002766692,sdssi,3190.1982336339643,56.437839432975196,27.5,ab
53738.28739608797,sdssi,2722.3930784183613,51.30137897181182,27.5,ab
53744.23476450903,sdssi,2200.6972275631783,47.181927822783756,27.5,ab
53750.18213293008,sdssi,1807.308859223243,43.61947971987613,27.5,ab
53756.12950135113,sdssi,1667.4611025904762,40.80499830857646,27.5,ab
53762.07686977219,sdssi,1473.6875519967195,38.16793393691687,27.5,ab
53768.02423819324,sdssi,1258.9660270636598,35.695873934899076,27.5,ab
53773.97160661429,sdssi,1098.097552295901,33.37610737405324,27.5,ab
53779.91897503534,sdssi,1043.7964922683727,31.208439041886766,27.5,ab
53785.86634345639,sdssi,853.2455552245226,29.19376383035191,27.5,ab
53791.81371187745,sdssi,707.6243196434298,27.29509385253421,27.5,ab
53797.7610802985,sdssi,656.9152587358178,25.518023857536743,27.5,ab
53684.7610802985,sdssz,1072.8808036109424,32.93701468077118,27.5,ab
53690.70844871955,sdssz,10781.206831427724,103.3559885069645,27.5,ab
53696.65581714061,sdssz,21801.402958929073,148.22860061863054,27.5,ab
53702.60318556166,sdssz,25030.751985379626,158.14680774112344,27.5,ab
53708.55055398271,sdssz,19425.91657839499,139.88943954878258,27.5,ab
53714.49792240376,sdssz,13583.110102088687,117.18511083076595,27.5,ab
53720.44529082481,sdssz,9374.349322969872,97.5774229068557,27.5,ab
53726.39265924587,sdssz,6559.244044082564,81.30198219159986,27.5,ab
53732.34002766692,sdssz,4842.044787601189,68.99006603612165,27.5,ab
53738.28739608797,sdssz,3646.5328635663677,60.58221566386294,27.5,ab
53744.23476450903,sdssz,2796.1697437391276,53.133557854001054,27.5,ab
53750.18213293008,sdssz,2402.6224861574688,48.913570662509294,27.5,ab
53756.12950135113,sdssz,1988.1675389152556,45.55143730063402,27.5,ab
53762.07686977219,sdssz,1795.3053951218205,42.434220470057305,27.5,ab
53768.02423819324,sdssz,1517.6404640343458,39.525482671551835,27.5,ab
53773.97160661429,sdssz,1374.030635665387,36.82081682748673,27.5,ab
53779.91897503534,sdssz,1186.1031387564349,34.30520038256216,27.5,ab
53785.86634345639,sdssz,1032.5486299320444,31.961421332651106,27.5,ab
53791.81371187745,sdssz,928.4908731084143,29.77625297466181,27.5,ab
53797.7610802985,sdssz,775.664793171264,27.73572547463297,27.5,ab
