time,band,flux,fluxerr,zp,zpsys
53680.147239150225,sdssu,1.1703251270276365,2.2908511345417923,27.5,ab
53686.09460757128,sdssu,78.70815336358022,9.44195549967282,27.5,ab
53692.04197599233,sdssu,151.745715049497,10.905196813856971,27.5,ab
53697.989344413385,sdssu,62.52161266618581,8.453745675621574,27.5,ab
53703.93671283444,sdssu,38.019700834179126,6.473389515521145,27.5,ab
53709.884081255484,sdssu,30.54831143085518,5.753031523375506,27.5,ab
53715.83144967654,sdssu,36.047368660660545,5.300516033022676,27.5,ab
53721.77881809759,sdssu,18.282872178755166,4.869638636150363,27.5,ab
53727.726186518645,sdssu,18.36655555544963,4.445809368261636,27.5,ab
53733.6735549397,sdssu,23.677939819017002,4.107252215162587,27.5,ab
53739.62092336075,sdssu,10.144819424121886,3.75006535291963,27.5,ab
53745.568291781805,sdssu,12.922296530827964,3.4054853271883627,27.5,ab
53751.51566020286,sdssu,9.814779727696841,3.1393243366913213,27.5,ab
53757.46302862391,sdssu,12.381292110585985,2.8918101840938406,27.5,ab
53763.410397044965,sdssu,3.841502794687082,2.663668450474397,27.5,ab
53769.35776546601,sdssu,4.798592699107935,2.45290336182449,27.5,ab
53775.305133887065,sdssu,4.112972240310747,2.2589669408417254,27.5,ab
53781.25250230812,sdssu,5.3261769366729865,2.0800059482151996,27.5,ab
53787.19987072917,sdssu,4.164057352996387,1.9148418731371437,27.5,ab
53793.147239150225,sdssu,1.9328051491080738,1.7624667560308171,27.5,ab
53680.147239150225,sdssg,79.33952430290618,8.633195496414945,27.5,ab
53686.09460757128,sdssg,768.1066910321014,27.938633827044374,27.5,ab
53692.04197599233,sdssg,1085.8802806758852,32.224794528624834,27.5,ab
53697.989344413385,sdssg,649.7461274518638,25.26516950811612,27.5,ab
53703.93671283444,sdssg,270.4022393352119,16.76034960968393,27.5,ab
53709.884081255484,sdssg,186.78831318722828,13.959279386247784,27.5,ab
53715.83144967654,sdssg,141.24352566818837,12.263682245957938,27.5,ab
53721.77881809759,sdssg,107.59036399414929,10.790106156111039,27.5,ab
53727.726186518645,sdssg,96.81837350037905,9.709963815642709,27.5,ab
53733.6735549397,sdssg,81.35604483605644,9.047837756350871,27.5,ab
53739.62092336075,sdssg,85.46336329487998,8.97010923823685,27.5,ab
53745.568291781805,sdssg,59.88539615877508,8.421117628788606,27.5,ab
53751.51566020286,sdssg,70.0537673442431,7.885595490671489,27.5,ab
53757.46302862391,sdssg,66.96610252998403,7.379371926057571,27.5,ab
53763.410397044965,sdssg,53.607592344308564,6.905742168059183,27.5,ab
53769.35776546601,sdssg,43.31190585425599,6.4612516761435055,27.5,ab
53775.305133887065,sdssg,43.644131152802814,6.042290572909339,27.5,ab
53781.25250230812,sdssg,28.68960468937507,5.652699517918508,27.5,ab
53787.19987072917,sdssg,22.978690262608588,5.287129694774755,27.5,ab
53793.147239150225,sdssg,32.84701186202321,4.9444329443963895,27.5,ab
53680.147239150225,sdssr,420.97094168399616,19.76597103607273,27.5,ab
53686.09460757128,sdssr,3804.5711696817184,61.20165106487552,27.5,ab
53692.04197599233,sdssr,6963.002484978855,83.43446894995614,27.5,ab
53697.989344413385,sdssr,5561.6527017922035,74.42925488238433,27.5,ab
53703.93671283444,sdssr,2594.042745435173,50.56275500678448,27.5,ab
53709.884081255484,sdssr,1675.5919432187957,41.02417658457688,27.5,ab
53715.83144967654,sdssr,1133.9233660015718,34.74610185190686,27.5,ab
53721.77881809759,sdssr,871.6559628718129,29.41243800759737,27.5,ab
53727.726186518645,sdssr,594.9025642406583,25.348499474341565,27.5,ab
53733.6735549397,sdssr,504.7392615734169,23.45402999474755,27.5,ab
53739.62092336075,sdssr,512.1161505874144,22.012415403376398,27.5,ab
53745.568291781805,sdssr,400.81394528633757,20.313142254491037,27.5,ab
