time,band,flux,fluxerr,zp,zpsys
53675.39619449793,sdssu,6.269980587723519,2.2793081051033073,27.5,ab
53681.343562918984,sdssu,135.92070845659546,12.066713021726196,27.5,ab
53687.29093134004,sdssu,242.26070296572487,14.57762293183628,27.5,ab
53693.23829976109,sdssu,105.13614208367586,10.58208357092246,27.5,ab
53699.185668182145,sdssu,59.15627537997205,7.481669633544212,27.5,ab
53705.13303660319,sdssu,44.88320074315083,6.802017237061311,27.5,ab
53711.080405024244,sdssu,29.558592635622304,6.489918054410067,27.5,ab
53717.0277734453,sdssu,42.134994231252406,6.150225050077579,27.5,ab
53722.97514186635,sdssu,28.527623515906022,5.7052269205977035,27.5,ab
53728.922510287404,sdssu,28.227524222929674,5.228169437740374,27.5,ab
53734.86987870846,sdssu,23.664085209010935,4.791702666982065,27.5,ab
53740.81724712951,sdssu,25.900213492632947,4.427270515450999,27.5,ab
53746.764615550564,sdssu,15.886848045618748,4.084497820244258,27.5,ab
53752.71198397162,sdssu,18.07084662260781,3.7657428747479864,27.5,ab
53758.65935239267,sdssu,7.680282868956745,3.469700277434971,27.5,ab
53764.60672081372,sdssu,7.944101843977151,3.1959229308326016,27.5,ab
53770.55408923477,sdssu,9.521430665492593,2.9416587990932386,27.5,ab
53776.501457655824,sdssu,3.140213373753191,2.7066051816937002,27.5,ab
53782.44882607688,sdssu,3.8187410305129434,2.4897036822390213,27.5,ab
53788.39619449793,sdssu,6.190211891270875,2.288262078971376,27.5,ab
53675.39619449793,sdssg,40.880417533187256,6.722851396039709,27.5,ab
53681.343562918984,sdssg,855.5653466713208,29.927693888581402,27.5,ab
53687.29093134004,sdssg,1476.019351028826,38.2558881442826,27.5,ab
53693.23829976109,sdssg,888.8867109253162,30.061848106089624,27.5,ab
53699.185668182145,sdssg,366.82588349876886,19.02777447426615,27.5,ab
53705.13303660319,sdssg,263.32472841893997,15.920552317751179,27.5,ab
53711.080405024244,sdssg,209.73837213731775,13.515190761274841,27.5,ab
53717.0277734453,sdssg,127.25740967172798,11.610519652443006,27.5,ab
53722.97514186635,sdssg,102.90047298576366,10.658509941228456,27.5,ab
53728.922510287404,sdssg,112.5729885949054,10.189143274061598,27.5,ab
53734.86987870846,sdssg,90.49391158775117,9.883584329776864,27.5,ab
53740.81724712951,sdssg,75.23232815516141,9.264963878102163,27.5,ab
53746.764615550564,sdssg,73.99829391995095,8.663780790555752,27.5,ab
53752.71198397162,sdssg,56.47387226166706,8.108438558555639,27.5,ab
53758.65935239267,sdssg,63.74891270085313,7.591379598385691,27.5,ab
53764.60672081372,sdssg,48.836281880606684,7.11012710606361,27.5,ab
53770.55408923477,sdssg,51.31968230084226,6.657674761876349,27.5,ab
53776.501457655824,sdssg,48.11626552194095,6.232015658958128,27.5,ab
53782.44882607688,sdssg,38.55066292284783,5.827088463163238,27.5,ab
53788.39619449793,sdssg,32.8361109795347,5.456375986077776,27.5,ab
53675.39619449793,sdssr,192.61463506432767,14.324370291186279,27.5,ab
53681.343562918984,sdssr,3649.3535195927725,61.054893826177505,27.5,ab
53687.29093134004,sdssr,8298.209517414989,90.1510120625501,27.5,ab
53693.23829976109,sdssr,6518.415861650373,80.93604654752673,27.5,ab
53699.185668182145,sdssr,2995.8416694237235,54.2807626256935,27.5,ab
53705.13303660319,sdssr,2050.7005973314035,44.646548889195415,27.5,ab
53711.080405024244,sdssr,1382.4004783422463,37.24681685150336,27.5,ab
53717.0277734453,sdssr,910.1065583161289,30.57104512261866,27.5,ab
53722.97514186635,sdssr,762.6598498105777,27.31716695770667,27.5,ab
53728.922510287404,sdssr,656.9154812831717,25.411755812506147,27.5,ab
53734.86987870846,sdssr,560.8088430879922,23.506888019806038,27.5,ab
53740.81724712951,sdssr,509.88524167999606,22.146793360786624,27.5,ab
53746.764615550564,sdssr,455.6329042135119,20.93025533705756,27.5,ab
53752.71198397162,sdssr,348.6536727709664,19.79832680495738,27.5,ab
53758.65935239267,sdssr,371.8860192365102,18.72291144922824,27.5,ab
53764.60672081372,sdssr,343.411595108316,17.693454466634638,27.5,ab
53770.55408923477,sdssr,259.46680842307853,16.73741829028414,27.5,ab
53776.501457655824,sdssr,280.46040176837164,15.829576590165503,27.5,ab
53782.44882607688,sdssr,227.63990626190775,14.964194883946048,27.5,ab
53788.39619449793,sdssr,216.01059769282568,14.160897596684606,27.5,ab
53675.39619449793,sdssi,340.58028982017356,19.074121846740145,27.5,ab
53681.343562918984,sdssi,6756.0843334679885,81.86075816642335,27.5,ab
53687.29093134004,sdssi,15727.965584067737,125.70036356625734,27.5,ab
53693.23829976109,sdssi,17557.318951006193,132.38601646754447,27.5,ab
53699.185668182145,sdssi,11712.749222985058,107.99794435320919,27.5,ab
53705.13303660319,sdssi,7888.022517760153,88.52582850281206,27.5,ab
53711.080405024244,sdssi,5287.846895466951,72.89194042329379,27.5,ab
53717.0277734453,sdssi,3653.798841135045,60.51776073032068,27.5,ab
53722.97514186635,sdssi,2777.489841256248,53.255555119353154,27.5,ab
53728.922510287404,sdssi,2242.824635347286,48.02425446946584,27.5,ab
53734.86987870846,sdssi,1926.2471744327534,43.952516748526946,27.5,ab
53740.81724712951,sdssi,1742.1560657917375,40.84271706418089,27.5,ab
53746.764615550564,sdssi,1437.145805596105,37.924912585642915,27.5,ab
53752.71198397162,sdssi,1303.0060080707356,35.22119444967176,27.5,ab
53758.65935239267,sdssi,1052.3294030934421,32.69602287885033,27.5,ab
53764.60672081372,sdssi,879.4866156784096,30.352604028661986,27.5,ab
53770.55408923477,sdssi,758.1073929427523,28.186641514452436,27.5,ab
53776.501457655824,sdssi,702.9861754193693,26.161945666101293,27.5,ab
53782.44882607688,sdssi,587.0334009715563,24.28062788149046,27.5,ab
53788.39619449793,sdssi,533.9714173004907,22.54114679591537,27.5,ab
53675.39619449793,sdssz,451.7662425659145,21.306427348399307,27.5,ab
53681.343562918984,sdssz,8396.687364303472,91.2846275798566,27.5,ab
53687.29093134004,sdssz,19658.310072473796,140.34589914497062,27.5,ab
53693.23829976109,sdssz,22678.986987185086,150.27287342530332,27.5,ab
53699.185668182145,sdssz,17593.687337462707,132.42794098574115,27.5,ab
53705.13303660319,sdssz,11959.619216035235,109.47908098451832,27.5,ab
53711.080405024244,sdssz,8111.347188515172,90.1384016634286,27.5,ab
53717.0277734453,sdssz,5590.9780114852765,74.0124232912526,27.5,ab
53722.97514186635,sdssz,4022.749344657536,63.23473225914679,27.5,ab
53728.922510287404,sdssz,3100.896451105553,54.92536039657525,27.5,ab
53734.86987870846,sdssz,2250.685464255089,47.48699977146753,27.5,ab
53740.81724712951,sdssz,1906.4922023347979,43.437133053438934,27.5,ab
53746.764615550564,sdssz,1649.418646687738,40.258393503041106,27.5,ab
53752.71198397162,sdssz,1408.265321816257,37.31668112279125,27.5,ab
53758.65935239267,sdssz,1196.902414901552,34.593702273228224,27.5,ab
53764.60672081372,sdssz,994.4102315312189,32.07607027714947,27.5,ab
53770.55408923477,sdssz,881.8212710554313,29.739231270701758,27.5,ab
53776.501457655824,sdssz,782.3963844380152,27.56982768706955,27.5,ab
53782.44882607688,sdssz,644.3719552010436,25.530930224360098,27.5,ab
53788.39619449793,sdssz,555.3023451320256,23.669393368044577,27.5,ab
