cid,num_points_91bg_proj_sdss_u1,num_points_91bg_proj_sdss_u2,num_points_91bg_proj_sdss_u3,num_points_91bg_proj_sdss_u4,num_points_91bg_proj_sdss_u5,num_points_91bg_proj_sdss_u6,num_points_91bg_proj_sdss_g1,num_points_91bg_proj_sdss_g2,num_points_91bg_proj_sdss_g3,num_points_91bg_proj_sdss_g4,num_points_91bg_proj_sdss_g5,num_points_91bg_proj_sdss_g6,num_points_91bg_proj_sdss_r1,num_points_91bg_proj_sdss_r2,num_points_91bg_proj_sdss_r3,num_points_91bg_proj_sdss_r4,num_points_91bg_proj_sdss_r5,num_points_91bg_proj_sdss_r6,num_points_91bg_proj_sdss_i1,num_points_91bg_proj_sdss_i2,num_points_91bg_proj_sdss_i3,num_points_91bg_proj_sdss_i4,num_points_91bg_proj_sdss_i5,num_points_91bg_proj_sdss_i6,num_points_91bg_proj_sdss_z1,num_points_91bg_proj_sdss_z2,num_points_91bg_proj_sdss_z3,num_points_91bg_proj_sdss_z4,num_points_91bg_proj_sdss_z5,num_points_91bg_proj_sdss_z6,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
703,0,0,0,0,19,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,21,0,0,0,0,0,20,0,0.296481,53626.51401549862,3.587519045057473e-05,0.7987381442656545,0.029944381403895156,2e-05,0.6373810161421716,2.030068864629019e-06,0.6124938652552987,0.047572625674451884,57.19772920741905,75,Minimization exited successfully.
722,0,0,0,0,20,0,0,0,0,0,19,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0.085038,53610.90391887663,0.0005449329981841245,-0.4423078292510639,-0.07312548427653016,3.6e-05,0.7100593172508525,3.6677809786234834e-05,0.20837866705064842,0.03570063183920172,25.953811765529426,32,Minimization exited successfully.
735,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0.189482,53610.34718616856,6.822909894743672e-05,-2.663934750116312,-0.015084158364352852,4.5e-05,2.325688045089919,1.1971180601727525e-05,0.5770185831001023,0.10137777387440963,23.67299966242848,32,Minimization exited successfully.
739,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0.106421,53609.626962931616,0.0002898389818982151,-0.8764366425954367,0.012028094492894947,1.8e-05,1.013629081826366,2.1510581246196433e-05,0.19852074495393213,0.03675234742920793,59.69114932011762,28,Minimization exited successfully.
744,0,0,0,19,0,0,0,0,0,19,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,19,0,0,0.12694,53612.864930859425,0.000178797582631268,1.4352975516202822,0.10091495415592187,1.4e-05,0.9330633271238185,8.692495089050332e-06,0.3871980108571474,0.03365471231964755,19.2812579495996,31,Minimization exited successfully.
762,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0.190088,nan,nan,nan,nan,0.190088,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.190088
    t0 = +53557.441073
    x0 = +28030689.056004
    x1 = +176.720625
     c = +509.885394
"
774,22,0,0,0,0,0,22,0,0,0,0,0,22,0,0,0,0,0,23,0,0,0,0,0,23,0,0,0,0,0,0.092269,nan,nan,nan,nan,0.092269,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.092269
    t0 = +53568.788274
    x0 = +324397.681798
    x1 = -22.090350
     c = +689.268358
"
779,21,0,0,0,0,0,23,0,0,0,0,0,23,0,0,0,0,0,23,0,0,0,0,0,21,0,0,0,0,0,0.236938,53626.943778124616,5.5504691391232754e-05,0.44734595697463686,0.02962283948054562,2.1e-05,0.41854776553736883,2.4590597964123726e-06,0.37073044425352225,0.038609913635165256,62.91590659372834,84,Minimization exited successfully.
822,13,0,0,0,0,0,22,0,0,0,0,0,23,0,0,0,0,0,23,0,0,0,0,0,20,0,0,0,0,0,0.236635,53621.37716258134,4.925045253214973e-05,-0.5338464023703078,-0.07926425570419554,0.000143,0.6149735896688071,2.3368242094892397e-06,0.5093661609004497,0.04682497647138319,76.53466963396731,66,Minimization exited successfully.
841,21,0,0,0,0,0,22,0,0,0,0,0,21,0,0,0,0,0,22,0,0,0,0,0,22,0,0,0,0,0,0.298318,53624.904259608564,3.613394918269092e-05,0.2987099554138439,-0.08423108960223946,0.0005,0.6074413256137632,2.2134063553544894e-06,0.6215636718409502,0.044898741804527874,55.062378509684706,74,Minimization exited successfully.
