cid,num_points_91bg_proj_csp_u,num_points_91bg_proj_csp_g,num_points_91bg_proj_csp_r,num_points_91bg_proj_csp_i,num_points_91bg_proj_csp_B,num_points_91bg_proj_csp_V0,num_points_91bg_proj_csp_V1,num_points_91bg_proj_csp_V,num_points_91bg_proj_csp_Y,num_points_91bg_proj_csp_H,num_points_91bg_proj_csp_J,num_points_91bg_proj_csp_Jrc2,num_points_91bg_proj_csp_Ydw,num_points_91bg_proj_csp_Jdw,num_points_91bg_proj_csp_Hdw,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
2006ax,18,22,22,23,25,0,0,25,29,31,35,0,6,0,0,0.0167,901.9675202456426,2.454938575329891e-09,12591.11922457676,0.31097121742921463,0,0.6424405662018557,1.166724805817611e-09,1809.6299973364085,0.5214615591481273,475967888.94047475,131,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2006bd,0,8,8,8,5,0,0,8,4,4,7,0,0,0,0,0.0257,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.025700
    t0 = +827.115507
    x0 = +8805557793.156574
    x1 = +1696.396124
     c = +6151.025610
"
2006bh,17,18,18,19,19,0,0,19,20,19,22,0,4,0,0,0.0109,902.054921183848,1.9268974890754212e-07,173.2544371291881,0.08906375511234989,0,0.3824959333893503,1.227562202770159e-07,112.45679246135812,0.0575986065367689,501482371.9379337,106,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2006br,0,8,10,10,7,0,0,8,7,4,10,0,0,0,0,0.0246,901.9345254628414,5.642993748005429e-09,6774.251482496682,0.2962035337030192,0,1.6791590066728759,5.628823301969559e-09,5623.084841781861,0.245771612383779,25776461.28495843,39,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2006bt,9,11,11,11,8,0,0,11,9,9,9,0,0,0,0,0.0322,901.9848547880907,1.0148152413520187e-07,325.9743337512114,0.2684247212410548,0,0.5142461827139755,5.6918346901538126e-08,179.80777670922743,0.20918957199839197,168962035.5691622,57,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2006dd,25,39,38,37,38,0,0,39,1,0,0,0,0,0,0,0.0059,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.005900
    t0 = +1161.284146
    x0 = +6462591124874.146484
    x1 = +1214270.516267
     c = +8837336.216983
"
2006ef,6,10,10,10,10,0,0,10,0,0,0,0,0,0,0,0.0179,1046.6383662652759,2.3619844269993884e-06,9.115429652945934,0.19338760229930058,0,0.6094767498971123,1.0215914840714046e-06,6.1548757706610004,0.24215416918761196,162186455.6236019,52,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2006ej,5,13,5,6,12,0,0,13,3,2,5,0,0,0,0,0.0205,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.020500
    t0 = +1055.281096
    x0 = -36284374646.043579
    x1 = -3423.310592
     c = -46254.801692
"
2006eq,2,10,15,14,12,0,0,12,14,3,11,0,5,0,0,0.0495,988.5896557059165,2.3717741115505537e-06,27.432797631108517,0.07188330686625419,0,0.17375686732577833,6.624291061708609e-08,1.233192088694398,0.03594942032354022,1140.5203125573848,61,Minimization exited successfully.
2006et,17,24,24,22,21,0,0,23,35,32,34,0,4,0,0,0.0226,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.022600
    t0 = +1009.922631
    x0 = +2565076077.711545
    x1 = +624.560228
     c = +3269.937282
"
