cid,num_points_91bg_proj_sdss_u1,num_points_91bg_proj_sdss_u2,num_points_91bg_proj_sdss_u3,num_points_91bg_proj_sdss_u4,num_points_91bg_proj_sdss_u5,num_points_91bg_proj_sdss_u6,num_points_91bg_proj_sdss_g1,num_points_91bg_proj_sdss_g2,num_points_91bg_proj_sdss_g3,num_points_91bg_proj_sdss_g4,num_points_91bg_proj_sdss_g5,num_points_91bg_proj_sdss_g6,num_points_91bg_proj_sdss_r1,num_points_91bg_proj_sdss_r2,num_points_91bg_proj_sdss_r3,num_points_91bg_proj_sdss_r4,num_points_91bg_proj_sdss_r5,num_points_91bg_proj_sdss_r6,num_points_91bg_proj_sdss_i1,num_points_91bg_proj_sdss_i2,num_points_91bg_proj_sdss_i3,num_points_91bg_proj_sdss_i4,num_points_91bg_proj_sdss_i5,num_points_91bg_proj_sdss_i6,num_points_91bg_proj_sdss_z1,num_points_91bg_proj_sdss_z2,num_points_91bg_proj_sdss_z3,num_points_91bg_proj_sdss_z4,num_points_91bg_proj_sdss_z5,num_points_91bg_proj_sdss_z6,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
679,0,0,0,0,19,0,0,0,0,0,19,0,0,0,0,0,21,0,0,0,0,0,20,0,0,0,0,0,20,0,0.123663,53600.52084679612,1.5896743606413632e-05,-0.7805297540196623,0.9491691902218777,0,7.972556255404925,7.775840360372265e-06,0.9876946458643889,1.0719278196337618,123.51645582790337,75,Minimization exited successfully.
682,0,0,0,0,13,19,0,0,0,0,15,18,0,0,0,0,18,19,0,0,0,0,16,19,0,0,0,0,17,19,0.047317,nan,nan,nan,nan,2.2e-05,nan,nan,nan,nan,nan,nan,No data points with S/N > 5. Initial guessing failed.
688,20,0,0,0,0,0,19,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,19,0,0,0,0,0,0.066563,53600.93050722586,4.081433319294586e-05,1.1232322769134582,0.5561918666079149,0,0.0007784655463183299,8.791441332624133e-06,0.8704248785778534,0.14262167978126722,153.66891280422755,75,Covariance may not be accurate.
691,0,18,0,0,0,0,0,19,0,0,0,0,0,20,0,0,0,0,0,21,0,0,0,0,0,19,0,0,0,0,0.129587,53602.1576398471,0.0001834120796861621,-0.010291671931272006,-0.0164316948015511,0,1.6554796223026642,2.239741890905673e-05,0.3692112563647121,0.06544314680877986,317.57486061097165,74,Minimization exited successfully.
694,0,31,0,0,0,0,0,34,0,0,0,0,0,34,0,0,0,0,0,36,0,0,0,0,0,35,0,0,0,0,0.126178,53621.5210694039,0.0001360193880692942,1.5660502476675866,0.28399820204378146,0,0.638891362825234,4.741455328049476e-06,0.2600643776801954,0.027758798921287797,1093.977022853162,131,Minimization exited successfully.
697,0,41,0,0,0,0,0,41,0,0,0,0,0,38,0,0,0,0,0,40,0,0,0,0,0,40,0,0,0,0,0.155294,53606.44578572774,4.2145992686413726e-05,0.5305949828026737,0.49890658821939626,0,0.0032775964682514314,4.310480254708927e-06,0.5689541085704812,0.07359728471837002,475.63050923155186,156,Minimization exited successfully.
701,0,0,0,0,21,0,0,0,0,0,21,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,21,0,0.205128,53609.93166599629,6.371769832012875e-05,-1.800582427066332,0.1689504803351375,0,0.0015413925211760215,5.047229482579296e-06,0.49904241192611387,0.06488798045489014,115.09160631253442,99,Covariance may not be accurate.
703,0,0,0,0,19,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,21,0,0,0,0,0,20,0,0.296481,53626.57488955836,3.606906497490597e-05,0.7473515184167745,0.02732045189876331,0,0.6216463156488317,2.005629486239029e-06,0.6285082446672701,0.04848067489560337,79.85873869803264,96,Minimization exited successfully.
704,0,20,0,0,0,0,0,20,0,0,0,0,0,19,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0.204966,53607.94149534761,4.50931321033135e-05,-0.6969363383675997,0.2576857730153118,0,0.005907980961637804,4.358752972309227e-06,0.6381348730120604,0.074253533459601,150.63217693914586,95,Minimization exited successfully.
711,0,0,0,0,18,0,0,0,0,0,19,0,0,0,0,0,19,0,0,0,0,0,17,0,0,0,0,0,19,0,1.111396,53691.608916935744,8.65656482679472e-06,4.999998948585237,-0.31867044876619743,0,4.244190882945986,1.538262646508526e-06,1.1539408981602968,0.0747307134045875,217.69880687588704,51,Minimization exited successfully.
717,0,0,0,0,19,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0.12901,53613.79041472033,1.6226400627874225e-05,0.00309828716852234,0.9999985694889801,0,0.0012345637987891678,7.969102685920213e-07,0.7762749751301588,0.07343354221067089,99.78918821290853,75,Minimization exited successfully.
722,0,0,0,0,20,0,0,0,0,0,19,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0.085038,53618.978224453684,0.00028215471873129476,-0.09599396637332713,0.15062238198886602,0,4.96223583468236e-05,8.728475309809227e-06,0.14173465112391392,0.02541438830146231,1394.6154459556278,75,Covariance may not be accurate.
