   DEBUG (2020-05-18 22:35:36,142): root - Fetching t0 for <4307>
    INFO (2020-05-18 22:35:36,143): root - Found t0 for <4307>. t0 = 2453648.4
    INFO (2020-05-18 22:35:36,160): root - Formatted table for <4307> has 0 spectra
   DEBUG (2020-05-18 22:35:36,160): root - Finished with target


    INFO (2020-05-18 22:35:36,160): root - Fetching data for <16938> (11 / 938)
   DEBUG (2020-05-18 22:35:36,350): root - Formatting table for <16938>
   DEBUG (2020-05-18 22:35:36,350): root - Fetching t0 for <16938>
    INFO (2020-05-18 22:35:36,351): root - t0 not available for <16938>
   DEBUG (2020-05-18 22:35:36,351): root - Finished with target


    INFO (2020-05-18 22:35:36,351): root - Fetching data for <16290> (12 / 938)
   DEBUG (2020-05-18 22:35:36,507): root - Formatting table for <16290>
   DEBUG (2020-05-18 22:35:36,507): root - Fetching t0 for <16290>
    INFO (2020-05-18 22:35:36,508): root - Found t0 for <16290>. t0 = 2454057.7
    INFO (2020-05-18 22:35:36,540): root - Formatted table for <16290> has 0 spectra
   DEBUG (2020-05-18 22:35:36,540): root - Finished with target


    INFO (2020-05-18 22:35:36,540): root - Fetching data for <16072> (13 / 938)
   DEBUG (2020-05-18 22:35:36,639): root - Formatting table for <16072>
   DEBUG (2020-05-18 22:35:36,639): root - Fetching t0 for <16072>
    INFO (2020-05-18 22:35:36,640): root - Found t0 for <16072>. t0 = 2454047.5
    INFO (2020-05-18 22:35:36,659): root - Formatted table for <16072> has 1 spectra
    INFO (2020-05-18 22:35:36,660): root - Using template Ia
    INFO (2020-05-18 22:35:36,667): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/16072_8.00.dat
   DEBUG (2020-05-18 22:35:40,993): root - Finished with target


    INFO (2020-05-18 22:35:40,994): root - Fetching data for <12991> (14 / 938)
   DEBUG (2020-05-18 22:35:41,180): root - Formatting table for <12991>
   DEBUG (2020-05-18 22:35:41,181): root - Fetching t0 for <12991>
    INFO (2020-05-18 22:35:41,182): root - Found t0 for <12991>. t0 = 2454023.3
    INFO (2020-05-18 22:35:41,236): root - Formatted table for <12991> has 0 spectra
   DEBUG (2020-05-18 22:35:41,236): root - Finished with target


    INFO (2020-05-18 22:35:41,236): root - Fetching data for <11300> (15 / 938)
   DEBUG (2020-05-18 22:35:41,459): root - Formatting table for <11300>
   DEBUG (2020-05-18 22:35:41,459): root - Fetching t0 for <11300>
    INFO (2020-05-18 22:35:41,460): root - Found t0 for <11300>. t0 = 2453700.2
    INFO (2020-05-18 22:35:41,525): root - Formatted table for <11300> has 1 spectra
    INFO (2020-05-18 22:35:41,526): root - Using template Ia
    INFO (2020-05-18 22:35:41,538): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/11300_-1.70.dat
   DEBUG (2020-05-18 22:35:45,543): root - Finished with target


    INFO (2020-05-18 22:35:45,543): root - Fetching data for <20718> (16 / 938)
   DEBUG (2020-05-18 22:35:45,861): root - Formatting table for <20718>
   DEBUG (2020-05-18 22:35:45,862): root - Fetching t0 for <20718>
    INFO (2020-05-18 22:35:45,863): root - Found t0 for <20718>. t0 = 2454426.7
    INFO (2020-05-18 22:35:45,960): root - Formatted table for <20718> has 3 spectra
    INFO (2020-05-18 22:35:45,961): root - No recorded type for <20718>
    INFO (2020-05-18 22:35:45,961): root - No recorded type for <20718>
