   DEBUG (2020-05-18 10:25:02,220): root - Finished with target


    INFO (2020-05-18 10:25:02,220): root - Fetching data for <1253>
   DEBUG (2020-05-18 10:25:02,700): root - Formatting table for <1253>
   DEBUG (2020-05-18 10:25:02,700): root - Fetching t0 for <1253>
    INFO (2020-05-18 10:25:02,701): root - Found t0 for <1253>. t0 = 2453634.8
    INFO (2020-05-18 10:25:02,801): root - Formatted table for <1253> is empty
    INFO (2020-05-18 10:25:02,832): root - snid forcez=0.261657 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/1253_2.70.dat
   DEBUG (2020-05-18 10:25:04,130): root - Finished with target


    INFO (2020-05-18 10:25:04,130): root - Fetching data for <1253>
   DEBUG (2020-05-18 10:25:04,629): root - Formatting table for <1253>
   DEBUG (2020-05-18 10:25:04,629): root - Fetching t0 for <1253>
    INFO (2020-05-18 10:25:04,630): root - Found t0 for <1253>. t0 = 2453634.8
    INFO (2020-05-18 10:25:04,741): root - Formatted table for <1253> is empty
    INFO (2020-05-18 10:25:04,741): root - SNID output already exists at: /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/1253_2.70_snid.output
   DEBUG (2020-05-18 10:25:04,754): root - Finished with target


    INFO (2020-05-18 10:25:04,754): root - Fetching data for <1316>
   DEBUG (2020-05-18 10:25:05,351): root - Formatting table for <1316>
   DEBUG (2020-05-18 10:25:05,351): root - Fetching t0 for <1316>
    INFO (2020-05-18 10:25:05,353): root - Found t0 for <1316>. t0 = 2453620.4
    INFO (2020-05-18 10:25:05,510): root - Formatted table for <1316> is empty
   DEBUG (2020-05-18 10:25:05,510): root - Finished with target


    INFO (2020-05-18 10:25:05,510): root - Fetching data for <1371>
   DEBUG (2020-05-18 10:25:05,748): root - Formatting table for <1371>
   DEBUG (2020-05-18 10:25:05,749): root - Fetching t0 for <1371>
    INFO (2020-05-18 10:25:05,750): root - Found t0 for <1371>. t0 = 2453633.8
    INFO (2020-05-18 10:25:05,787): root - Formatted table for <1371> is empty
    INFO (2020-05-18 10:25:05,799): root - snid forcez=0.117969 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/1371_4.70.dat
   DEBUG (2020-05-18 10:25:06,748): root - Finished with target


    INFO (2020-05-18 10:25:06,748): root - Fetching data for <1580>
   DEBUG (2020-05-18 10:25:07,003): root - Formatting table for <1580>
   DEBUG (2020-05-18 10:25:07,004): root - Fetching t0 for <1580>
    INFO (2020-05-18 10:25:07,005): root - Found t0 for <1580>. t0 = 2453634.5
    INFO (2020-05-18 10:25:07,092): root - Formatted table for <1580> is empty
    INFO (2020-05-18 10:25:07,121): root - snid forcez=0.183217 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/1580_3.00.dat
   DEBUG (2020-05-18 10:25:08,140): root - Finished with target


    INFO (2020-05-18 10:25:08,140): root - Fetching data for <1688>
   DEBUG (2020-05-18 10:25:08,473): root - Formatting table for <1688>
   DEBUG (2020-05-18 10:25:08,473): root - Fetching t0 for <1688>
    INFO (2020-05-18 10:25:08,476): root - Found t0 for <1688>. t0 = 2453630.8
    INFO (2020-05-18 10:25:08,534): root - Formatted table for <1688> is empty
    INFO (2020-05-18 10:25:08,551): root - snid forcez=0.357669 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/1688_10.70.dat
   DEBUG (2020-05-18 10:25:09,516): root - Finished with target


    INFO (2020-05-18 10:25:09,516): root - Fetching data for <1794>
   DEBUG (2020-05-18 10:25:09,768): root - Formatting table for <1794>
   DEBUG (2020-05-18 10:25:09,768): root - Fetching t0 for <1794>
    INFO (2020-05-18 10:25:09,769): root - Found t0 for <1794>. t0 = 2453625.1
    INFO (2020-05-18 10:25:09,854): root - Formatted table for <1794> is empty
    INFO (2020-05-18 10:25:09,880): root - snid forcez=0.1407 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/1794_12.40.dat
   DEBUG (2020-05-18 10:25:10,862): root - Finished with target


    INFO (2020-05-18 10:25:10,863): root - Fetching data for <2017>
   DEBUG (2020-05-18 10:25:11,022): root - Formatting table for <2017>
   DEBUG (2020-05-18 10:25:11,022): root - Fetching t0 for <2017>
    INFO (2020-05-18 10:25:11,024): root - Found t0 for <2017>. t0 = 2453636.4
    INFO (2020-05-18 10:25:11,043): root - Formatted table for <2017> is empty
    INFO (2020-05-18 10:25:11,050): root - snid forcez=0.261621 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2017_0.10.dat
   DEBUG (2020-05-18 10:25:11,996): root - Finished with target


    INFO (2020-05-18 10:25:11,996): root - Fetching data for <2030>
   DEBUG (2020-05-18 10:25:12,102): root - Formatting table for <2030>
   DEBUG (2020-05-18 10:25:12,102): root - Fetching t0 for <2030>
    INFO (2020-05-18 10:25:12,104): root - Found t0 for <2030>. t0 = 2453612.9
    INFO (2020-05-18 10:25:12,125): root - Formatted table for <2030> is empty
   DEBUG (2020-05-18 10:25:12,126): root - Finished with target


    INFO (2020-05-18 10:25:12,126): root - Fetching data for <2031>
   DEBUG (2020-05-18 10:25:12,376): root - Formatting table for <2031>
   DEBUG (2020-05-18 10:25:12,376): root - Fetching t0 for <2031>
    INFO (2020-05-18 10:25:12,377): root - Found t0 for <2031>. t0 = 2453637.4
    INFO (2020-05-18 10:25:12,461): root - Formatted table for <2031> is empty
    INFO (2020-05-18 10:25:12,487): root - snid forcez=0.151859 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2031_-0.90.dat
   DEBUG (2020-05-18 10:25:13,503): root - Finished with target


    INFO (2020-05-18 10:25:13,503): root - Fetching data for <2102>
   DEBUG (2020-05-18 10:25:13,647): root - Formatting table for <2102>
   DEBUG (2020-05-18 10:25:13,647): root - Fetching t0 for <2102>
    INFO (2020-05-18 10:25:13,649): root - Found t0 for <2102>. t0 = 2453620.8
    INFO (2020-05-18 10:25:13,683): root - Formatted table for <2102> is empty
   DEBUG (2020-05-18 10:25:13,683): root - Finished with target


    INFO (2020-05-18 10:25:13,683): root - Fetching data for <2165>
   DEBUG (2020-05-18 10:25:13,862): root - Formatting table for <2165>
   DEBUG (2020-05-18 10:25:13,862): root - Fetching t0 for <2165>
    INFO (2020-05-18 10:25:13,864): root - Found t0 for <2165>. t0 = 2453634.8
    INFO (2020-05-18 10:25:13,916): root - Formatted table for <2165> is empty
    INFO (2020-05-18 10:25:13,933): root - snid forcez=0.286619 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2165_6.70.dat
   DEBUG (2020-05-18 10:25:14,883): root - Finished with target


    INFO (2020-05-18 10:25:14,883): root - Fetching data for <2246>
   DEBUG (2020-05-18 10:25:15,415): root - Formatting table for <2246>
   DEBUG (2020-05-18 10:25:15,415): root - Fetching t0 for <2246>
    INFO (2020-05-18 10:25:15,416): root - Found t0 for <2246>. t0 = 2453634.7
    INFO (2020-05-18 10:25:15,534): root - Formatted table for <2246> is empty
    INFO (2020-05-18 10:25:15,570): root - snid forcez=0.194216 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/2246_3.80.dat
   DEBUG (2020-05-18 10:25:16,577): root - Finished with target


