    INFO (2020-05-18 14:26:54,081): root - snid forcez=0.198005 emclip=0.198005 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/15222_-7.10.dat
   DEBUG (2020-05-18 14:26:55,076): root - Finished with target


    INFO (2020-05-18 14:26:55,076): root - Fetching data for <17500> (10 / 500)
   DEBUG (2020-05-18 14:26:55,196): root - Formatting table for <17500>
   DEBUG (2020-05-18 14:26:55,196): root - Fetching t0 for <17500>
    INFO (2020-05-18 14:26:55,197): root - t0 not available for <17500>
   DEBUG (2020-05-18 14:26:55,197): root - Finished with target


    INFO (2020-05-18 14:26:55,197): root - Fetching data for <5183> (11 / 500)
   DEBUG (2020-05-18 14:26:55,340): root - Formatting table for <5183>
   DEBUG (2020-05-18 14:26:55,340): root - Fetching t0 for <5183>
    INFO (2020-05-18 14:26:55,341): root - Found t0 for <5183>. t0 = 2453647.5
    INFO (2020-05-18 14:26:55,362): root - Formatted table for <5183> has 1 spectra
    INFO (2020-05-18 14:26:55,370): root - snid forcez=0.389088 emclip=0.389088 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/5183_4.00.dat
   DEBUG (2020-05-18 14:26:56,371): root - Finished with target


    INFO (2020-05-18 14:26:56,371): root - Fetching data for <13796> (12 / 500)
   DEBUG (2020-05-18 14:26:56,698): root - Formatting table for <13796>
   DEBUG (2020-05-18 14:26:56,698): root - Fetching t0 for <13796>
    INFO (2020-05-18 14:26:56,701): root - Found t0 for <13796>. t0 = 2454010.9
    INFO (2020-05-18 14:26:56,801): root - Formatted table for <13796> has 2 spectra
    INFO (2020-05-18 14:26:56,810): root - snid forcez=0.14729 emclip=0.14729 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/13796_-6.40.dat
    INFO (2020-05-18 14:26:57,832): root - snid forcez=0.14729 emclip=0.14729 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/13796_14.60.dat
   DEBUG (2020-05-18 14:26:58,846): root - Finished with target


    INFO (2020-05-18 14:26:58,846): root - Fetching data for <21810> (13 / 500)
   DEBUG (2020-05-18 14:26:58,976): root - Formatting table for <21810>
   DEBUG (2020-05-18 14:26:58,976): root - Fetching t0 for <21810>
    INFO (2020-05-18 14:26:58,978): root - Found t0 for <21810>. t0 = 2454432.2
    INFO (2020-05-18 14:26:59,003): root - Formatted table for <21810> has 1 spectra
    INFO (2020-05-18 14:26:59,012): root - snid forcez=0.173604 emclip=0.173604 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/21810_9.30.dat
   DEBUG (2020-05-18 14:26:59,962): root - Finished with target


    INFO (2020-05-18 14:26:59,962): root - Fetching data for <17880> (14 / 500)
   DEBUG (2020-05-18 14:27:00,375): root - Formatting table for <17880>
   DEBUG (2020-05-18 14:27:00,376): root - Fetching t0 for <17880>
    INFO (2020-05-18 14:27:00,378): root - Found t0 for <17880>. t0 = 2454363.8
    INFO (2020-05-18 14:27:00,477): root - Formatted table for <17880> has 2 spectra
    INFO (2020-05-18 14:27:00,487): root - snid forcez=0.071952 emclip=0.071952 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/17880_-2.30.dat
    INFO (2020-05-18 14:27:01,339): root - snid forcez=0.071952 emclip=0.071952 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/17880_0.70.dat
   DEBUG (2020-05-18 14:27:02,340): root - Finished with target


    INFO (2020-05-18 14:27:02,341): root - Fetching data for <20834> (15 / 500)
   DEBUG (2020-05-18 14:27:02,459): root - Formatting table for <20834>
   DEBUG (2020-05-18 14:27:02,459): root - Fetching t0 for <20834>
    INFO (2020-05-18 14:27:02,460): root - t0 not available for <20834>
   DEBUG (2020-05-18 14:27:02,460): root - Finished with target


    INFO (2020-05-18 14:27:02,460): root - Fetching data for <11650> (16 / 500)
   DEBUG (2020-05-18 14:27:02,563): root - Formatting table for <11650>
   DEBUG (2020-05-18 14:27:02,563): root - Fetching t0 for <11650>
    INFO (2020-05-18 14:27:02,564): root - t0 not available for <11650>
   DEBUG (2020-05-18 14:27:02,564): root - Finished with target


    INFO (2020-05-18 14:27:02,564): root - Fetching data for <3451> (17 / 500)
   DEBUG (2020-05-18 14:27:02,919): root - Formatting table for <3451>
   DEBUG (2020-05-18 14:27:02,919): root - Fetching t0 for <3451>
    INFO (2020-05-18 14:27:02,922): root - Found t0 for <3451>. t0 = 2453645.6
    INFO (2020-05-18 14:27:02,991): root - Formatted table for <3451> has 1 spectra
    INFO (2020-05-18 14:27:03,013): root - snid forcez=0.248351 emclip=0.248351 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/3451_-5.10.dat
   DEBUG (2020-05-18 14:27:04,026): root - Finished with target


    INFO (2020-05-18 14:27:04,026): root - Fetching data for <17117> (18 / 500)
   DEBUG (2020-05-18 14:27:04,339): root - Formatting table for <17117>
   DEBUG (2020-05-18 14:27:04,339): root - Fetching t0 for <17117>
    INFO (2020-05-18 14:27:04,342): root - t0 not available for <17117>
   DEBUG (2020-05-18 14:27:04,342): root - Finished with target


    INFO (2020-05-18 14:27:04,342): root - Fetching data for <15756> (19 / 500)
   DEBUG (2020-05-18 14:27:04,460): root - Formatting table for <15756>
   DEBUG (2020-05-18 14:27:04,460): root - Fetching t0 for <15756>
    INFO (2020-05-18 14:27:04,461): root - Found t0 for <15756>. t0 = 2454036.5
    INFO (2020-05-18 14:27:04,476): root - Formatted table for <15756> has 0 spectra
   DEBUG (2020-05-18 14:27:04,476): root - Finished with target


    INFO (2020-05-18 14:27:04,476): root - Fetching data for <20528> (20 / 500)
   DEBUG (2020-05-18 14:27:04,732): root - Formatting table for <20528>
   DEBUG (2020-05-18 14:27:04,732): root - Fetching t0 for <20528>
    INFO (2020-05-18 14:27:04,734): root - Found t0 for <20528>. t0 = 2454416.3
    INFO (2020-05-18 14:27:04,807): root - Formatted table for <20528> has 2 spectra
    INFO (2020-05-18 14:27:04,824): root - snid forcez=0.134897 emclip=0.134897 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/20528_-3.80.dat
    INFO (2020-05-18 14:27:05,773): root - snid forcez=0.134897 emclip=0.134897 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/20528_-0.80.dat
   DEBUG (2020-05-18 14:27:06,713): root - Finished with target


    INFO (2020-05-18 14:27:06,714): root - Fetching data for <1253> (21 / 500)
   DEBUG (2020-05-18 14:27:07,202): root - Formatting table for <1253>
   DEBUG (2020-05-18 14:27:07,202): root - Fetching t0 for <1253>
    INFO (2020-05-18 14:27:07,204): root - Found t0 for <1253>. t0 = 2453634.8
    INFO (2020-05-18 14:27:07,303): root - Formatted table for <1253> has 2 spectra
    INFO (2020-05-18 14:27:07,331): root - snid forcez=0.261657 emclip=0.261657 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/1253_2.70.dat
    INFO (2020-05-18 14:27:08,375): root - snid forcez=0.261657 emclip=0.261657 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/1253_4.70.dat
   DEBUG (2020-05-18 14:27:09,326): root - Finished with target


    INFO (2020-05-18 14:27:09,326): root - Fetching data for <6780> (22 / 500)
   DEBUG (2020-05-18 14:27:09,437): root - Formatting table for <6780>
   DEBUG (2020-05-18 14:27:09,438): root - Fetching t0 for <6780>
    INFO (2020-05-18 14:27:09,440): root - Found t0 for <6780>. t0 = 2453666.1
    INFO (2020-05-18 14:27:09,459): root - Formatted table for <6780> has 1 spectra
    INFO (2020-05-18 14:27:09,466): root - snid forcez=0.202674 emclip=0.202674 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/6780_9.40.dat
   DEBUG (2020-05-18 14:27:10,406): root - Finished with target


    INFO (2020-05-18 14:27:10,406): root - Fetching data for <16350> (23 / 500)
   DEBUG (2020-05-18 14:27:10,585): root - Formatting table for <16350>
   DEBUG (2020-05-18 14:27:10,585): root - Fetching t0 for <16350>
    INFO (2020-05-18 14:27:10,588): root - Found t0 for <16350>. t0 = 2454054.5
    INFO (2020-05-18 14:27:10,610): root - Formatted table for <16350> has 1 spectra
    INFO (2020-05-18 14:27:10,618): root - snid forcez=0.236836 emclip=0.236836 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/16350_6.00.dat
   DEBUG (2020-05-18 14:27:11,595): root - Finished with target


    INFO (2020-05-18 14:27:11,596): root - Fetching data for <6057> (24 / 500)
   DEBUG (2020-05-18 14:27:11,828): root - Formatting table for <6057>
   DEBUG (2020-05-18 14:27:11,828): root - Fetching t0 for <6057>
    INFO (2020-05-18 14:27:11,830): root - Found t0 for <6057>. t0 = 2453664.1
    INFO (2020-05-18 14:27:11,899): root - Formatted table for <6057> has 1 spectra
    INFO (2020-05-18 14:27:11,906): root - snid forcez=0.066511 emclip=0.066511 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/6057_2.40.dat
   DEBUG (2020-05-18 14:27:12,919): root - Finished with target


    INFO (2020-05-18 14:27:12,919): root - Fetching data for <14815> (25 / 500)
   DEBUG (2020-05-18 14:27:13,242): root - Formatting table for <14815>
   DEBUG (2020-05-18 14:27:13,242): root - Fetching t0 for <14815>
    INFO (2020-05-18 14:27:13,244): root - Found t0 for <14815>. t0 = 2454025.0
    INFO (2020-05-18 14:27:13,294): root - Formatted table for <14815> has 3 spectra
    INFO (2020-05-18 14:27:13,301): root - snid forcez=0.135051 emclip=0.135051 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/14815_-6.50.dat
    INFO (2020-05-18 14:27:14,329): root - snid forcez=0.135051 emclip=0.135051 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/14815_0.50.dat
    INFO (2020-05-18 14:27:15,277): root - snid forcez=0.135051 emclip=0.135051 rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/type_rlap_5/14815_12.50.dat
   DEBUG (2020-05-18 14:27:16,211): root - Finished with target


    INFO (2020-05-18 14:27:16,211): root - Fetching data for <16789> (26 / 500)
   DEBUG (2020-05-18 14:27:16,365): root - Formatting table for <16789>
   DEBUG (2020-05-18 14:27:16,365): root - Fetching t0 for <16789>
    INFO (2020-05-18 14:27:16,367): root - Found t0 for <16789>. t0 = 2454056.5
