type,ntemp,fraction,slope,redshift,redshift_error,age,age_error,obj_id,phase
Ia,3,1.0,0.0,0.1076,0.0015,16.1,2.254,739,12.5
Ia-norm,2,0.67,0.0,0.1073,0.0021,18.0,2.687,739,12.5
Ia-91T,1,0.33,0.0,0.1076,0.0,15.9,0.0,739,12.5
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
Ia-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
II,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,739,12.5
Ia,7,1.0,0.0,0.1954,0.0055,1.7,4.705,762,-3.2000000001862645
Ia-norm,4,0.57,0.046,0.1985,0.0071,-1.65,6.169,762,-3.2000000001862645
Ia-91T,3,0.43,-0.0467,0.1954,0.0036,3.1,1.646,762,-3.2000000001862645
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
Ia-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
II,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,762,-3.2000000001862645
Ia,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
Ia-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
Ia-91T,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
Ia-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
Ic,6,1.0,0.0,0.141,0.0013,15.4,1.914,1032,11.299999999813735
Ic-norm,4,0.67,-0.3333,0.1409,0.0002,16.4,1.291,1032,11.299999999813735
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
Ic-broad,2,0.33,0.3333,0.1433,0.0009,13.3,0.707,1032,11.299999999813735
II,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,1032,11.299999999813735
Ia,48,1.0,0.0,0.0894,0.0044,0.9,3.689,1241,0.6000000000931323
Ia-norm,47,0.98,0.0064,0.0893,0.0044,0.9,3.729,1241,0.6000000000931323
Ia-91T,1,0.02,0.0,0.0958,0.0,0.8,0.0,1241,0.6000000000931323
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
Ia-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
II,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,1241,0.6000000000931323
Ia,4,1.0,0.0,0.2616,0.0057,6.25,3.159,1253,2.7000000001862645
Ia-norm,3,0.75,0.0704,0.2607,0.0013,6.4,1.079,1253,2.7000000001862645
Ia-91T,1,0.25,-0.0497,0.2723,0.0,0.8,0.0,1253,2.7000000001862645
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ia-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
II,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ia,4,1.0,0.0,0.2616,0.0057,6.25,3.159,1253,2.7000000001862645
Ia-norm,3,0.75,0.0704,0.2607,0.0013,6.4,1.079,1253,2.7000000001862645
Ia-91T,1,0.25,-0.0497,0.2723,0.0,0.8,0.0,1253,2.7000000001862645
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ia-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
II,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,1253,2.7000000001862645
Ia,1,1.0,0.0,0.3607,0.0,8.1,0.0,1688,10.700000000186265
Ia-norm,1,1.0,0.0,0.3607,0.0,8.1,0.0,1688,10.700000000186265
Ia-91T,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
Ia-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
II,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,1688,10.700000000186265
Ia,3,1.0,-0.0,0.145,0.0028,9.2,2.248,1794,12.399999999906868
Ia-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
Ia-91T,3,1.0,-0.0,0.145,0.0028,9.2,2.248,1794,12.399999999906868
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
Ia-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
II,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
IIL,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
NotSN,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
AGN,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
Gal,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
LBV,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
M-star,0,0.0,0.0,0.0,0.0,0.0,0.0,1794,12.399999999906868
Ia,26,1.0,0.0,0.1548,0.0052,1.1,2.999,2031,-0.8999999999068677
Ia-norm,25,0.96,0.0044,0.1548,0.0045,0.9,3.044,2031,-0.8999999999068677
Ia-91T,1,0.04,-0.005,0.1701,0.0,2.7,0.0,2031,-0.8999999999068677
Ia-91bg,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
Ia-csm,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
Ia-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
Ib,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
Ib-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
Ib-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
IIb,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
Ic,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
Ic-norm,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
Ic-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
Ic-broad,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
II,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
IIP,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
II-pec,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
IIn,0,0.0,0.0,0.0,0.0,0.0,0.0,2031,-0.8999999999068677
