#      NAME  RED LC-DATA ST      ST-err   COL     COL-err BMAG     BMAG-err   CHI2DOF   MJDMAX    MJDMAX-err
    sn2005lb  0.026   0    2.600   -0.000      NaN      NaN      NaN      NaN   38.999   53579.449  0.435
    sn2005lc  0.014   1    2.600   -0.000      NaN      NaN      NaN      NaN  420.263   53653.811  0.055
    sn2005fq  0.147   1    2.600    0.000      NaN      NaN      NaN      NaN    2.174   53623.461  1.223
    SDSS2661  0.193   1    1.933    0.270    0.345    0.125   22.234    0.134    2.284   53625.064  2.266
    sn2005gi  0.051   1    0.908    0.003    0.680    0.113   18.736    0.016  148.675   53646.706  0.045
    sn2005jr  0.294   1    1.424    0.032   -0.095    0.041   21.571    0.042    1.819   53685.424  0.357
    sn2005mk  0.148   1    1.295    0.032   -0.128    0.043   20.899    0.050    5.211   53693.895  0.305
    sn2005kb  0.015   1    1.106    0.004    0.152    0.056   17.358    0.012 1085.856   53689.815  0.032
    sn2005lm  0.085   1    1.322    0.026   -0.047    0.088   20.329    0.022    9.486   53698.305  0.300
    sn2006fq  0.068   1    2.600    0.000      NaN      NaN      NaN      NaN   23.565   53981.473  0.339
    sn2006fg  0.045   1    2.600   -0.000      NaN      NaN      NaN      NaN  165.626   53982.014  0.146
    sn2006ez  0.089   1    2.600   -0.000      NaN      NaN      NaN      NaN   54.141   53997.538  0.136
    sn2006gd  0.155   1    2.600    0.000      NaN      NaN      NaN      NaN   12.617   54018.648  0.497
    sn2006kh  0.060   1    2.600    0.000      NaN      NaN      NaN      NaN  158.140   54039.931  0.168
    sn2006gq  0.070   1    2.557    0.038    0.446    0.071   20.224    0.019   41.145   54009.640  0.214
    sn2006ix  0.076   1    2.600   -0.000      NaN      NaN      NaN      NaN   32.676   54021.741  0.129
    sn2006kn  0.120   1    0.752    0.016    0.420    0.142   19.785    0.049   22.148   54015.377  0.110
    sn2006jl  0.051   1    1.907    0.025    0.672    0.097   19.354    0.072  149.767   54024.263  0.199
    sn2006iw  0.031   1    2.544    0.013    0.462    0.058   18.842    0.019  186.260   54035.455  0.097
    sn2006kv  0.062   1    1.511    0.020    0.996    0.053   19.829    0.015   39.588   54028.807  0.174
    sn2006ns  0.120   1    1.117    0.017   -0.298    0.071   20.245    0.029   24.782   54034.151  0.205
    sn2006pc  0.055   1    1.958    0.106    0.540    0.264   21.578    0.062    2.801   54049.988  0.634
    sn2006ny  0.079   1    1.483    0.018   -0.182    0.063   19.424    0.012   16.055   54056.332  0.165
   SDSS16391  0.057   1    0.809    0.011   -0.287    0.068   19.988    0.018   61.924   54058.100  0.093
    sn2006pu  0.152   1    1.713    0.105    0.034    0.026   20.374    0.040    2.101   54068.219  0.929
   SDSS16838  0.150   0    0.983    0.014    0.014    0.012   18.887    0.037   11.772   54068.965  0.144
    sn2007mr  0.080   1    2.600   -0.000      NaN      NaN      NaN      NaN    2.470   54363.777  0.977
    sn2007ja  0.085   1    0.400   -0.000      NaN      NaN      NaN      NaN    1.088   54424.391  1.010
    sn2007hw  0.062   0    0.679    0.113      NaN      NaN      NaN      NaN  110.954   54361.212  0.232
   SDSS17236  0.042   1    2.600   -0.000      NaN      NaN      NaN      NaN    4.812   54371.944  0.842
    sn2007ib  0.034   1    2.600   -0.000      NaN      NaN      NaN      NaN   38.994   54371.011  0.289
    sn2007jm  0.091   0    2.600   -0.000      NaN      NaN      NaN      NaN    4.049   54209.663 87.159
   SDSS17422  0.141   1    1.422    0.068   -0.114    0.041   21.023    0.040    1.800   54356.626  0.405
   SDSS17436  0.138   1    2.420    0.114    0.189    0.042   21.189    0.042    5.777   54356.921  0.811
    sn2007jn  0.058   1    1.775    0.109    1.039    0.060   20.769    0.045    3.710   54348.170  0.743
    sn2007iz  0.255   1    2.600   -0.000      NaN      NaN      NaN      NaN   18.399   54390.341  0.465
    sn2007jf  0.069   1    2.600   -0.000      NaN      NaN      NaN      NaN    5.345   54362.437  0.719
    sn2007nr  0.144   1    1.642    0.034   -0.072    0.048   21.171    0.046    4.382   54369.868  0.311
    sn2007kw  0.067   1    2.099    0.027    1.132    0.222   19.820    0.018   45.885   54377.293  0.181
    sn2007ky  0.074   1    0.837    0.064    0.838    0.056   19.327    0.118   11.103   54372.372  0.362
    sn2007kz  0.127   1    1.055    0.048    0.313    0.242   20.497    0.100    2.323   54373.610  0.296
   SDSS18321  0.103   1    1.664    0.061   -0.012    0.122   20.645    0.044    5.370   54373.060  0.244
    sn2007lj  0.050   1    2.172    0.015    0.202    0.060   19.374    0.019   26.978   54387.915  0.143
    sn2007lb  0.038   1    2.600    0.000      NaN      NaN      NaN      NaN   92.350   54391.681  0.113
    sn2007ll  0.081   1    2.600   -0.000      NaN      NaN      NaN      NaN    4.012   54389.910  0.266
    sn2007nw  0.057   1    1.778    0.028    1.046    0.055   20.491    0.032   18.366   54388.733  0.330
    sn2007ld  0.023   1    1.700    0.002    0.155    0.056   17.651    0.033  276.155   54387.663  0.041
    sn2007md  0.055   1    2.473    0.064    1.217    0.055   20.857    0.024    6.504   54388.267  0.442
    sn2007nx  0.100   1    2.337    0.050    0.691    0.112   20.522    0.022   13.146   54390.675  0.322
    sn2007lz  0.095   1    0.442    0.073    0.004    0.277   21.304    0.167   48.009   54382.822  0.421
    sn2007lx  0.057   1    2.600   -0.000      NaN      NaN      NaN      NaN   12.364   54389.762  0.332
    sn2007oe  0.251   1    1.059    0.077    0.222    0.073   21.850    0.061   22.373   54388.212  0.458
    sn2007og  0.204   1    1.814    0.036   -0.164    0.043   21.220    0.040    3.607   54392.468  0.434
    sn2007ny  0.143   1    2.007    0.050    0.028    0.038   21.388    0.032    2.747   54390.319  0.480
    sn2007nv  0.138   1    2.509    0.084    0.122    0.047   21.514    0.039    2.971   54389.079  0.645
   SDSS18984  0.155   1    1.239    0.067    0.332    0.038   21.080    0.043    4.103   54387.535  0.384
    sn2007nl  0.168   1    1.386    0.103   -0.113    0.067   21.799    0.061    3.730   54388.145  0.691
   SDSS19221  0.043   1    1.769    0.053    0.160    0.112   20.685    0.035   16.574   54396.600  0.243
   SDSS19504  0.215   1    2.588    0.213    0.936    0.142   23.950    0.126    1.408   54387.070  1.710
    sn2007pg  0.119   1    1.201    0.021   -0.363    0.062   19.969    0.025   12.539   54406.939  0.181
   SDSS20530  0.061   1    0.957    0.013   -0.216    0.061   19.555    0.016   50.141   54413.775  0.078
    sn2007qb  0.079   1    0.922    0.012   -0.277    0.066   19.760    0.019   15.370   54418.227  0.102
    sn2007sd  0.083   1    0.830    0.028   -0.383    0.074   19.879    0.047    3.702   54421.560  0.184
    sn2007sk  0.231   0    2.514    0.323    0.035    0.125   21.463    0.222    0.631   54440.970  4.022
    sn2004hz  0.142   1    1.711    0.025   -0.132    0.019   20.081    0.019    7.911   53282.871  0.125
