cid,class,num_points_sdssu,num_points_sdssg,num_points_sdssr,num_points_sdssi,num_points_sdssz,fit_z,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
7174,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7194,zSNIa,21,23,24,24,24,0,0.364341,53667.57329683973,6.464551279391648e-06,0.5742296416065545,-0.0009459058755248708,nan,1.3782878823476494,5.224533161330981e-07,1.3528423633626878,0.06830600902518222,105.60276162691055,112,Minimization exited successfully.
7195,zSNIa,23,23,24,23,24,0,0.362359,53673.141142837514,7.0115138838885886e-06,0.8639558436044187,-0.015108624513489283,nan,1.2106374205468455,4.0519466385805615e-07,1.2165666907662176,0.05217154707912947,129.44730330680727,113,Minimization exited successfully.
7203,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7205,pSNIa,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7209,Unknown,25,25,25,25,25,0,0.066088,53645.17334152905,1.091278343599801e-06,22.913656599013173,1.450595234014416,nan,0.30543150613448233,2.615337322702034e-07,4.183012613556983,0.17776825939245533,1244.1438149646456,96,Minimization exited successfully.
7231,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7233,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7234,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7239,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7243,SNIa,19,19,19,19,19,0,0.204617,53686.29412104077,2.3610795666911327e-05,0.6775465586590054,0.053714742291409816,nan,0.3002818250315613,6.81270695310068e-07,0.3482409256394384,0.024750206028034138,42.86994363778108,72,Minimization exited successfully.
7248,zSNII,20,20,20,20,20,0,0.12622,53714.7777270387,1.3922597504660232e-07,1.0511775764753837,3.417763602107706,nan,3.0878761498133827,2.08427812018153e-07,3.2407888484551455,1.0175376994664176,545.2111788956754,76,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
7251,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7254,Unknown,21,21,21,21,21,0,0.366238,53668.96803701184,5.021283538156526e-06,-1.2265954066270697,0.4573499853173267,nan,1.7471964579817723,4.589948531660275e-07,1.5739172960209948,0.0957830914256277,80.71881307985221,101,Minimization exited successfully.
7258,zSNIa,21,21,21,21,21,0,0.254494,53674.5037040443,1.2724863092470603e-05,0.8818048821271364,-0.005862290326305505,nan,0.8249393299593066,4.0297198536374376e-07,0.8337810524564504,0.03377327588948569,106.1993179768574,101,Minimization exited successfully.
7274,Unknown,22,22,22,22,22,0,9.6e-05,53585.429501000006,1.9552330154976693e-05,-3.1631063791490623,0.7548721278713867,nan,9.501956083113328e-05,4.9466641455701886e-05,2.371003845430509,1.2507329357169914,678.9016989007658,84,Minimization exited successfully.
7280,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7281,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7296,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7303,Unknown,0,0,0,17,17,0,1.44874,53686.64361091991,8.984324819872062e-07,9.138338277204124,-0.5201311995659577,nan,1.6666133048893244,5.908176688709643e-07,8.214079547986636,0.17237859980270132,47.17999291561737,30,Minimization exited successfully.
7304,pSNIa,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7306,zSNII,18,18,18,18,18,0,0.11192,53680.07316204244,1.599611300453701e-05,3.8969478926826513,0.09399217849947337,nan,0.6274940914008766,5.517648682567169e-07,0.661940086507508,0.03596088294478193,314.2655617993761,68,Minimization exited successfully.
7315,Unknown,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7317,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7335,SNIa?,18,18,18,18,18,0,0.196892,53674.97832371138,1.7530517093239473e-05,-2.6685910781728155,0.08713501252531738,nan,0.2986168981369701,4.994589042737721e-07,0.48918576368485195,0.027810915785713954,84.5128262291438,68,Minimization exited successfully.
7339,zSNII,19,19,19,19,19,0,0.307303,53671.919392941105,4.4154038707053345e-06,5.337605321625535,-0.11796657396295208,nan,2.1133836899825837,6.220498798339628e-07,3.113718842722048,0.0712462546191573,160.41652705674957,91,Minimization exited successfully.
