cid,class,num_points_sdssu,num_points_sdssg,fit_z,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
7781,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7794,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7802,zSNIa,0,21,0,0.407556,53682.651467477684,7.227126317894143e-06,-0.18929878872062483,-0.23012644337846047,nan,0.6115895101538626,4.1477988030429553e-07,0.2580665000281961,0.03471519223539786,45.86163787963898,58,Minimization exited successfully.
7803,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7804,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7811,zSNII,21,21,0,0.08259,53679.29262220541,8.001822367575916e-06,7.041496454172073,-0.13792135856195833,nan,1.0663971460453467,8.105228462621288e-07,1.8864150370795703,0.09100727145486973,72.70085156404812,38,Minimization exited successfully.
7817,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7822,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7824,zSNIa,20,21,0,0.2871,53679.63982983594,1.2792804268680496e-05,-0.8776557786778343,-0.0959198567270847,nan,0.6189767049836519,5.565783380762731e-07,0.6819779371016232,0.04092535818338231,48.69074838788249,58,Minimization exited successfully.
7835,zSNIa,21,21,0,0.156922,53666.98163931362,4.809305533056634e-06,-0.5111200078010972,0.22734440658754523,nan,1.288931198319915,5.74240108506729e-07,1.3614723203104633,0.1296087028666741,50.310053546667554,59,Minimization exited successfully.
7836,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7839,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7840,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7841,zSNIa,0,21,0,0.428635,53674.54616650828,5.271618196954125e-06,0.6894431105402192,0.04593510437210768,nan,1.3647540336860402,3.4636901343281855e-07,1.329710544869383,0.06934231128311784,43.941242401701025,59,Minimization exited successfully.
7842,Unknown,20,20,0,0.237814,53674.99804476474,4.740179101767061e-06,4.708135281642702,0.025558796569617705,nan,2.129462322074687,6.257027425740412e-07,3.0331016565389715,0.08970078842239827,51.74917430310113,56,Minimization exited successfully.
7847,SNIa,23,24,0,0.212659,53681.80971263692,1.995993523282452e-05,-0.09654618375492234,0.1641891992934542,nan,0.4038980722652923,4.900297989027776e-07,0.40775633292912494,0.031029839293414404,66.42460526697118,67,Minimization exited successfully.
