cid,class,z,fit_z,t0,x0,x1,c,chi,dof,message
679,Unknown,0,0.124957,53600.60523957487,5.599269773001983e-06,-0.8074367909209926,0.9701778389489226,139.346041050777,79,Minimization exited successfully.
680,Variable,1,0.42270700585188,53645.02058341801,2.261246641553186e-06,28.954242450578388,0.3246894289945831,184.14425646887182,75,Minimization exited successfully.
685,pSNII,1,0.5955812252676022,53645.58772975718,3.824791904477443e-06,22.58233424890211,0.21472323470703827,220.77582846971967,39,Minimization exited successfully.
688,Unknown,0,0.067866,53600.8674299988,1.4056747218599467e-05,1.3346983121425267,0.5804770260828555,160.90721694377893,78,Minimization exited successfully.
689,Variable,1,0.5258653899890499,53681.359424642294,1.0455238162470367e-05,6.3584890608791795,-0.00973383350520198,397.314943958392,35,Minimization exited successfully.
691,Unknown,0,0.130903,53602.570881226224,6.496057424094382e-05,-0.11548853730803688,-0.003990779754701907,341.860135679922,80,Minimization exited successfully.
692,Variable,0,0.197275,53653.18824590744,6.694685555694427e-06,6.157758193974961,1.0477698717151194,575.7539224035343,80,Minimization exited successfully.
694,Unknown,0,0.127493,53623.77216146062,4.504195124901735e-05,0.8525009696882381,0.33541832755726647,1015.5583713366084,144,Covariance may not be accurate.
695,Variable,0,0.058267,53723.459204390245,0.0013553999027881352,-1.2957233153046759,0.7298774957717837,724.8191552701937,78,Minimization exited successfully.
696,pSNIa,1,0.5506688017109538,53623.63744291475,1.1735737336913895e-05,-0.4252550544739376,-0.05358548514061447,41.82529276715033,35,Minimization exited successfully.
697,Unknown,0,0.156675,53606.74833320914,1.3420437530566941e-05,0.8901146821469089,0.5734403416751044,488.0811086260194,163,Minimization exited successfully.
698,Variable,1,0.41328547530066884,53644.14927403919,5.418447996908048e-06,19.836089792824186,0.2020596174909356,240.04841641024893,37,Minimization exited successfully.
699,Variable,1,0.6019134824174934,53644.56613344003,4.240213663274722e-06,16.389122001983782,0.22046927698468094,360.74896456093495,81,Minimization exited successfully.
700,AGN,0,0.595712,53602.89740362502,2.2848689863448507e-05,-0.0721154085588803,-0.5244744661914403,852.9447202343126,83,Minimization exited successfully.
701,Unknown,0,0.20657,53607.8525340925,2.6100774639394575e-05,-1.5617666570597664,0.09193174543211766,119.39889908407287,83,Covariance may not be accurate.
703,zSNIa,0,0.298042,53626.537638665584,1.313527839181647e-05,0.624903505556212,0.035025410977721945,97.54570975395427,104,Minimization exited successfully.
704,Unknown,0,0.206416,53607.86862460225,1.588695529403678e-05,-0.705884784143794,0.2916832423662658,137.04239685172013,83,Minimization exited successfully.
706,pSNII,1,0.31301190865068873,53630.32566112912,6.0819449690758155e-06,16.865076562888383,0.17612914015487008,99.9329953834688,35,Minimization exited successfully.
708,AGN,0,0.21436,53632.27575950012,5.773153671315088e-05,15.76509960194249,-0.08020278773226273,16447.073840100762,104,Minimization exited successfully.
