time,band,flux,fluxerr,zp,zpsys
53626.359,sdssu,20.149,53.01,27.5,ab
53626.359,sdssg,22.495,26.62,27.5,ab
53626.359,sdssr,-35.655,32.61,27.5,ab
53626.359,sdssi,-32.851,40.01,27.5,ab
53626.359,sdssz,-294.18,871.1,27.5,ab
53627.352,sdssu,5.2317,60.44,27.5,ab
53627.352,sdssg,-29.408,18.02,27.5,ab
53627.352,sdssr,-42.346,26.66,27.5,ab
53627.352,sdssi,-61.163,39.91,27.5,ab
53627.352,sdssz,204.02,128.0,27.5,ab
53628.344,sdssu,68.407,129.8,27.5,ab
53628.344,sdssg,18.048,37.15,27.5,ab
53628.344,sdssr,17.938,33.82,27.5,ab
53628.344,sdssi,4.0945,44.4,27.5,ab
53628.344,sdssz,227.83,175.0,27.5,ab
53634.344,sdssu,-158.07,146.0,27.5,ab
53634.344,sdssg,-29.864,58.47,27.5,ab
53634.344,sdssr,130.03,62.67,27.5,ab
53634.344,sdssi,82.506,65.02,27.5,ab
53634.344,sdssz,76.554,177.0,27.5,ab
53635.352,sdssu,-35.32,58.28,27.5,ab
53635.352,sdssg,80.78,24.79,27.5,ab
53635.352,sdssr,76.972,30.02,27.5,ab
53635.352,sdssi,113.39,36.51,27.5,ab
53635.352,sdssz,-12.142,87.61,27.5,ab
53637.344,sdssu,-15.227,65.38,27.5,ab
53637.344,sdssg,55.732,25.76,27.5,ab
53637.344,sdssr,111.88,26.61,27.5,ab
53637.344,sdssi,163.7,39.56,27.5,ab
53637.344,sdssz,430.58,127.2,27.5,ab
53638.387,sdssu,-51.874,53.59,27.5,ab
53638.387,sdssg,37.682,18.23,27.5,ab
53638.387,sdssr,129.9,23.04,27.5,ab
53638.387,sdssi,160.42,35.01,27.5,ab
53638.387,sdssz,149.91,108.3,27.5,ab
53639.391,sdssu,55.303,44.3,27.5,ab
53639.391,sdssg,1.4708,14.94,27.5,ab
53639.391,sdssr,155.93,20.49,27.5,ab
53639.391,sdssi,134.27,32.73,27.5,ab
53639.391,sdssz,349.73,91.61,27.5,ab
53640.352,sdssu,-62.8,51.13,27.5,ab
53640.352,sdssg,65.167,14.75,27.5,ab
53640.352,sdssr,203.91,24.31,27.5,ab
53640.352,sdssi,225.59,36.19,27.5,ab
53640.352,sdssz,317.12,109.3,27.5,ab
53641.391,sdssu,-12.613,42.25,27.5,ab
53641.391,sdssg,39.945,14.71,27.5,ab
53641.391,sdssr,157.63,21.46,27.5,ab
53641.391,sdssi,242.37,34.18,27.5,ab
53641.391,sdssz,102.3,94.37,27.5,ab
53644.336,sdssu,13.789,39.18,27.5,ab
53644.336,sdssg,30.408,13.44,27.5,ab
53644.336,sdssr,167.98,20.26,27.5,ab
53644.336,sdssi,269.93,34.6,27.5,ab
53644.336,sdssz,340.6,85.78,27.5,ab
53655.324,sdssu,-128.19,51.52,27.5,ab
53655.324,sdssg,-17.189,14.94,27.5,ab
53655.324,sdssr,69.931,25.82,27.5,ab
53655.324,sdssi,197.41,39.37,27.5,ab
53655.324,sdssz,192.1,129.2,27.5,ab
53657.348,sdssu,-72.131,105.4,27.5,ab
53657.348,sdssg,-27.587,48.31,27.5,ab
53657.348,sdssr,-61.223,61.63,27.5,ab
53657.348,sdssi,80.698,68.97,27.5,ab
53657.348,sdssz,165.52,180.0,27.5,ab
53663.332,sdssu,-39.609,72.3,27.5,ab
53663.332,sdssg,-6.3546,27.62,27.5,ab
53663.332,sdssr,6.8783,28.61,27.5,ab
53663.332,sdssi,70.339,35.35,27.5,ab
53663.332,sdssz,210.95,94.08,27.5,ab
53664.348,sdssu,49.763,85.93,27.5,ab
53664.348,sdssg,48.77,40.95,27.5,ab
53664.348,sdssr,-159.78,92.67,27.5,ab
53664.348,sdssi,19.147,82.5,27.5,ab
53664.348,sdssz,376.26,180.2,27.5,ab
53665.414,sdssu,93.947,88.86,27.5,ab
53665.414,sdssg,-17.805,24.97,27.5,ab
53665.414,sdssr,27.132,33.18,27.5,ab
53665.414,sdssi,115.02,42.43,27.5,ab
53665.414,sdssz,67.548,131.2,27.5,ab
53666.402,sdssu,91.18,71.74,27.5,ab
53666.402,sdssg,1.8543,23.84,27.5,ab
53666.402,sdssr,36.959,26.91,27.5,ab
53666.402,sdssi,56.64,37.18,27.5,ab
53666.402,sdssz,1.0521,102.0,27.5,ab
53668.324,sdssu,88.374,53.58,27.5,ab
53668.324,sdssg,12.718,21.55,27.5,ab
53668.324,sdssr,52.472,24.78,27.5,ab
53668.324,sdssi,94.207,40.2,27.5,ab
53668.324,sdssz,-198.1,126.5,27.5,ab
53669.309,sdssu,-9.3057,45.35,27.5,ab
53669.309,sdssg,9.1235,13.86,27.5,ab
53669.309,sdssr,67.948,22.77,27.5,ab
53669.309,sdssi,114.16,34.14,27.5,ab
53669.309,sdssz,247.31,105.7,27.5,ab
53669.41,sdssu,-29.532,79.83,27.5,ab
53669.41,sdssg,-12.628,25.23,27.5,ab
53669.41,sdssr,40.947,30.51,27.5,ab
53669.41,sdssi,74.254,43.58,27.5,ab
53669.41,sdssz,-77.509,135.1,27.5,ab
53670.328,sdssu,57.708,51.44,27.5,ab
53670.328,sdssg,43.522,13.95,27.5,ab
53670.328,sdssr,30.786,25.52,27.5,ab
53670.328,sdssi,9.2739,42.34,27.5,ab
53670.328,sdssz,158.86,112.9,27.5,ab
53671.391,sdssu,-86.422,69.49,27.5,ab
53671.391,sdssg,-12.394,16.95,27.5,ab
53671.391,sdssr,30.127,27.23,27.5,ab
53671.391,sdssi,28.753,40.32,27.5,ab
53671.391,sdssz,-165.03,125.7,27.5,ab
53673.297,sdssu,54.086,41.57,27.5,ab
53673.297,sdssg,5.977,12.6,27.5,ab
53673.297,sdssr,48.789,21.05,27.5,ab
53673.297,sdssi,68.157,31.35,27.5,ab
53673.297,sdssz,199.37,90.6,27.5,ab
53674.293,sdssu,-119.48,62.77,27.5,ab
