class,cid,num_points_91bg_proj_sdss_u1,num_points_91bg_proj_sdss_u2,num_points_91bg_proj_sdss_u3,num_points_91bg_proj_sdss_u4,num_points_91bg_proj_sdss_u5,num_points_91bg_proj_sdss_u6,num_points_91bg_proj_sdss_g1,num_points_91bg_proj_sdss_g2,num_points_91bg_proj_sdss_g3,num_points_91bg_proj_sdss_g4,num_points_91bg_proj_sdss_g5,num_points_91bg_proj_sdss_g6,num_points_91bg_proj_sdss_r1,num_points_91bg_proj_sdss_r2,num_points_91bg_proj_sdss_r3,num_points_91bg_proj_sdss_r4,num_points_91bg_proj_sdss_r5,num_points_91bg_proj_sdss_r6,num_points_91bg_proj_sdss_i1,num_points_91bg_proj_sdss_i2,num_points_91bg_proj_sdss_i3,num_points_91bg_proj_sdss_i4,num_points_91bg_proj_sdss_i5,num_points_91bg_proj_sdss_i6,num_points_91bg_proj_sdss_z1,num_points_91bg_proj_sdss_z2,num_points_91bg_proj_sdss_z3,num_points_91bg_proj_sdss_z4,num_points_91bg_proj_sdss_z5,num_points_91bg_proj_sdss_z6,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
zSNIa,5690,20,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221088,nan,nan,nan,nan,0.221088,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
zSNIa,5691,0,0,0,0,0,0,0,0,20,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284349,nan,nan,nan,nan,0.284349,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,5701,0,18,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077027,nan,nan,nan,nan,0.077027,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,5705,0,19,0,0,0,0,0,19,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24431,nan,nan,nan,nan,0.24431,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,5709,0,19,15,0,0,0,0,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068034,nan,nan,nan,nan,0.068034,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,5712,0,0,0,0,21,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072281,nan,nan,nan,nan,0.072281,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
SNIa,5717,0,0,0,0,0,0,0,0,20,17,0,0,0,0,21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250368,nan,nan,nan,nan,0.250368,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,5727,20,16,0,0,0,0,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066719,nan,nan,nan,nan,0.066719,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,5729,0,18,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079556,nan,nan,nan,nan,0.079556,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
SNIa,5736,0,0,0,0,0,0,0,38,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25174,nan,nan,nan,nan,0.25174,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
SNIa,5737,0,0,0,0,0,0,0,22,0,0,0,0,0,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0.391599,nan,nan,nan,nan,0.391599,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,5738,0,0,0,0,18,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134232,nan,nan,nan,nan,0.134232,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
