cid,class,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
703,zSNIa,0.296481,53625.3928561562,3.4580876995259356e-05,0.27038514307719885,0.12316763099529336,nan,0.6449501434617559,1.6386706319971555e-06,0.6336002176388321,0.02449596586014509,79.17412536685953,50,Minimization exited successfully.
722,SNIa,0.085038,53614.00642171144,0.0004312574714679749,-0.6158927393939347,0.014184163015328505,nan,0.0001822145059122704,1.0859589982696802e-05,0.13471325661819203,0.015169078421938695,106.5327570563781,40,Minimization exited successfully.
735,zSNIa,0.189482,53613.63954251316,5.314677689542814e-05,-2.992053120212867,0.12271264513966161,nan,1.7823631093124277,5.758440237508782e-06,0.5044004694622581,0.0697090352820991,34.568744345830964,28,Minimization exited successfully.
739,SNIa,0.106421,53609.074124522784,0.0003080528949082983,-0.8612501278366395,-0.029581143028358927,nan,0.6196478669262433,1.4404245198963611e-05,0.14616597598256031,0.02119007859657488,79.08685264378563,28,Minimization exited successfully.
744,SNIa,0.12694,53612.945361631864,0.00017704517034516703,1.3158456544662982,0.11500874222142739,nan,0.5635044328446384,5.091529567431305e-06,0.28098725247570094,0.016737736406096104,53.85450703603857,31,Minimization exited successfully.
762,SNIa,0.190088,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.190088
    t0 = +53609.642763
    x0 = -13673142.051681
    x1 = +46.302826
     c = -480.595777
"
774,SNIa,0.092269,53607.87096206365,0.0004760742851451253,0.9652073474714827,-0.0594845057227059,nan,0.6921258824877441,1.5687850976558677e-05,0.22593335615565388,0.01959541088666033,70.78718459171444,31,Minimization exited successfully.
779,zSNIa,0.236938,53626.79420268903,5.4230083234864016e-05,0.425304503720333,0.06946927377584075,nan,0.4101371676151757,1.9563079253506645e-06,0.37845501651965463,0.0250432370411801,63.322924159134715,64,Minimization exited successfully.
822,zSNIa,0.236635,53622.06190990569,5.1768265027142664e-05,-3.1034206079449764,-0.04046363370189088,nan,0.35089102016354445,1.68506581660688e-06,0.23450105774296023,0.022135376515274998,166.02339456944463,57,Minimization exited successfully.
841,zSNIa,0.298318,53624.653971371416,3.776080349898781e-05,-0.2107386405437277,-0.07951176970110352,nan,0.5748658375669038,1.8505906613156576e-06,0.46571859238690416,0.030783618060661357,54.232633588963395,64,Minimization exited successfully.
859,zSNIa,0.276728,53623.44783579656,4.6648986209350896e-05,0.1851274890415563,-0.016572354676678728,nan,0.5775782769378566,1.4189577556365286e-06,0.228288254460978,0.02470023753861183,112.98138489184156,60,Minimization exited successfully.
893,zSNIa,0.108834,53598.88172650045,0.00015139245579980646,0.7959163374938247,-0.15284580959307742,nan,0.0006708614673698321,1.029752619155064e-05,0.41744559034952977,0.03329077802794579,199.17877207946685,31,Covariance may not be accurate.
904,zSNIa,0.383892,53620.06660325169,2.795614976568808e-05,0.91487754797258,-0.2953578595579082,nan,0.5281789330110769,1.5114780677176387e-06,0.634175853199095,0.03672136858382598,35.62951370382126,40,Minimization exited successfully.
911,zSNIa,0.206325,53621.711756569224,3.6354815049311535e-05,-0.31620831539985195,0.21203405927054247,nan,0.7334077471023193,2.241784245664846e-06,0.6225526884829277,0.045942107506212734,84.17227213564527,63,Minimization exited successfully.
932,zSNIa,0.390036,53620.39099070801,2.735186243121545e-05,-0.1979871671548524,-0.062054203961495066,nan,1.1280875176016707,1.4827282573727842e-06,0.33753071454915917,0.04775117959969814,51.47218683020883,39,Minimization exited successfully.
986,zSNIa,0.279009,53620.37720246594,3.0496857902007264e-05,-0.8387333718623505,0.02884178777150295,nan,1.1084222313766077,1.403952915096849e-06,0.4550367456133743,0.03875610692985367,42.694972773758465,52,Minimization exited successfully.
1008,zSNIa,0.225039,53622.77461653482,7.076422726697763e-05,0.4408710092344632,0.0132844633981322,nan,0.4641797315343865,2.6255214655327985e-06,0.4155014278633864,0.02381736562742435,134.63669506756128,67,Minimization exited successfully.
1032,SNIa,0.129033,53626.47920227505,0.00010434588288625766,-3.041350600093717,0.09964486330511589,nan,0.15900494455490843,2.3422308246064885e-06,0.1260328059604967,0.02189422554661529,220.19886439204365,47,Minimization exited successfully.
1112,SNIa,0.256085,53620.6900452459,3.435097676793998e-05,5.425929027932155,-0.02163247471029471,nan,0.41445961743374937,1.5817177399446015e-06,0.8994847797008818,0.026204173772571806,77.47753172330854,49,Minimization exited successfully.
1119,SNIa,0.296391,53625.50248050673,3.524120181478702e-05,-1.201126232109754,-0.09114665469299792,nan,0.8173091708595166,1.3903754280133669e-06,0.29808312928733194,0.035569691250931325,29.283654603119412,41,Minimization exited successfully.
1158,zSNIa,0.410115,53627.264680829896,2.157864197374133e-05,-2.2230763361480856,0.07221288042809071,nan,1.4181610239356814,1.9210344283955037e-06,1.4232486984318877,0.11502347451116325,19.620697909211017,22,Minimization exited successfully.
1166,SNIa,0.380494,53632.10036688509,2.626777842007987e-05,1.4732271398835364,0.025175164535290156,nan,1.1406289776023186,2.101790070906337e-06,1.259607308439316,0.06825545044314599,43.72528566822595,51,Minimization exited successfully.
1214,zSNIa,0.263798,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.263798
    t0 = +53666.073087
    x0 = -10355.420150
    x1 = +35.997412
     c = -80.020221
"
1241,SNIa,0.088477,53635.395097993096,0.00033779995924897903,-0.5088346392783253,0.07686852726661403,nan,0.06086258889627061,3.9442588647302715e-06,0.06553031332445607,0.008549419819169466,152.19739512206485,52,Minimization exited successfully.
